package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"parameters", ".add_prefix_and_remove_stars", -1, 0, 0, "character[]", 1
"parameters", ".add_prefix_and_remove_stars", 0, 0, 0, "character[]", 1
"parameters", ".add_prefix_and_remove_stars", 1, 0, 0, "logical", 1
"parameters", ".add_prefix_and_remove_stars", 1, 0, 1, "symbol", 1
"parameters", ".add_prefix_and_remove_stars", 2, 0, 0, "logical", 1
"parameters", ".add_prefix_and_remove_stars", 3, 0, 0, "null", 1
"parameters", ".add_prefix_and_remove_stars", 3, 0, 1, "character", 1
"parameters", ".add_prefix_and_remove_stars", 4, 0, 0, "character", 1
"parameters", ".capitalize", -1, 0, 0, "character[]", 1
"parameters", ".capitalize", 0, 0, 0, "character[]", 1
"parameters", ".check_component", -1, 0, 0, "character", 1
"parameters", ".check_component", 0, 0, 0, "struct<`coefficients`:struct<`count`:double[], `zero`:double[]>, `residuals`:double[], `fitted.values`:double[], `optim`:struct<`par`:double[], `value`:double, `counts`:integer[], `convergence`:integer, `message`:null, `hessian`:^double[]>, `method`:character, `control`:struct<`method`:character, `maxit`:double, `trace`:logical, `EM`:logical, `start`:null, `fnscale`:double, `hessian`:logical, `reltol`:double>, `start`:struct<`count`:double[], `zero`:double[]>, `weights`:double[], `offset`:struct<`count`:null, `zero`:null>, `n`:integer, `df.null`:double, `df.residual`:integer, `terms`:struct<`count`:language, `zero`:language, `full`:language>, `theta`:null, `SE.logtheta`:null, `loglik`:double, `vcov`:^double[], `dist`:character, `link`:character, `linkinv`:any => any, `converged`:logical, `call`:language, `formula`:language, `levels`:struct<`fem`:character[], `mar`:character[]>, `contrasts`:struct<`count`:struct<`fem`:character, `mar`:character>, `zero`:null>, `model`:struct<`art`:integer[], `fem`:integer[], `mar`:integer[], `kid5`:double[], `ment`:integer[], `phd`:double[]>, `y`:integer[]>", 1
"parameters", ".check_component", 1, 0, 0, "character", 1
"parameters", ".check_standardize_numeric", -1, 0, 0, "double[]", 1
"parameters", ".check_standardize_numeric", 0, 0, 0, "double[]", 1
