package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"party", ".local", -1, 0, 0, "struct<>", 1
"party", ".local", 0, 0, 0, "struct<>", 1
"party", ".local", 1, 0, 0, "null", 1
"party", ".local", 1, 0, 1, "integer", 1
"party", ".local", 1, 0, 2, "any => any", 1
"party", ".local", 1, 0, 3, "struct<>", 1
"party", ".local", 2, 0, 0, "null", 1
"party", ".local", 2, 0, 1, "integer", 1
"party", ".local", 2, 0, 2, "null", 1
"party", ".local", 3, 0, 0, "logical", 1
"party", ".local", 4, 0, 0, "null", 1
