package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"pastecs", "abund", -1, 0, 0, "struct<`data`:character, `vr`:integer[], `sort`:double[], `cumsum`:double[], `p.log.ind`:double[], `p.nonull`:double[], `f`:double, `call`:language>", 1
"pastecs", "abund", 0, 0, 0, "struct<`S1`:double[], `S2`:double[], `S3`:double[], `S4`:double[], `S5`:double[], `S6`:double[], `S7`:double[], `S8`:double[], `S9`:double[], `S10`:double[], `S11`:double[], `S12`:double[], `S13`:double[], `S14`:double[], `S15`:double[], `S16`:double[], `S17`:double[], `S18`:double[], `S19`:double[], `S20`:double[], `S21`:double[], `S22`:double[], `S23`:double[], `S24`:double[], `S25`:double[], `S26`:double[], `S27`:double[], `S28`:double[], `S29`:double[], `S30`:double[], `S31`:double[], `S32`:double[], `S33`:double[], `S34`:double[], `S35`:double[], `S36`:double[], `S37`:double[], `S38`:double[], `S39`:double[], `S40`:double[], `S41`:double[], `S42`:double[], `S43`:double[], `S44`:double[], `S45`:double[], `S46`:double[], `S47`:double[], `S48`:double[], `S49`:double[], `S50`:double[], `S51`:double[], `S52`:double[], `S53`:double[], `S54`:double[], `S55`:double[], `S56`:double[], `S57`:double[], `S58`:double[], `S59`:double[], `S60`:double[], `S61`:double[], `S62`:double[], `S63`:double[], `S64`:double[], `S65`:double[], `S66`:double[], `S67`:double[], `S68`:double[], `S69`:double[], `S70`:double[], `S71`:double[], `S72`:double[], `S73`:double[], `S74`:double[], `S75`:double[], `S76`:double[], `S77`:double[], `S78`:double[], `S79`:double[], `S80`:double[], `S81`:double[], `S82`:double[], `S83`:double[], `S84`:double[], `S85`:double[], `S86`:double[], `S87`:double[], `S88`:double[], `S89`:double[], `S90`:double[], `S91`:double[], `S92`:double[], `S93`:double[], `S94`:double[], `S95`:double[], `S96`:double[], `S97`:double[], `S98`:double[], `S99`:double[], `S100`:double[], `S101`:double[], `S102`:double[], `S103`:double[], `S104`:double[], `S105`:double[], `S106`:double[], `S107`:double[], `S108`:double[], `S109`:double[], `S110`:double[], `S111`:double[], `S112`:double[], `S113`:double[], `S114`:double[], `S115`:double[], `S116`:double[], `S117`:double[], `S118`:double[], `S119`:double[], `S120`:double[], `S121`:double[], `S122`:double[], `S123`:double[], `S124`:double[], `S125`:double[], `S126`:double[], `S127`:double[], `S128`:double[], `S129`:double[], `S130`:double[], `S131`:double[], `S132`:double[], `S133`:double[], `S134`:double[], `S135`:double[], `S136`:double[], `S137`:double[], `S138`:double[], `S139`:double[], `S140`:double[], `S141`:double[], `S142`:double[], `S143`:double[], `S144`:double[], `S145`:double[], `S146`:double[], `S147`:double[], `S148`:double[], `S149`:double[], `S150`:double[], `S151`:double[], `S152`:double[], `S153`:double[], `S154`:double[], `S155`:double[], `S156`:double[], `S157`:double[], `S158`:double[], `S159`:double[], `S160`:double[], `S161`:double[], `S162`:double[], `S163`:double[]>", 1
"pastecs", "abund", 0, 0, 1, "integer[]", 1
"pastecs", "abund", 1, 0, 0, "double", 1
"pastecs", "abund.graph", -1, 0, 0, "null", 1
"pastecs", "abund.graph", 0, 0, 0, "struct<`data`:character, `vr`:integer[], `sort`:double[], `cumsum`:double[], `p.log.ind`:double[], `p.nonull`:double[], `f`:double, `call`:language>", 1
"pastecs", "abund.graph", 1, 0, 0, "null", 1
"pastecs", "abund.graph", 2, 0, 0, "symbol", 1
"pastecs", "abund.graph", 3, 0, 0, "symbol", 1
"pastecs", "abund.graph", 4, 0, 0, "symbol", 1
"pastecs", "abund.graph", 5, 0, 0, "symbol", 1
"pastecs", "abund.graph", 6, 0, 0, "logical", 1
"pastecs", "abund.graph", 7, 0, 0, "character[]", 1
"pastecs", "abund.graph", 8, 0, 0, "double[]", 1
"pastecs", "abund.graph", 9, 0, 0, "character[]", 1
"pastecs", "abund.graph", 10, 0, 0, "double[]", 1
"pastecs", "abund.graph", 11, 0, 0, "character", 1
"pastecs", "abund.graph", 12, 0, 0, "character", 1
"pastecs", "abund.graph", 13, 0, 0, "character", 1
"pastecs", "abund.graph", 14, 0, 0, "character", 1
"pastecs", "abund.graph", 15, 0, 0, "null", 1
"pastecs", "abund.lines", -1, 0, 0, "double[]", 1
"pastecs", "abund.lines", 0, 0, 0, "struct<`data`:character, `vr`:integer[], `sort`:double[], `cumsum`:double[], `p.log.ind`:double[], `p.nonull`:double[], `f`:double, `call`:language, `n`:double>", 1
"pastecs", "abund.lines", 1, 0, 0, "double", 1
"pastecs", "abund.lines", 2, 0, 0, "logical", 1
"pastecs", "abund.lines", 3, 0, 0, "logical", 1
"pastecs", "abund.lines", 4, 0, 0, "double", 1
"pastecs", "abund.lines", 5, 0, 0, "double", 1
"pastecs", "abund.lines", 6, 0, 0, "null", 1
"pastecs", "AutoD2", -1, 0, 0, "struct<`lag`:double[], `D2`:double[], `call`:language, `data`:character, `type`:character, `units.text`:character>", 1
"pastecs", "AutoD2", 0, 0, 0, "^double[]", 1
"pastecs", "AutoD2", 1, 0, 0, "double[]", 1
"pastecs", "AutoD2", 2, 0, 0, "double", 1
"pastecs", "AutoD2", 3, 0, 0, "logical", 1
"pastecs", "AutoD2", 4, 0, 0, "logical", 1
"pastecs", "AutoD2", 5, 0, 0, "null", 1
"pastecs", "buysbal", -1, 0, 0, "^double[]", 1
"pastecs", "buysbal", 0, 0, 0, "double[]", 1
"pastecs", "buysbal", 1, 0, 0, "double[]", 1
"pastecs", "buysbal", 2, 0, 0, "double", 1
"pastecs", "buysbal", 3, 0, 0, "character", 1
"pastecs", "buysbal", 4, 0, 0, "character", 1
"pastecs", "buysbal", 5, 0, 0, "character", 1
"pastecs", "buysbal", 6, 0, 0, "logical", 1
"pastecs", "CenterD2", -1, 0, 0, "struct<`lag`:integer[], `D2`:double[], `call`:language, `data`:character, `type`:character, `window`:double, `level`:double, `chisq`:double, `units.text`:character>", 1
"pastecs", "CenterD2", 0, 0, 0, "^double[]", 1
"pastecs", "CenterD2", 1, 0, 0, "double", 1
