package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"paws.common", "build", -1, 0, 0, "any", 1
"paws.common", "build", 0, 0, 0, "any", 1
"paws.common", "check_config_file_region", -1, 0, 0, "null", 1
"paws.common", "check_config_file_region", 0, 0, 0, "any", 1
"paws.common", "check_os_region", -1, 0, 0, "character", 1
"paws.common", "check_r_env_region", -1, 0, 0, "character", 1
"paws.common", "client_config", -1, 0, 0, "any", 1
"paws.common", "client_config", 0, 0, 0, "any", 1
"paws.common", "client_config", 1, 0, 0, "any", 1
"paws.common", "client_config", 2, 0, 0, "null", 1
"paws.common", "Config", -1, 0, 0, "class<`struct`>", 1
"paws.common", "Config", 0, 0, 0, "class<`struct`>", 1
"paws.common", "Config", 1, 0, 0, "character", 1
"paws.common", "Config", 2, 0, 0, "character", 1
"paws.common", "Config", 3, 0, 0, "logical", 1
"paws.common", "Config", 4, 0, 0, "character", 1
"paws.common", "Config", 5, 0, 0, "logical", 1
"paws.common", "Config", 6, 0, 0, "double", 1
"paws.common", "Config", 7, 0, 0, "null", 1
"paws.common", "Config", 8, 0, 0, "logical", 1
"paws.common", "Config", 9, 0, 0, "logical", 1
"paws.common", "Config", 10, 0, 0, "logical", 1
"paws.common", "Config", 11, 0, 0, "logical", 1
"paws.common", "Config", 12, 0, 0, "logical", 1
"paws.common", "Config", 13, 0, 0, "logical", 1
"paws.common", "Config", 14, 0, 0, "logical", 1
"paws.common", "Config", 15, 0, 0, "logical", 1
"paws.common", "Config", 16, 0, 0, "null", 1
"paws.common", "Config", 17, 0, 0, "logical", 1
"paws.common", "FUN", -1, 0, 0, "logical", 1
"paws.common", "FUN", 0, 0, 0, "double", 1
"paws.common", "FUN", 0, 0, 1, "character", 1
"paws.common", "FUN", 0, 0, 2, "null", 1
"paws.common", "FUN", 0, 0, 3, "list<any>", 1
"paws.common", "get_aws_path", -1, 0, 0, "character", 1
"paws.common", "get_os_env_variable", -1, 0, 0, "character", 1
"paws.common", "get_os_env_variable", 0, 0, 0, "character", 1
"paws.common", "get_region", -1, 0, 0, "any", 1
"paws.common", "get_region", 0, 0, 0, "any", 1
"paws.common", "Handler", -1, 0, 0, "list<class<`function`> | character>", 1
"paws.common", "Handler", 0, 0, 0, "class<`function`>", 1
"paws.common", "Handler", 1, 0, 0, "character", 1
"paws.common", "HandlerList", -1, 0, 0, "list<null | list<list<class<`function`> | character>>>", 1
"paws.common", "HandlerList", 0, 0, 0, "...", 1
"paws.common", "HandlerList", 1, 0, 0, "null", 1
"paws.common", "Handlers", -1, 0, 0, "class<`struct`>", 1
"paws.common", "Handlers", 0, 0, 0, "list<null | list<list<class<`function`> | character>>>", 1
"paws.common", "Handlers", 1, 0, 0, "list<null | list<list<class<`function`> | character>>>", 1
"paws.common", "Handlers", 2, 0, 0, "list<null | list<list<class<`function`> | character>>>", 1
"paws.common", "Handlers", 3, 0, 0, "list<null | list<list<class<`function`> | character>>>", 1
"paws.common", "Handlers", 4, 0, 0, "list<null | list<list<class<`function`> | character>>>", 1
"paws.common", "Handlers", 5, 0, 0, "list<null | list<list<class<`function`> | character>>>", 1
"paws.common", "Handlers", 6, 0, 0, "list<null | list<list<class<`function`> | character>>>", 1
"paws.common", "Handlers", 7, 0, 0, "list<null | list<list<class<`function`> | character>>>", 1
"paws.common", "Handlers", 8, 0, 0, "list<null | list<any>>", 1
"paws.common", "Handlers", 9, 0, 0, "list<null | list<any>>", 1
"paws.common", "Handlers", 10, 0, 0, "list<null | list<any>>", 1
"paws.common", "is_empty", -1, 0, 0, "logical", 1
"paws.common", "is_empty", 0, 0, 0, "double", 1
"paws.common", "is_empty", 0, 0, 1, "character", 1
"paws.common", "is_empty", 0, 0, 2, "null", 1
"paws.common", "is_empty", 0, 0, 3, "list<any>", 1
"paws.common", "is_empty.character", -1, 0, 0, "logical", 1
"paws.common", "is_empty.character", 0, 0, 0, "character", 1
"paws.common", "is_empty.default", -1, 0, 0, "logical", 1
"paws.common", "is_empty.default", 0, 0, 0, "double", 1
"paws.common", "is_empty.default", 0, 0, 1, "null", 1
"paws.common", "is_empty.list", -1, 0, 0, "logical", 1
"paws.common", "is_empty.list", 0, 0, 0, "list<double | list<any>>", 1
"paws.common", "new_handlers", -1, 0, 0, "class<`struct`>", 1
