package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"pbapply", "::", -1, 0, 0, "double", 1
"pbapply", "::", -1, 0, 1, "null", 1
"pbapply", "::", 0, 0, 0, "any", 1
"pbapply", "::", 1, 0, 0, "any", 1
"pbapply", "closepb", -1, 0, 0, "null", 1
"pbapply", "closepb", 0, 0, 0, "class<`timerProgressBar`, `txtProgressBar`>", 1
"pbapply", "closepb", 0, 0, 1, "class<`txtProgressBar`>", 1
"pbapply", "closepb", 0, 0, 2, "null", 1
"pbapply", "dopb", -1, 0, 0, "logical", 1
"pbapply", "getTimeAsString", -1, 0, 0, "character", 1
"pbapply", "getTimeAsString", 0, 0, 0, "double", 1
"pbapply", "getTimeAsString", 0, 0, 1, "null", 1
"pbapply", "pbapply", -1, 0, 0, "class<`array`>", 1
"pbapply", "pbapply", -1, 0, 1, "class<`matrix`>", 1
"pbapply", "pbapply", -1, 0, 2, "double[]", 1
"pbapply", "pbapply", -1, 0, 3, "list<class<`table`> | integer[]>", 1
"pbapply", "pbapply", 0, 0, 0, "class<`array`>", 1
"pbapply", "pbapply", 0, 0, 1, "class<`matrix`>", 1
"pbapply", "pbapply", 1, 0, 0, "integer[]", 1
"pbapply", "pbapply", 1, 0, 1, "double", 1
"pbapply", "pbapply", 2, 0, 0, "class<`function`>", 1
"pbapply", "pbapply", 3, 0, 0, "...", 1
"pbapply", "pbapply", 4, 0, 0, "null", 1
"pbapply", "pbapply", 4, 0, 1, "class<`SOCKcluster`, `cluster`>", 1
"pbapply", "pblapply", -1, 0, 0, "list<any>", 1
"pbapply", "pblapply", 0, 0, 0, "character[]", 1
"pbapply", "pblapply", 0, 0, 1, "double[]", 1
"pbapply", "pblapply", 0, 0, 2, "list<double[]>", 1
"pbapply", "pblapply", 1, 0, 0, "class<`function`>", 1
"pbapply", "pblapply", 2, 0, 0, "...", 1
"pbapply", "pblapply", 3, 0, 0, "any", 1
"pbapply", "pbmapply", -1, 0, 0, "list<double[] | character>", 1
"pbapply", "pbmapply", 0, 0, 0, "class<`function`>", 1
"pbapply", "pbmapply", 1, 0, 0, "...", 1
"pbapply", "pbmapply", 2, 0, 0, "null", 1
"pbapply", "pbmapply", 2, 0, 1, "list<double>", 1
"pbapply", "pbmapply", 3, 0, 0, "logical", 1
"pbapply", "pbmapply", 4, 0, 0, "logical", 1
"pbapply", "pboptions", -1, 0, 0, "list<character | double>", 1
"pbapply", "pboptions", 0, 0, 0, "...", 1
"pbapply", "pbreplicate", -1, 0, 0, "class<`matrix`>", 1
"pbapply", "pbreplicate", -1, 0, 1, "double[]", 1
"pbapply", "pbreplicate", 0, 0, 0, "double", 1
"pbapply", "pbreplicate", 1, 0, 0, "any", 1
"pbapply", "pbreplicate", 2, 0, 0, "character", 1
"pbapply", "pbreplicate", 3, 0, 0, "null", 1
"pbapply", "pbreplicate", 3, 0, 1, "class<`SOCKcluster`, `cluster`>", 1
"pbapply", "pbreplicate", 3, 0, 2, "integer", 1
"pbapply", "pbsapply", -1, 0, 0, "class<`array`>", 1
"pbapply", "pbsapply", -1, 0, 1, "class<`matrix`>", 1
"pbapply", "pbsapply", -1, 0, 2, "double[]", 1
"pbapply", "pbsapply", -1, 0, 3, "list<any>", 1
"pbapply", "pbsapply", 0, 0, 0, "double[]", 1
"pbapply", "pbsapply", 0, 0, 1, "character[]", 1
"pbapply", "pbsapply", 0, 0, 2, "list<double[]>", 1
"pbapply", "pbsapply", 1, 0, 0, "class<`function`>", 1
"pbapply", "pbsapply", 2, 0, 0, "...", 1
"pbapply", "pbsapply", 3, 0, 0, "character", 1
"pbapply", "pbsapply", 3, 0, 1, "logical", 1
"pbapply", "pbsapply", 4, 0, 0, "logical", 1
"pbapply", "pbsapply", 5, 0, 0, "null", 1
"pbapply", "pbsapply", 5, 0, 1, "class<`SOCKcluster`, `cluster`>", 1
"pbapply", "pbsapply", 5, 0, 2, "integer", 1
"pbapply", "pbtypes", -1, 0, 0, "character[]", 1
"pbapply", "setpb", -1, 0, 0, "double", 1
"pbapply", "setpb", -1, 0, 1, "null", 1
"pbapply", "setpb", 0, 0, 0, "any", 1
"pbapply", "setpb", 1, 0, 0, "any", 1
"pbapply", "splitpb", -1, 0, 0, "list<integer[]>", 1
"pbapply", "splitpb", 0, 0, 0, "double", 1
"pbapply", "splitpb", 1, 0, 0, "double", 1
"pbapply", "splitpb", 2, 0, 0, "null", 1
"pbapply", "splitpb", 2, 0, 1, "double", 1
"pbapply", "startpb", -1, 0, 0, "class<`timerProgressBar`, `txtProgressBar`>", 1
"pbapply", "startpb", -1, 0, 1, "class<`txtProgressBar`>", 1
"pbapply", "startpb", -1, 0, 2, "null", 1
"pbapply", "startpb", 0, 0, 0, "double", 1
"pbapply", "startpb", 1, 0, 0, "any", 1
"pbapply", "timerProgressBar", -1, 0, 0, "class<`timerProgressBar`, `txtProgressBar`>", 1
"pbapply", "timerProgressBar", 0, 0, 0, "double", 1
"pbapply", "timerProgressBar", 1, 0, 0, "double", 1
"pbapply", "timerProgressBar", 2, 0, 0, "double", 1
"pbapply", "timerProgressBar", 3, 0, 0, "character", 1
"pbapply", "timerProgressBar", 4, 0, 0, "double", 1
"pbapply", "timerProgressBar", 4, 0, 1, "null", 1
"pbapply", "timerProgressBar", 5, 0, 0, "any", 1
"pbapply", "timerProgressBar", 6, 0, 0, "any", 1
"pbapply", "timerProgressBar", 7, 0, 0, "double", 1
"pbapply", "timerProgressBar", 8, 0, 0, "character", 1
"pbapply", "timerProgressBar", 9, 0, 0, "double", 1
