package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"pdist", "[", -1, 0, 0, "double", 1
"pdist", "[", 0, 0, 0, "double", 1
"pdist", "[", 1, 0, 0, "double", 1
"pdist", "[", 2, 0, 0, "null", 1
"pdist", "[", 3, 0, 0, "logical", 1
"pdist", "as.matrix.pdist", -1, 0, 0, "^double[]", 1
"pdist", "as.matrix.pdist", 0, 0, 0, "null", 1
"pdist", "filter", -1, 0, 0, "logical[]", 1
"pdist", "filter", 0, 0, 0, "character[]", 1
"pdist", "pdist", -1, 0, 0, "^double[]", 1
"pdist", "pdist", 0, 0, 0, "null", 1
"pdist", "pdist", 1, 0, 0, "integer[]", 1
"pdist", "pdist", 2, 0, 0, "integer[]", 1
