package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"pedigree", "blup", -1, 0, 0, "language", 1
"pedigree", "blup", 0, 0, 0, "struct<`ID`:integer[], `pID0`:double[], `pID1`:double[], `hID0`:double[], `hID1`:double[], `G`:double[], `P`:double[]>", 1
"pedigree", "blup", 1, 0, 0, "double", 1
"pedigree", "blup", 2, 0, 0, "logical", 1
"pedigree", "countGen", -1, 0, 0, "integer[]", 1
"pedigree", "countGen", 0, 0, 0, "struct<`id`:integer[], `dam`:double[], `sire`:double[]>", 1
"pedigree", "filter", -1, 0, 0, "logical[]", 1
"pedigree", "filter", 0, 0, 0, "character[]", 1
"pedigree", "FUN", -1, 0, 0, "logical", 1
"pedigree", "FUN", 0, 0, 0, "double[]", 1
"pedigree", "gblup", -1, 0, 0, "language", 1
"pedigree", "gblup", 0, 0, 0, "struct<`ID`:integer[], `P`:double[]>", 1
"pedigree", "gblup", 1, 0, 0, "^double[]", 1
"pedigree", "gblup", 2, 0, 0, "double", 1
"pedigree", "trimPed", -1, 0, 0, "logical[]", 1
"pedigree", "trimPed", 0, 0, 0, "struct<`id`:integer[], `dam`:double[], `sire`:double[]>", 1
"pedigree", "trimPed", 1, 0, 0, "logical[]", 1
"pedigree", "trimPed", 2, 0, 0, "null", 1
