package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"permute", "allFree", -1, 0, 0, "class<`matrix`>", 1
"permute", "allFree", 0, 0, 0, "integer", 1
"permute", "allFree", 1, 0, 0, "integer[]", 1
"permute", "allGrid", -1, 0, 0, "class<`matrix`>", 1
"permute", "allGrid", 0, 0, 0, "integer", 1
"permute", "allGrid", 1, 0, 0, "double", 1
"permute", "allGrid", 2, 0, 0, "any", 1
"permute", "allGrid", 3, 0, 0, "double", 1
"permute", "allGrid", 4, 0, 0, "logical", 1
"permute", "allGrid", 5, 0, 0, "any", 1
"permute", "allPerms", -1, 0, 0, "class<`allPerms`, `matrix`, `permutationMatrix`>", 1
"permute", "allPerms", 0, 0, 0, "character[]", 1
"permute", "allPerms", 0, 0, 1, "double[]", 1
"permute", "allPerms", 1, 0, 0, "class<`how`>", 1
"permute", "allPerms", 2, 0, 0, "logical", 1
"permute", "allSeries", -1, 0, 0, "class<`matrix`>", 1
"permute", "allSeries", 0, 0, 0, "integer", 1
"permute", "allSeries", 1, 0, 0, "double", 1
"permute", "allSeries", 2, 0, 0, "logical", 1
"permute", "allStrata", -1, 0, 0, "class<`matrix`>", 1
"permute", "allStrata", 0, 0, 0, "integer", 1
"permute", "allStrata", 1, 0, 0, "class<`how`>", 1
"permute", "as.allPerms", -1, 0, 0, "class<`allPerms`, `matrix`>", 1
"permute", "as.allPerms", 0, 0, 0, "class<`allPerms`, `matrix`, `permutationMatrix`>", 1
"permute", "as.allPerms", 1, 0, 0, "class<`how`>", 1
"permute", "as.matrix.allPerms", -1, 0, 0, "class<`matrix`>", 1
"permute", "as.matrix.allPerms", 0, 0, 0, "class<`allPerms`, `matrix`, `permutationMatrix`>", 1
"permute", "as.matrix.allPerms", 1, 0, 0, "...", 1
"permute", "as.matrix.permutationMatrix", -1, 0, 0, "class<`matrix`>", 1
"permute", "as.matrix.permutationMatrix", 0, 0, 0, "class<`matrix`, `permutationMatrix`>", 1
"permute", "as.matrix.permutationMatrix", 1, 0, 0, "...", 1
"permute", "Blocks", -1, 0, 0, "list<class<`factor`>>", 1
"permute", "Blocks", 0, 0, 0, "class<`factor`>", 1
"permute", "cbindAllPerms", -1, 0, 0, "class<`matrix`>", 1
"permute", "cbindAllPerms", 0, 0, 0, "list<class<`matrix`>>", 1
"permute", "check", -1, 0, 0, "any", 1
"permute", "check", 0, 0, 0, "character[]", 1
"permute", "check", 0, 0, 1, "class<`data.frame`>", 1
"permute", "check", 0, 0, 2, "double[]", 1
"permute", "check", 1, 0, 0, "class<`how`>", 1
"permute", "check", 2, 0, 0, "any", 1
"permute", "doAllPerms", -1, 0, 0, "class<`matrix`>", 1
"permute", "doAllPerms", 0, 0, 0, "integer[]", 1
"permute", "doAllPerms", 1, 0, 0, "class<`factor`>", 1
"permute", "doAllPerms", 1, 0, 1, "null", 1
"permute", "doAllPerms", 2, 0, 0, "character", 1
"permute", "doAllPerms", 3, 0, 0, "any", 1
"permute", "doAllPerms", 4, 0, 0, "any", 1
"permute", "doAllPerms", 5, 0, 0, "any", 1
"permute", "doAllPerms", 6, 0, 0, "any", 1
"permute", "doAllPerms", 7, 0, 0, "any", 1
"permute", "doAllPerms", 8, 0, 0, "any", 1
"permute", "doAllPerms", 9, 0, 0, "class<`how`>", 1
"permute", "doAllPerms", 10, 0, 0, "any", 1
"permute", "doShuffle", -1, 0, 0, "integer[]", 1
"permute", "doShuffle", 0, 0, 0, "integer[]", 1
