package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"phonTools", "anova.rcr", -1, 0, 0, "class<`anova.rcr`>", 1
"phonTools", "anova.rcr", 0, 0, 0, "class<`rcr`>", 1
"phonTools", "anova.rcr", 1, 0, 0, "...", 1
"phonTools", "combocalc", -1, 0, 0, "double", 1
"phonTools", "combocalc", 0, 0, 0, "double", 1
"phonTools", "combocalc", 1, 0, 0, "double", 1
"phonTools", "combocalc", 2, 0, 0, "logical", 1
"phonTools", "combocalc", 3, 0, 0, "logical", 1
"phonTools", "createtemplate", -1, 0, 0, "class<`template`>", 1
"phonTools", "createtemplate", 0, 0, 0, "class<`data.frame`>", 1
"phonTools", "createtemplate", 1, 0, 0, "class<`factor`>", 1
"phonTools", "errorbars", -1, 0, 0, "null", 1
"phonTools", "errorbars", 0, 0, 0, "integer[]", 1
"phonTools", "errorbars", 1, 0, 0, "integer[]", 1
"phonTools", "errorbars", 2, 0, 0, "double", 1
"phonTools", "errorbars", 3, 0, 0, "double", 1
"phonTools", "errorbars", 4, 0, 0, "double", 1
"phonTools", "errorbars", 5, 0, 0, "logical", 1
"phonTools", "errorbars", 6, 0, 0, "...", 1
"phonTools", "fastacf", -1, 0, 0, "class<`data.frame`>", 1
"phonTools", "fastacf", 0, 0, 0, "double[]", 1
"phonTools", "fastacf", 1, 0, 0, "double", 1
"phonTools", "fastacf", 2, 0, 0, "character", 1
"phonTools", "fastacf", 3, 0, 0, "logical", 1
"phonTools", "fastacf", 4, 0, 0, "logical", 1
"phonTools", "Ffilter", -1, 0, 0, "double[]", 1
"phonTools", "Ffilter", 0, 0, 0, "double[]", 1
"phonTools", "Ffilter", 1, 0, 0, "double[]", 1
"phonTools", "Ffilter", 2, 0, 0, "double[]", 1
"phonTools", "Ffilter", 3, 0, 0, "double", 1
"phonTools", "Ffilter", 4, 0, 0, "double", 1
"phonTools", "Ffilter", 5, 0, 0, "logical", 1
"phonTools", "findformants", -1, 0, 0, "class<`data.frame`>", 1
"phonTools", "findformants", 0, 0, 0, "class<`sound`>", 1
"phonTools", "findformants", 0, 0, 1, "double[]", 1
"phonTools", "findformants", 1, 0, 0, "double", 1
"phonTools", "findformants", 2, 0, 0, "null", 1
"phonTools", "findformants", 2, 0, 1, "double", 1
"phonTools", "findformants", 3, 0, 0, "double", 1
"phonTools", "findformants", 4, 0, 0, "double", 1
"phonTools", "findformants", 5, 0, 0, "logical", 1
"phonTools", "findformants", 6, 0, 0, "logical", 1
"phonTools", "findformants", 7, 0, 0, "logical", 1
"phonTools", "FIRfilter", -1, 0, 0, "double[]", 1
"phonTools", "FIRfilter", 0, 0, 0, "double[]", 1
"phonTools", "FIRfilter", 1, 0, 0, "double", 1
"phonTools", "FIRfilter", 2, 0, 0, "double", 1
"phonTools", "FIRfilter", 3, 0, 0, "double", 1
"phonTools", "FIRfilter", 4, 0, 0, "double", 1
"phonTools", "FIRfilter", 5, 0, 0, "logical", 1
"phonTools", "FIRfilter", 6, 0, 0, "double[]", 1
"phonTools", "FIRfilter", 7, 0, 0, "logical", 1
"phonTools", "formanttrack", -1, 0, 0, "class<`data.frame`>", 1
