package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"phylobase", "addData", -1, 0, 0, "class<`phylo4d`>", 1
"phylobase", "addData", 0, 0, 0, "class<`phylo4d`>", 1
"phylobase", "addData", 1, 0, 0, "...", 1
"phylobase", "addData", -1, 1, 0, "class<`phylo4d`>", 1
"phylobase", "addData", 0, 1, 0, "class<`phylo4d`>", 1
"phylobase", "addData", 1, 1, 0, "...", 1
"phylobase", "ancestor", -1, 0, 0, "^integer[]", 1
"phylobase", "ancestor", 0, 0, 0, "class<`phylo4`>", 1
"phylobase", "ancestor", 0, 0, 1, "class<`phylo4d`>", 1
"phylobase", "ancestor", 1, 0, 0, "integer[]", 1
"phylobase", "ancestor", 1, 0, 1, "character", 1
"phylobase", "ancestor", 1, 0, 2, "double", 1
"phylobase", "ancestors", -1, 0, 0, "integer[]", 1
"phylobase", "ancestors", 0, 0, 0, "class<`phylo4d`>", 1
"phylobase", "ancestors", 0, 0, 1, "class<`phylo4`>", 1
"phylobase", "ancestors", 1, 0, 0, "character", 1
"phylobase", "ancestors", 1, 0, 1, "double", 1
"phylobase", "ancestors", 2, 0, 0, "character[]", 1
"phylobase", "as_phylo4vcov", -1, 0, 0, "class<`phylo4vcov`>", 1
"phylobase", "as_phylo4vcov", 0, 0, 0, "class<`phylo4`>", 1
"phylobase", "as_phylo4vcov", 1, 0, 0, "...", 1
"phylobase", ".bubLegendGrob", -1, 0, 0, "class<`bubLegend`, `gDesc`, `grob`>", 1
"phylobase", ".bubLegendGrob", 0, 0, 0, "class<`data.frame`>", 1
"phylobase", ".bubLegendGrob", 1, 0, 0, "class<`matrix`>", 1
"phylobase", "checkPhylo4", -1, 0, 0, "character", 1
"phylobase", "checkPhylo4", -1, 0, 1, "logical", 1
"phylobase", "checkPhylo4", 0, 0, 0, "class<`phylo4`>", 1
"phylobase", "checkPhylo4", 0, 0, 1, "class<`phylo4d`>", 1
"phylobase", "checkPhylo4Data", -1, 0, 0, "logical", 1
"phylobase", "checkPhylo4Data", 0, 0, 0, "class<`phylo4d`>", 1
"phylobase", "checkTree", -1, 0, 0, "character", 1
"phylobase", "checkTree", -1, 0, 1, "logical", 1
"phylobase", "checkTree", 0, 0, 0, "class<`phylo4`>", 1
"phylobase", "checkTree", 0, 0, 1, "class<`phylo4d`>", 1
"phylobase", "checkTreeCpp", -1, 0, 0, "list<character>", 1
"phylobase", "checkTreeCpp", 0, 0, 0, "class<`phylo4`>", 1
"phylobase", "checkTreeCpp", 0, 0, 1, "class<`phylo4d`>", 1
"phylobase", "checkTreeCpp", 1, 0, 0, "list<character>", 1
"phylobase", "children", -1, 0, 0, "integer[]", 1
"phylobase", "children", 0, 0, 0, "class<`phylo4d`>", 1
"phylobase", "children", 1, 0, 0, "character", 1
"phylobase", "children", 1, 0, 1, "double", 1
"phylobase", ".createEdge", -1, 0, 0, "^character[]", 1
"phylobase", ".createEdge", -1, 0, 1, "^double[]", 1
"phylobase", ".createEdge", 0, 0, 0, "null", 1
"phylobase", ".createEdge", 0, 0, 1, "^character[]", 1
"phylobase", ".createEdge", 0, 0, 2, "^double[]", 1
"phylobase", ".createEdge", 1, 0, 0, "class<`matrix`>", 1
"phylobase", ".createEdge", 2, 0, 0, "character", 1
"phylobase", ".createEdge", 3, 0, 0, "any", 1
"phylobase", ".createLabels", -1, 0, 0, "any", 1
"phylobase", ".createLabels", 0, 0, 0, "any", 1
"phylobase", ".createLabels", 1, 0, 0, "integer", 1
"phylobase", ".createLabels", 2, 0, 0, "any", 1
"phylobase", ".createLabels", 3, 0, 0, "any", 1
"phylobase", ".createLabels", 4, 0, 0, "character", 1
"phylobase", "depthTips", -1, 0, 0, "double[]", 1
"phylobase", "depthTips", 0, 0, 0, "class<`phylo4`>", 1
"phylobase", "depthTips", -1, 1, 0, "double[]", 1
"phylobase", "depthTips", 0, 1, 0, "class<`phylo4`>", 1
"phylobase", "descendants", -1, 0, 0, "integer[]", 1
"phylobase", "descendants", -1, 0, 1, "list<any>", 1
"phylobase", "descendants", 0, 0, 0, "class<`phylo4d`>", 1
"phylobase", "descendants", 0, 0, 1, "class<`phylo4`>", 1
"phylobase", "descendants", 1, 0, 0, "double", 1
"phylobase", "descendants", 1, 0, 1, "character", 1
"phylobase", "descendants", 2, 0, 0, "character[]", 1
"phylobase", "edgeId", -1, 0, 0, "character[]", 1
"phylobase", "edgeId", 0, 0, 0, "class<`phylo4d`>", 1
"phylobase", "edgeId", 1, 0, 0, "character[]", 1
"phylobase", "edgeId", -1, 1, 0, "character[]", 1
"phylobase", "edgeId", 0, 1, 0, "class<`phylo4`>", 1
"phylobase", "edgeId", 1, 1, 0, "character[]", 1
"phylobase", "edgeId", -1, 2, 0, "character[]", 1
"phylobase", "edgeId", 0, 2, 0, "class<`phylo4`>", 1
"phylobase", "edgeId", 0, 2, 1, "class<`phylo4d`>", 1
"phylobase", "edgeId", 1, 2, 0, "character[]", 1
"phylobase", "edgeLabels", -1, 0, 0, "^character[]", 1
"phylobase", "edgeLabels", 0, 0, 0, "class<`phylo4`>", 1
"phylobase", "edgeLabels", -1, 1, 0, "^character[]", 1
"phylobase", "edgeLabels", 0, 1, 0, "class<`phylo4`>", 1
"phylobase", "edgeLabels<-", -1, 0, 0, "class<`phylo4`>", 1
"phylobase", "edgeLabels<-", 0, 0, 0, "class<`phylo4`>", 1
"phylobase", "edgeLabels<-", 1, 0, 0, "...", 1
"phylobase", "edgeLabels<-", 2, 0, 0, "^character[]", 1
"phylobase", "edgeLabels<-", -1, 1, 0, "class<`phylo4`>", 1
"phylobase", "edgeLabels<-", 0, 1, 0, "class<`phylo4`>", 1
"phylobase", "edgeLabels<-", 1, 1, 0, "...", 1
"phylobase", "edgeLabels<-", 2, 1, 0, "^character[]", 1
"phylobase", "edgeLength", -1, 0, 0, "^double[]", 1
"phylobase", "edgeLength", -1, 0, 1, "null", 1
"phylobase", "edgeLength", 0, 0, 0, "class<`phylo4`>", 1
"phylobase", "edgeLength", 1, 0, 0, "...", 1
"phylobase", "edgeLength", -1, 1, 0, "^double[]", 1
"phylobase", "edgeLength", -1, 1, 1, "null", 1
"phylobase", "edgeLength", 0, 1, 0, "class<`phylo4d`>", 1
"phylobase", "edgeLength", 1, 1, 0, "...", 1
"phylobase", "edgeLength", -1, 2, 0, "^double[]", 1
"phylobase", "edgeLength", -1, 2, 1, "null", 1
"phylobase", "edgeLength", 0, 2, 0, "class<`phylo4`>", 1
"phylobase", "edgeLength", 0, 2, 1, "class<`phylo4d`>", 1
"phylobase", "edgeLength", 1, 2, 0, "...", 1
"phylobase", "edgeLength<-", -1, 0, 0, "class<`phylo4`>", 1
"phylobase", "edgeLength<-", -1, 0, 1, "class<`phylo4d`>", 1
"phylobase", "edgeLength<-", 0, 0, 0, "class<`phylo4`>", 1
"phylobase", "edgeLength<-", 0, 0, 1, "class<`phylo4d`>", 1
"phylobase", "edgeLength<-", 1, 0, 0, "double", 1
"phylobase", "edgeLength<-", 2, 0, 0, "...", 1
"phylobase", "edgeLength<-", 3, 0, 0, "^double[]", 1
"phylobase", "edgeLength<-", 3, 0, 1, "null", 1
"phylobase", "edgeLength<-", -1, 1, 0, "class<`phylo4`>", 1
"phylobase", "edgeLength<-", 0, 1, 0, "class<`phylo4`>", 1
"phylobase", "edgeLength<-", 1, 1, 0, "logical", 1
"phylobase", "edgeLength<-", 2, 1, 0, "...", 1
"phylobase", "edgeLength<-", 3, 1, 0, "double[]", 1
"phylobase", "edgeLength<-", -1, 2, 0, "class<`phylo4d`>", 1
"phylobase", "edgeLength<-", 0, 2, 0, "class<`phylo4d`>", 1
"phylobase", "edgeLength<-", 1, 2, 0, "double", 1
"phylobase", "edgeLength<-", 2, 2, 0, "...", 1
"phylobase", "edgeLength<-", 3, 2, 0, "^double[]", 1
"phylobase", "edgeLength<-", 3, 2, 1, "null", 1
"phylobase", "edgeOrder", -1, 0, 0, "character", 1
"phylobase", "edgeOrder", 0, 0, 0, "class<`phylo4`>", 1
"phylobase", "edgeOrder", 0, 0, 1, "class<`phylo4d`>", 1
"phylobase", "edgeOrder", 1, 0, 0, "...", 1
"phylobase", "edgeOrder", -1, 1, 0, "character", 1
"phylobase", "edgeOrder", 0, 1, 0, "class<`phylo4`>", 1
"phylobase", "edgeOrder", 1, 1, 0, "...", 1
"phylobase", "edgeOrder", -1, 2, 0, "character", 1
"phylobase", "edgeOrder", 0, 2, 0, "class<`phylo4d`>", 1
"phylobase", "edgeOrder", 1, 2, 0, "...", 1
"phylobase", "edges", -1, 0, 0, "class<`matrix`>", 1
"phylobase", "edges", 0, 0, 0, "class<`phylo4`>", 1
"phylobase", "edges", 0, 0, 1, "class<`phylo4d`>", 1
"phylobase", "edges", 1, 0, 0, "...", 1
"phylobase", "edges", -1, 1, 0, "class<`matrix`>", 1
"phylobase", "edges", 0, 1, 0, "class<`phylo4`>", 1
"phylobase", "edges", 1, 1, 0, "...", 1
"phylobase", "edges", -1, 2, 0, "class<`matrix`>", 1
"phylobase", "edges", 0, 2, 0, "class<`phylo4d`>", 1
"phylobase", "edges", 1, 2, 0, "...", 1
"phylobase", "extractTree", -1, 0, 0, "class<`phylo4`>", 1
"phylobase", "extractTree", 0, 0, 0, "class<`phylo4d`>", 1
"phylobase", "formatData", -1, 0, 0, "any", 1
"phylobase", "formatData", 0, 0, 0, "class<`phylo4`>", 1
"phylobase", "formatData", 0, 0, 1, "class<`phylo4d`>", 1
"phylobase", "formatData", 1, 0, 0, "class<`data.frame`>", 1
"phylobase", "formatData", 1, 0, 1, "null", 1
"phylobase", "formatData", 1, 0, 2, "integer[]", 1
"phylobase", "formatData", 2, 0, 0, "character", 1
"phylobase", "formatData", 3, 0, 0, "logical", 1
"phylobase", "formatData", 4, 0, 0, "logical", 1
"phylobase", "formatData", 5, 0, 0, "any", 1
"phylobase", "formatData", 6, 0, 0, "double", 1
"phylobase", "formatData", 7, 0, 0, "any", 1
"phylobase", "formatData", 8, 0, 0, "any", 1
"phylobase", "formatData", 9, 0, 0, "logical", 1
"phylobase", "FUN", -1, 0, 0, "integer[]", 1
"phylobase", "FUN", 0, 0, 0, "class<`phylo4d`>", 1
"phylobase", "FUN", 0, 0, 1, "class<`phylo4`>", 1
"phylobase", "FUN", 1, 0, 0, "character", 1
"phylobase", "FUN", 1, 0, 1, "double", 1
"phylobase", "FUN", 2, 0, 0, "character[]", 1
"phylobase", ".genlab", -1, 0, 0, "character[]", 1
"phylobase", ".genlab", 0, 0, 0, "character", 1
"phylobase", ".genlab", 1, 0, 0, "integer", 1
"phylobase", "getAllNodesFast", -1, 0, 0, "integer[]", 1
"phylobase", "getAllNodesFast", 0, 0, 0, "class<`matrix`>", 1
"phylobase", "getEdge", -1, 0, 0, "character[]", 1
"phylobase", "getEdge", 0, 0, 0, "class<`phylo4d`>", 1
"phylobase", "getEdge", 1, 0, 0, "any", 1
"phylobase", "getEdge", 2, 0, 0, "character[]", 1
"phylobase", "getEdge", 3, 0, 0, "character[]", 1
"phylobase", "getEdge", -1, 1, 0, "character[]", 1
"phylobase", "getEdge", 0, 1, 0, "class<`phylo4`>", 1
"phylobase", "getEdge", 0, 1, 1, "class<`phylo4d`>", 1
"phylobase", "getEdge", 1, 1, 0, "any", 1
"phylobase", "getEdge", 2, 1, 0, "character[]", 1
"phylobase", "getEdge", 3, 1, 0, "character[]", 1
"phylobase", "getEdge", -1, 2, 0, "character[]", 1
"phylobase", "getEdge", 0, 2, 0, "class<`phylo4`>", 1
"phylobase", "getEdge", 1, 2, 0, "double", 1
"phylobase", "getEdge", 2, 2, 0, "character[]", 1
