package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"pingr", "apple_captive_test", -1, 0, 0, "logical", 1
"pingr", "filter", -1, 0, 0, "logical[]", 1
"pingr", "filter", 0, 0, 0, "character[]", 1
"pingr", "http_get", -1, 0, 0, "character", 1
"pingr", "http_get", 0, 0, 0, "character", 1
"pingr", "is_class", -1, 0, 0, "logical", 1
"pingr", "is_class", 0, 0, 0, "integer", 1
"pingr", "is_count", -1, 0, 0, "logical", 1
"pingr", "is_count", 0, 0, 0, "integer", 1
"pingr", "is_ip_address", -1, 0, 0, "logical", 1
"pingr", "is_ip_address", 0, 0, 0, "character", 1
"pingr", "is_online", -1, 0, 0, "logical", 1
"pingr", "is_online", 0, 0, 0, "double", 1
"pingr", "is_string", -1, 0, 0, "logical", 1
"pingr", "is_string", 0, 0, 0, "character", 1
"pingr", "is_string_or_null", -1, 0, 0, "logical", 1
"pingr", "is_string_or_null", 0, 0, 0, "character", 1
"pingr", "is_string_or_null", 0, 0, 1, "null", 1
"pingr", "is_type", -1, 0, 0, "logical", 1
"pingr", "is_type", 0, 0, 0, "integer", 1
"pingr", "is_up", -1, 0, 0, "logical", 1
"pingr", "is_up", 0, 0, 0, "character", 1
"pingr", "is_up", 1, 0, 0, "double", 1
"pingr", "is_up", 2, 0, 0, "double", 1
"pingr", "is_up", 3, 0, 0, "logical", 1
"pingr", "is_up", 4, 0, 0, "logical", 1
"pingr", "my_ip", -1, 0, 0, "character", 1
"pingr", "my_ip", 0, 0, 0, "character[]", 1
"pingr", "my_ip_dns", -1, 0, 0, "character", 1
"pingr", "my_ip_https", -1, 0, 0, "character", 1
"pingr", "nsl", -1, 0, 0, "list<class<`data.frame`> | logical[]>", 1
"pingr", "nsl", 0, 0, 0, "character", 1
"pingr", "nsl", 1, 0, 0, "character", 1
"pingr", "nsl", 1, 0, 1, "null", 1
"pingr", "nsl", 2, 0, 0, "integer", 1
"pingr", "nsl", 3, 0, 0, "integer", 1
"pingr", "ping", -1, 0, 0, "double[]", 1
"pingr", "ping", -1, 0, 1, "null", 1
"pingr", "ping", 0, 0, 0, "character", 1
"pingr", "ping", 1, 0, 0, "logical", 1
"pingr", "ping", 2, 0, 0, "logical", 1
"pingr", "ping", 3, 0, 0, "double", 1
"pingr", "ping", 4, 0, 0, "double", 1
"pingr", "ping_os", -1, 0, 0, "list<character[]>", 1
"pingr", "ping_os", 0, 0, 0, "character", 1
"pingr", "ping_os", 1, 0, 0, "logical", 1
"pingr", "ping_os", 2, 0, 0, "double", 1
"pingr", "ping_os", 3, 0, 0, "double", 1
"pingr", "ping_port", -1, 0, 0, "double[]", 1
"pingr", "ping_port", -1, 0, 1, "null", 1
"pingr", "ping_port", 0, 0, 0, "character", 1
"pingr", "ping_port", 1, 0, 0, "double", 1
"pingr", "ping_port", 2, 0, 0, "logical", 1
"pingr", "ping_port", 3, 0, 0, "logical", 1
"pingr", "ping_port", 4, 0, 0, "double", 1
"pingr", "ping_port", 5, 0, 0, "double", 1
