package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"pipeR", "$", -1, 0, 0, "class<`Pipe`>", 1
"pipeR", "$", 0, 0, 0, "...", 1
"pipeR", "%>>%", -1, 0, 0, "class<`density`>", 1
"pipeR", "%>>%", -1, 0, 1, "double[]", 1
"pipeR", "%>>%", -1, 0, 2, "null", 1
"pipeR", "%>>%", -1, 0, 3, "class<`data.frame`>", 1
"pipeR", "%>>%", -1, 0, 4, "class<`lm`>", 1
"pipeR", "%>>%", -1, 0, 5, "class<`matrix`>", 1
"pipeR", "%>>%", -1, 0, 6, "class<`summary.lm`>", 1
"pipeR", "%>>%", 0, 0, 0, "double[]", 1
"pipeR", "%>>%", 0, 0, 1, "class<`density`>", 1
"pipeR", "%>>%", 0, 0, 2, "class<`data.frame`>", 1
"pipeR", "%>>%", 0, 0, 3, "class<`lm`>", 1
"pipeR", "%>>%", 0, 0, 4, "class<`summary.lm`>", 1
"pipeR", "%>>%", 1, 0, 0, "any", 1
"pipeR", "default", -1, 0, 0, "class<`density`>", 1
"pipeR", "default", -1, 0, 1, "class<`lm`>", 1
"pipeR", "default", -1, 0, 2, "class<`matrix`>", 1
"pipeR", "default", -1, 0, 3, "class<`summary.lm`>", 1
"pipeR", "default", -1, 0, 4, "double[]", 1
"pipeR", "default", -1, 0, 5, "null", 1
"pipeR", "default", 0, 0, 0, "double[]", 1
"pipeR", "default", 0, 0, 1, "class<`data.frame`>", 1
"pipeR", "default", 0, 0, 2, "class<`summary.lm`>", 1
"pipeR", "default", 0, 0, 3, "class<`lm`>", 1
"pipeR", "default", 0, 0, 4, "class<`density`>", 1
"pipeR", "default", 1, 0, 0, "class<`call`>", 1
"pipeR", "default", 1, 0, 1, "class<`name`>", 1
"pipeR", "default", 2, 0, 0, "environment", 1
"pipeR", "default", -1, 1, 0, "class<`data.frame`>", 1
"pipeR", "default", -1, 1, 1, "double", 1
"pipeR", "default", 0, 1, 0, "class<`data.frame`>", 1
"pipeR", "default", 0, 1, 1, "class<`summary.lm`>", 1
"pipeR", "default", 1, 1, 0, "class<`call`>", 1
"pipeR", "default", 2, 1, 0, "environment", 1
"pipeR", "eval_formula", -1, 0, 0, "class<`lm`>", 1
"pipeR", "eval_formula", 0, 0, 0, "class<`lm`>", 1
"pipeR", "eval_formula", 1, 0, 0, "class<`call`>", 1
"pipeR", "eval_formula", 2, 0, 0, "environment", 1
"pipeR", "eval_formula", 3, 0, 0, "logical", 1
"pipeR", "eval_question", -1, 0, 0, "class<`data.frame`>", 1
"pipeR", "eval_question", -1, 0, 1, "class<`summary.lm`>", 1
"pipeR", "eval_question", 0, 0, 0, "class<`data.frame`>", 1
"pipeR", "eval_question", 0, 0, 1, "class<`summary.lm`>", 1
"pipeR", "eval_question", 1, 0, 0, "class<`call`>", 1
"pipeR", "eval_question", 2, 0, 0, "environment", 1
"pipeR", "eval_with", -1, 0, 0, "class<`data.frame`>", 1
"pipeR", "eval_with", -1, 0, 1, "class<`density`>", 1
"pipeR", "eval_with", -1, 0, 2, "class<`lm`>", 1
"pipeR", "eval_with", -1, 0, 3, "class<`matrix`>", 1
"pipeR", "eval_with", -1, 0, 4, "class<`summary.lm`>", 1
"pipeR", "eval_with", -1, 0, 5, "double[]", 1
"pipeR", "eval_with", -1, 0, 6, "null", 1
"pipeR", "eval_with", 0, 0, 0, "class<`call`>", 1
"pipeR", "eval_with", 1, 0, 0, "environment", 1
"pipeR", "eval_with", 2, 0, 0, "class<`data.frame`>", 1
"pipeR", "eval_with", 2, 0, 1, "double[]", 1
"pipeR", "eval_with", 2, 0, 2, "class<`summary.lm`>", 1
"pipeR", "eval_with", 2, 0, 3, "class<`lm`>", 1
"pipeR", "eval_with", 2, 0, 4, "class<`density`>", 1
"pipeR", "eval_with", 3, 0, 0, "character", 1
"pipeR", "f", -1, 0, 0, "class<`call`>", 1
"pipeR", "f", 0, 0, 0, "class<`call`>", 1
"pipeR", "f", 0, 0, 1, "class<`name`>", 1
"pipeR", "f", 1, 0, 0, "character", 1
"pipeR", "f", 1, 0, 1, "class<`call`>", 1
"pipeR", "f", 1, 0, 2, "class<`name`>", 1
"pipeR", "filter", -1, 0, 0, "logical[]", 1
"pipeR", "filter", 0, 0, 0, "character[]", 1
"pipeR", "Pipe", -1, 0, 0, "class<`Pipe`>", 1
"pipeR", "Pipe", 0, 0, 0, "double[]", 1
"pipeR", "$.Pipe", -1, 0, 0, "class<`function`>", 1
"pipeR", "$.Pipe", 0, 0, 0, "class<`Pipe`>", 1
"pipeR", "$.Pipe", 1, 0, 0, "character", 1
"pipeR", "Pipe_closure", -1, 0, 0, "class<`function`>", 1
"pipeR", "Pipe_closure", 0, 0, 0, "character", 1
"pipeR", "Pipe_closure", 1, 0, 0, "any", 1
"pipeR", "Pipe_dot", -1, 0, 0, "class<`function`>", 1
"pipeR", "Pipe_dot", 0, 0, 0, "any", 1
"pipeR", "pipe_lambda", -1, 0, 0, "class<`data.frame`>", 1
"pipeR", "pipe_lambda", -1, 0, 1, "double", 1
"pipeR", "pipe_lambda", 0, 0, 0, "class<`data.frame`>", 1
"pipeR", "pipe_lambda", 0, 0, 1, "class<`summary.lm`>", 1
"pipeR", "pipe_lambda", 1, 0, 0, "class<`call`>", 1
"pipeR", "pipe_lambda", 2, 0, 0, "environment", 1
"pipeR", "pipe_lambda", 3, 0, 0, "logical", 1
"pipeR", "pipeline", -1, 0, 0, "class<`matrix`>", 1
"pipeR", "pipeline", -1, 0, 1, "class<`summary.lm`>", 1
"pipeR", "pipeline", -1, 0, 2, "double", 1
"pipeR", "pipeline", -1, 0, 3, "null", 1
"pipeR", "pipeline", 0, 0, 0, "...", 1
"pipeR", "Pipe_new", -1, 0, 0, "class<`Pipe`>", 1
"pipeR", "Pipe_new", 0, 0, 0, "class<`density`>", 1
"pipeR", "Pipe_new", 0, 0, 1, "double[]", 1
"pipeR", "Pipe_new", 0, 0, 2, "null", 1
"pipeR", "Pipe_new", 1, 0, 0, "logical", 1
"pipeR", "pipe_symbol", -1, 0, 0, "class<`data.frame`>", 1
"pipeR", "pipe_symbol", -1, 0, 1, "class<`density`>", 1
"pipeR", "pipe_symbol", -1, 0, 2, "class<`lm`>", 1
"pipeR", "pipe_symbol", -1, 0, 3, "class<`matrix`>", 1
"pipeR", "pipe_symbol", -1, 0, 4, "class<`summary.lm`>", 1
"pipeR", "pipe_symbol", -1, 0, 5, "double[]", 1
"pipeR", "pipe_symbol", -1, 0, 6, "null", 1
"pipeR", "pipe_symbol", 0, 0, 0, "class<`data.frame`>", 1
"pipeR", "pipe_symbol", 0, 0, 1, "double[]", 1
"pipeR", "pipe_symbol", 0, 0, 2, "class<`lm`>", 1
"pipeR", "pipe_symbol", 0, 0, 3, "class<`summary.lm`>", 1
"pipeR", "pipe_symbol", 0, 0, 4, "class<`density`>", 1
"pipeR", "pipe_symbol", 1, 0, 0, "class<`call`>", 1
"pipeR", "pipe_symbol", 1, 0, 1, "class<`name`>", 1
"pipeR", "pipe_symbol", 2, 0, 0, "environment", 1
"pipeR", "pipe_symbol", 3, 0, 0, "any", 1
"pipeR", "pipe_symbol", 4, 0, 0, "any", 1
"pipeR", "Pipe_value", -1, 0, 0, "class<`density`>", 1
"pipeR", "Pipe_value", -1, 0, 1, "double[]", 1
"pipeR", "Pipe_value", 0, 0, 0, "class<`Pipe`>", 1
