package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"pixmap", "addChannels", -1, 0, 0, "class<`pixmapGrey`>", 1
"pixmap", "addChannels", 0, 0, 0, "class<`pixmapRGB`>", 1
"pixmap", "addChannels", 1, 0, 0, "double[]", 1
"pixmap", "addChannels", 1, 0, 1, "null", 1
"pixmap", "addChannels", -1, 1, 0, "class<`pixmapGrey`>", 1
"pixmap", "addChannels", 0, 1, 0, "class<`pixmapRGB`>", 1
"pixmap", "addChannels", 1, 1, 0, "double[]", 1
"pixmap", "addChannels", 1, 1, 1, "null", 1
"pixmap", "addlogo", -1, 0, 0, "class<`pixmapRGB`>", 1
"pixmap", "addlogo", 0, 0, 0, "class<`pixmapRGB`>", 1
"pixmap", "addlogo", 1, 0, 0, "...", 1
"pixmap", "addlogo", -1, 1, 0, "class<`pixmapRGB`>", 1
"pixmap", "addlogo", 0, 1, 0, "class<`pixmapRGB`>", 1
"pixmap", "addlogo", 1, 1, 0, "...", 1
"pixmap", ".getCellres", -1, 0, 0, "double[]", 1
"pixmap", ".getCellres", 0, 0, 0, "double[]", 1
"pixmap", ".getCellres", 1, 0, 0, "logical", 1
"pixmap", ".getCellres", 2, 0, 0, "double[]", 1
"pixmap", "getChannels", -1, 0, 0, "class<`array`>", 1
"pixmap", "getChannels", 0, 0, 0, "class<`pixmapRGB`>", 1
"pixmap", "getChannels", 1, 0, 0, "character[]", 1
"pixmap", "getChannels", -1, 1, 0, "class<`array`>", 1
"pixmap", "getChannels", -1, 1, 1, "class<`matrix`>", 1
"pixmap", "getChannels", 0, 1, 0, "class<`pixmapRGB`>", 1
"pixmap", "getChannels", 0, 1, 1, "class<`pixmapGrey`>", 1
"pixmap", "getChannels", 1, 1, 0, "character[]", 1
"pixmap", "getChannels", -1, 2, 0, "class<`matrix`>", 1
"pixmap", "getChannels", 0, 2, 0, "class<`pixmapGrey`>", 1
"pixmap", "getChannels", 1, 2, 0, "character", 1
"pixmap", "pixmap", -1, 0, 0, "class<`pixmap`>", 1
"pixmap", "pixmap", 0, 0, 0, "any", 1
"pixmap", "pixmap", 1, 0, 0, "double", 1
"pixmap", "pixmap", 2, 0, 0, "double", 1
"pixmap", "pixmap", 2, 0, 1, "null", 1
"pixmap", "pixmap", 3, 0, 0, "double[]", 1
"pixmap", "pixmap", 3, 0, 1, "null", 1
"pixmap", "pixmap", 4, 0, 0, "logical", 1
"pixmap", "pixmap", 5, 0, 0, "null", 1
"pixmap", "pixmapGrey", -1, 0, 0, "class<`pixmapGrey`>", 1
"pixmap", "pixmapGrey", 0, 0, 0, "class<`matrix`>", 1
"pixmap", "pixmapGrey", 1, 0, 0, "...", 1
"pixmap", "pixmapIndexed", -1, 0, 0, "class<`pixmapIndexed`>", 1
"pixmap", "pixmapIndexed", 0, 0, 0, "class<`matrix`>", 1
"pixmap", "pixmapIndexed", 0, 0, 1, "integer[]", 1
"pixmap", "pixmapIndexed", 1, 0, 0, "character[]", 1
"pixmap", "pixmapIndexed", 1, 0, 1, "class<`function`>", 1
"pixmap", "pixmapIndexed", 2, 0, 0, "...", 1
"pixmap", "pixmapRGB", -1, 0, 0, "class<`pixmapRGB`>", 1
"pixmap", "pixmapRGB", 0, 0, 0, "double[]", 1
"pixmap", "pixmapRGB", 1, 0, 0, "...", 1
"pixmap", "plot", -1, 0, 0, "null", 1
"pixmap", "plot", 0, 0, 0, "class<`pixmapGrey`>", 1
"pixmap", "plot", 1, 0, 0, "any", 1
"pixmap", "plot", 2, 0, 0, "...", 1
"pixmap", "plot", -1, 1, 0, "null", 1
"pixmap", "plot", 0, 1, 0, "class<`pixmapRGB`>", 1
"pixmap", "plot", 1, 1, 0, "any", 1
"pixmap", "plot", 2, 1, 0, "...", 1
"pixmap", "plot", -1, 2, 0, "null", 1
"pixmap", "plot", 0, 2, 0, "class<`pixmapIndexed`>", 1
"pixmap", "plot", 1, 2, 0, "any", 1
"pixmap", "plot", 2, 2, 0, "...", 1
"pixmap", "read.pnm", -1, 0, 0, "class<`pixmapGrey`>", 1
"pixmap", "read.pnm", -1, 0, 1, "class<`pixmapRGB`>", 1
"pixmap", "read.pnm", 0, 0, 0, "character", 1
"pixmap", "read.pnm", 1, 0, 0, "...", 1
"pixmap", "read.pnmdata", -1, 0, 0, "class<`pixmapGrey`>", 1
"pixmap", "read.pnmdata", -1, 0, 1, "class<`pixmapRGB`>", 1
"pixmap", "read.pnmdata", 0, 0, 0, "class<`connection`, `file`>", 1
"pixmap", "read.pnmdata", 1, 0, 0, "list<double | character>", 1
"pixmap", "read.pnmdata", 2, 0, 0, "...", 1
"pixmap", "read.pnmhead", -1, 0, 0, "list<double | character>", 1
"pixmap", "read.pnmhead", 0, 0, 0, "class<`connection`, `file`>", 1
"pixmap", "write.pnm", -1, 0, 0, "integer", 1
"pixmap", "write.pnm", 0, 0, 0, "class<`pixmapIndexed`>", 1
"pixmap", "write.pnm", 1, 0, 0, "character", 1
"pixmap", "write.pnm", 2, 0, 0, "logical", 1
"pixmap", "write.pnm", 3, 0, 0, "null", 1
"pixmap", "write.pnm", 4, 0, 0, "double", 1
