package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"pkgload", "all_named", -1, 0, 0, "logical", 1
"pkgload", "all_named", 0, 0, 0, "pairlist", 1
"pkgload", "comp_lang", -1, 0, 0, "logical", 1
"pkgload", "comp_lang", 0, 0, 0, "character", 1
"pkgload", "comp_lang", 0, 0, 1, "language", 1
"pkgload", "comp_lang", 0, 0, 2, "pairlist", 1
"pkgload", "comp_lang", 1, 0, 0, "language", 1
"pkgload", "comp_lang", 2, 0, 0, "double", 1
"pkgload", "comp_lang", 2, 0, 1, "integer[]", 1
"pkgload", "compact", -1, 0, 0, "tuple<>", 1
"pkgload", "compact", 0, 0, 0, "tuple<null>", 1
"pkgload", "compact", 0, 0, 1, "list<null>", 1
"pkgload", "compact", 0, 0, 2, "struct<``:null, `_R_NS_LOAD_`:null>", 1
"pkgload", "compact", 0, 0, 3, "struct<``:null, ``:null, ``:null, ``:null, `sep`:null>", 1
"pkgload", "compact", 0, 0, 4, "struct<``:null, ``:null, ``:null, ``:null, `USE.NAMES`:null>", 1
"pkgload", "compact", 0, 0, 5, "struct<``:null, ``:null, ``:null, ``:null, `value`:null>", 1
"pkgload", "compact", 0, 0, 6, "struct<``:null, ``:null, ``:null, ``:null, `where`:null>", 1
"pkgload", "compact", 0, 0, 7, "struct<``:null, ``:null, ``:null, `envir`:null>", 1
"pkgload", "compact", 0, 0, 8, "struct<``:null, ``:null, ``:null, `fixed`:null>", 1
"pkgload", "compact", 0, 0, 9, "struct<``:null, ``:null, ``:null, `from`:null>", 1
"pkgload", "compact", 0, 0, 10, "struct<``:null, ``:null, ``:null, `keep.source`:null>", 1
"pkgload", "compact", 0, 0, 11, "struct<``:null, ``:null, ``:null, `mustExist`:null>", 1
"pkgload", "compact", 0, 0, 12, "struct<``:null, ``:null, ``:null, `quiet`:null>", 1
"pkgload", "compact", 0, 0, 13, "struct<``:null, ``:null, ``:null, `unlist`:null, `withRegistrationInfo`:null>", 1
"pkgload", "compact", 0, 0, 14, "struct<``:null, ``:null, ``:null, `versionCheck`:null>", 1
"pkgload", "compact", 0, 0, 15, "struct<``:null, ``:null, `add`:null>", 1
"pkgload", "compact", 0, 0, 16, "struct<``:null, ``:null, `addNames`:null>", 1
"pkgload", "compact", 0, 0, 17, "struct<``:null, ``:null, `base.OK`:null>", 1
"pkgload", "compact", 0, 0, 18, "struct<``:null, ``:null, `class`:null>", 1
"pkgload", "compact", 0, 0, 19, "struct<``:null, ``:null, `collapse`:null>", 1
"pkgload", "compact", 0, 0, 20, "struct<``:null, ``:null, `domain`:null>", 1
"pkgload", "compact", 0, 0, 21, "struct<``:null, ``:null, `error`:null>", 1
"pkgload", "compact", 0, 0, 22, "struct<``:null, ``:null, `pattern`:null, `all.names`:null>", 1
"pkgload", "compact", 0, 0, 23, "struct<``:null, ``:null, `showWarnings`:null>", 1
"pkgload", "compact", 0, 0, 24, "struct<``:null, ``:null, `title`:null>", 1
"pkgload", "compact", 0, 0, 25, "struct<``:null, ``:null, `version`:null, `lib`:null>", 1
"pkgload", "compact", 0, 0, 26, "struct<``:null, `base`:null>", 1
"pkgload", "compact", 0, 0, 27, "struct<``:null, `encoding`:null>", 1
"pkgload", "compact", 0, 0, 28, "struct<``:null, `libname`:null, `pkgname`:null>", 1
"pkgload", "compact", 0, 0, 29, "struct<``:null, `message`:null, `package`:null, `package.lib`:null, `call`:null>", 1
"pkgload", "compact", 0, 0, 30, "struct<``:null, `name`:null, `version`:null>", 1
"pkgload", "compact", 0, 0, 31, "list<null | language>", 1
