package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"plotrix", "ablineclip", -1, 0, 0, "null", 1
"plotrix", "ablineclip", 0, 0, 0, "null", 1
"plotrix", "ablineclip", 0, 0, 1, "struct<`coefficients`:double[], `residuals`:double[], `effects`:double[], `rank`:integer, `fitted.values`:double[], `assign`:integer[], `qr`:struct<`qr`:^double[], `qraux`:double[], `pivot`:integer[], `tol`:double, `rank`:integer>, `df.residual`:integer, `xlevels`:tuple<>, `call`:language, `terms`:language, `model`:struct<`y`:double[], `x`:double[]>>", 1
"plotrix", "ablineclip", 1, 0, 0, "null", 1
"plotrix", "ablineclip", 2, 0, 0, "null", 1
"plotrix", "ablineclip", 2, 0, 1, "double", 1
"plotrix", "ablineclip", 3, 0, 0, "null", 1
"plotrix", "ablineclip", 3, 0, 1, "double", 1
"plotrix", "ablineclip", 4, 0, 0, "null", 1
"plotrix", "ablineclip", 5, 0, 0, "null", 1
"plotrix", "ablineclip", 6, 0, 0, "logical", 1
"plotrix", "ablineclip", 7, 0, 0, "null", 1
"plotrix", "ablineclip", 7, 0, 1, "double", 1
"plotrix", "ablineclip", 8, 0, 0, "null", 1
"plotrix", "ablineclip", 8, 0, 1, "double", 1
"plotrix", "ablineclip", 9, 0, 0, "null", 1
"plotrix", "ablineclip", 9, 0, 1, "double", 1
"plotrix", "ablineclip", 10, 0, 0, "null", 1
"plotrix", "ablineclip", 10, 0, 1, "double", 1
"plotrix", "ablineclip", 11, 0, 0, "double", 1
"plotrix", "addtable2plot", -1, 0, 0, "struct<`xlog`:logical, `ylog`:logical, `xpd`:logical>", 1
"plotrix", "addtable2plot", 0, 0, 0, "double", 1
"plotrix", "addtable2plot", 1, 0, 0, "double", 1
"plotrix", "addtable2plot", 2, 0, 0, "struct<`Before`:double[], `During`:double[], `After`:double[]>", 1
"plotrix", "addtable2plot", 3, 0, 0, "language", 1
"plotrix", "addtable2plot", 4, 0, 0, "character", 1
"plotrix", "addtable2plot", 5, 0, 0, "^double[]", 1
"plotrix", "addtable2plot", 6, 0, 0, "double", 1
"plotrix", "addtable2plot", 7, 0, 0, "double", 1
"plotrix", "addtable2plot", 8, 0, 0, "double", 1
"plotrix", "addtable2plot", 9, 0, 0, "double", 1
"plotrix", "addtable2plot", 10, 0, 0, "double", 1
"plotrix", "addtable2plot", 11, 0, 0, "language", 1
"plotrix", "addtable2plot", 12, 0, 0, "character", 1
"plotrix", "addtable2plot", 13, 0, 0, "logical", 1
"plotrix", "addtable2plot", 14, 0, 0, "logical", 1
"plotrix", "addtable2plot", 15, 0, 0, "logical", 1
"plotrix", "addtable2plot", 16, 0, 0, "logical", 1
"plotrix", "addtable2plot", 17, 0, 0, "character", 1
"plotrix", "arctext", -1, 0, 0, "struct<`cex`:double>", 1
"plotrix", "arctext", 0, 0, 0, "character", 1
"plotrix", "arctext", 1, 0, 0, "double[]", 1
"plotrix", "arctext", 2, 0, 0, "double", 1
"plotrix", "arctext", 3, 0, 0, "null", 1
"plotrix", "arctext", 3, 0, 1, "double", 1
"plotrix", "arctext", 4, 0, 0, "language", 1
"plotrix", "arctext", 4, 0, 1, "double", 1
"plotrix", "arctext", 5, 0, 0, "null", 1
"plotrix", "arctext", 6, 0, 0, "double", 1
"plotrix", "arctext", 7, 0, 0, "logical", 1
"plotrix", "arctext", 8, 0, 0, "null", 1
"plotrix", "arctext", 8, 0, 1, "double", 1
"plotrix", "arctext", 9, 0, 0, "null", 1
"plotrix", "arctext", 9, 0, 1, "character", 1
"plotrix", "axis.break", -1, 0, 0, "struct<`xpd`:logical>", 1
"plotrix", "axis.break", 0, 0, 0, "double", 1
"plotrix", "axis.break", 1, 0, 0, "null", 1
"plotrix", "axis.break", 1, 0, 1, "double", 1
"plotrix", "axis.break", 2, 0, 0, "null", 1
"plotrix", "axis.break", 3, 0, 0, "character", 1
"plotrix", "axis.break", 4, 0, 0, "character", 1
"plotrix", "axis.break", 5, 0, 0, "character", 1
"plotrix", "axis.break", 6, 0, 0, "double", 1
"plotrix", "axis.mult", -1, 0, 0, "null", 1
"plotrix", "axis.mult", 0, 0, 0, "double", 1
"plotrix", "axis.mult", 1, 0, 0, "null", 1
"plotrix", "axis.mult", 2, 0, 0, "null", 1
"plotrix", "axis.mult", 3, 0, 0, "double", 1
"plotrix", "axis.mult", 4, 0, 0, "character", 1
"plotrix", "axis.mult", 5, 0, 0, "null", 1
"plotrix", "axis.mult", 6, 0, 0, "null", 1
"plotrix", "axis.mult", 7, 0, 0, "null", 1
"plotrix", "barlabels", -1, 0, 0, "struct<`xpd`:logical>", 1
"plotrix", "barlabels", 0, 0, 0, "^double[]", 1
"plotrix", "barlabels", 1, 0, 0, "^double[]", 1
"plotrix", "barlabels", 2, 0, 0, "null", 1
"plotrix", "barlabels", 2, 0, 1, "^character[]", 1
"plotrix", "barlabels", 3, 0, 0, "double", 1
"plotrix", "barlabels", 4, 0, 0, "double", 1
"plotrix", "barlabels", 5, 0, 0, "double", 1
"plotrix", "barlabels", 6, 0, 0, "double", 1
"plotrix", "barlabels", 7, 0, 0, "null", 1
"plotrix", "barNest", -1, 0, 0, "struct<`propbrk`:tuple<double, double[], ^double[]>, `binciWu`:tuple<double, double[], ^double[]>, `binciWl`:tuple<double, double[], ^double[]>, `valid.n`:tuple<integer, integer[], ^integer[]>>", 1
"plotrix", "barNest", 0, 0, 0, "language", 1
"plotrix", "barNest", 1, 0, 0, "struct<`Age`:double[], `Sex`:integer[], `Marital`:integer[], `Employ`:integer[]>", 1
"plotrix", "barNest", 2, 0, 0, "character[]", 1
"plotrix", "barNest", 3, 0, 0, "null", 1
"plotrix", "barNest", 3, 0, 1, "character", 1
"plotrix", "barNest", 3, 0, 2, "language", 1
"plotrix", "barNest", 3, 0, 3, "double[]", 1
"plotrix", "barNest", 4, 0, 0, "character", 1
"plotrix", "barNest", 5, 0, 0, "character", 1
"plotrix", "barNest", 6, 0, 0, "character", 1
"plotrix", "barNest", 7, 0, 0, "double", 1
"plotrix", "barNest", 8, 0, 0, "logical", 1
"plotrix", "barNest", 9, 0, 0, "struct<`Overall`:character, `Sex`:character[], `Marital`:character[], `Employ`:character[]>", 1
"plotrix", "barNest", 9, 0, 1, "tuple<character, character[], character[], character[]>", 1
"plotrix", "barNest", 10, 0, 0, "double", 1
"plotrix", "barNest", 11, 0, 0, "null", 1
"plotrix", "barNest", 11, 0, 1, "character", 1
"plotrix", "barNest", 11, 0, 2, "symbol", 1
"plotrix", "barNest", 11, 0, 3, "logical", 1
"plotrix", "barNest", 11, 0, 4, "pairlist", 1
"plotrix", "barNest", 12, 0, 0, "logical", 1
"plotrix", "barNest", 13, 0, 0, "logical", 1
"plotrix", "barNest", 14, 0, 0, "null", 1
"plotrix", "barNest", 14, 0, 1, "character", 1
"plotrix", "barNest", 14, 0, 2, "pairlist", 1
"plotrix", "barNest", 15, 0, 0, "logical", 1
"plotrix", "barNest", 16, 0, 0, "null", 1
"plotrix", "barNest", 16, 0, 1, "double[]", 1
"plotrix", "barNest", 17, 0, 0, "null", 1
"plotrix", "barNest", 17, 0, 1, "pairlist", 1
"plotrix", "barNest", 17, 0, 2, "character", 1
"plotrix", "barNest", 17, 0, 3, "double", 1
"plotrix", "barNest", 18, 0, 0, "logical", 1
"plotrix", "barNest", 18, 0, 1, "character", 1
