package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"poLCA", "poLCA", -1, 0, 0, "class<`poLCA`>", 1
"poLCA", "poLCA", 0, 0, 0, "class<`formula`>", 1
"poLCA", "poLCA", 1, 0, 0, "class<`data.frame`>", 1
"poLCA", "poLCA", 2, 0, 0, "double", 1
"poLCA", "poLCA", 3, 0, 0, "double", 1
"poLCA", "poLCA", 4, 0, 0, "logical", 1
"poLCA", "poLCA", 5, 0, 0, "double", 1
"poLCA", "poLCA", 6, 0, 0, "logical", 1
"poLCA", "poLCA", 7, 0, 0, "null", 1
"poLCA", "poLCA", 7, 0, 1, "list<class<`matrix`>>", 1
"poLCA", "poLCA", 8, 0, 0, "double", 1
"poLCA", "poLCA", 9, 0, 0, "logical", 1
"poLCA", "poLCA", 10, 0, 0, "logical", 1
"poLCA", "poLCA.compress", -1, 0, 0, "list<class<`matrix`> | double[]>", 1
"poLCA", "poLCA.compress", 0, 0, 0, "class<`matrix`>", 1
"poLCA", "poLCA.dLL2dBeta.C", -1, 0, 0, "list<double[] | class<`matrix`>>", 1
"poLCA", "poLCA.dLL2dBeta.C", 0, 0, 0, "class<`matrix`>", 1
"poLCA", "poLCA.dLL2dBeta.C", 1, 0, 0, "class<`matrix`>", 1
"poLCA", "poLCA.dLL2dBeta.C", 2, 0, 0, "class<`matrix`>", 1
"poLCA", "poLCA.entropy", -1, 0, 0, "double", 1
"poLCA", "poLCA.entropy", 0, 0, 0, "class<`poLCA`>", 1
"poLCA", "poLCA.postClass.C", -1, 0, 0, "class<`matrix`>", 1
"poLCA", "poLCA.postClass.C", 0, 0, 0, "class<`matrix`>", 1
"poLCA", "poLCA.postClass.C", 1, 0, 0, "list<double[]>", 1
"poLCA", "poLCA.postClass.C", 2, 0, 0, "class<`matrix`>", 1
"poLCA", "poLCA.posterior", -1, 0, 0, "class<`matrix`>", 1
"poLCA", "poLCA.posterior", 0, 0, 0, "class<`poLCA`>", 1
"poLCA", "poLCA.posterior", 1, 0, 0, "class<`matrix`>", 1
"poLCA", "poLCA.posterior", 1, 0, 1, "double[]", 1
"poLCA", "poLCA.posterior", 2, 0, 0, "class<`matrix`>", 1
"poLCA", "poLCA.posterior", 2, 0, 1, "null", 1
"poLCA", "poLCA.posterior", 2, 0, 2, "double[]", 1
"poLCA", "poLCA.predcell", -1, 0, 0, "class<`matrix`>", 1
"poLCA", "poLCA.predcell", 0, 0, 0, "class<`poLCA`>", 1
"poLCA", "poLCA.predcell", 1, 0, 0, "class<`data.frame`>", 1
"poLCA", "poLCA.predcell", 1, 0, 1, "class<`matrix`>", 1
"poLCA", "poLCA.predcell", 1, 0, 2, "double[]", 1
"poLCA", "poLCA.probHat.C", -1, 0, 0, "double[]", 1
"poLCA", "poLCA.probHat.C", 0, 0, 0, "class<`matrix`>", 1
"poLCA", "poLCA.probHat.C", 1, 0, 0, "class<`matrix`>", 1
