package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"polyclip", "aspolygonlist", -1, 0, 0, "list<list<double[]>>", 1
"polyclip", "aspolygonlist", 0, 0, 0, "list<list<double[]>>", 1
"polyclip", "ensuredouble", -1, 0, 0, "list<list<double[]>>", 1
"polyclip", "ensuredouble", 0, 0, 0, "list<list<double[]>>", 1
"polyclip", "ensurexydouble", -1, 0, 0, "list<double[]>", 1
"polyclip", "ensurexydouble", 0, 0, 0, "list<integer[] | double>", 1
"polyclip", "pointinpolygon", -1, 0, 0, "integer", 1
"polyclip", "pointinpolygon", 0, 0, 0, "list<double>", 1
"polyclip", "pointinpolygon", 1, 0, 0, "list<integer[]>", 1
"polyclip", "pointinpolygon", 2, 0, 0, "any", 1
"polyclip", "pointinpolygon", 3, 0, 0, "any", 1
"polyclip", "pointinpolygon", 4, 0, 0, "any", 1
"polyclip", "polyclip", -1, 0, 0, "list<list<double[]>>", 1
"polyclip", "polyclip", 0, 0, 0, "list<list<integer[]>>", 1
"polyclip", "polyclip", 1, 0, 0, "list<list<double[]>>", 1
"polyclip", "polyclip", 2, 0, 0, "character[]", 1
"polyclip", "polyclip", 3, 0, 0, "...", 1
"polyclip", "polyclip", 4, 0, 0, "any", 1
"polyclip", "polyclip", 5, 0, 0, "any", 1
"polyclip", "polyclip", 6, 0, 0, "any", 1
"polyclip", "polyclip", 7, 0, 0, "character[]", 1
"polyclip", "polyclip", 8, 0, 0, "character[]", 1
"polyclip", "polyclip", 9, 0, 0, "logical", 1
"polyclip", "polylineoffset", -1, 0, 0, "list<list<double[]>>", 1
"polyclip", "polylineoffset", 0, 0, 0, "list<list<double[]>>", 1
"polyclip", "polylineoffset", 1, 0, 0, "double", 1
"polyclip", "polylineoffset", 2, 0, 0, "...", 1
"polyclip", "polylineoffset", 3, 0, 0, "any", 1
"polyclip", "polylineoffset", 4, 0, 0, "any", 1
"polyclip", "polylineoffset", 5, 0, 0, "any", 1
"polyclip", "polylineoffset", 6, 0, 0, "double", 1
"polyclip", "polylineoffset", 7, 0, 0, "double", 1
"polyclip", "polylineoffset", 8, 0, 0, "character", 1
"polyclip", "polylineoffset", 9, 0, 0, "character", 1
"polyclip", "polyminkowski", -1, 0, 0, "list<list<double[]>>", 1
"polyclip", "polyminkowski", 0, 0, 0, "list<list<double[]>>", 1
"polyclip", "polyminkowski", 1, 0, 0, "list<list<double[]>>", 1
"polyclip", "polyminkowski", 2, 0, 0, "...", 1
"polyclip", "polyminkowski", 3, 0, 0, "any", 1
"polyclip", "polyminkowski", 4, 0, 0, "any", 1
"polyclip", "polyminkowski", 5, 0, 0, "any", 1
"polyclip", "polyminkowski", 6, 0, 0, "logical", 1
"polyclip", "polyoffset", -1, 0, 0, "list<list<double[]>>", 1
"polyclip", "polyoffset", 0, 0, 0, "list<list<double[]>>", 1
"polyclip", "polyoffset", 1, 0, 0, "double", 1
"polyclip", "polyoffset", 2, 0, 0, "...", 1
"polyclip", "polyoffset", 3, 0, 0, "any", 1
"polyclip", "polyoffset", 4, 0, 0, "any", 1
"polyclip", "polyoffset", 5, 0, 0, "any", 1
"polyclip", "polyoffset", 6, 0, 0, "double", 1
"polyclip", "polyoffset", 7, 0, 0, "double", 1
"polyclip", "polyoffset", 8, 0, 0, "character", 1
"polyclip", "polysimplify", -1, 0, 0, "list<list<double[]>>", 1
"polyclip", "polysimplify", 0, 0, 0, "list<list<double[]>>", 1
"polyclip", "polysimplify", 1, 0, 0, "...", 1
"polyclip", "polysimplify", 2, 0, 0, "any", 1
"polyclip", "polysimplify", 3, 0, 0, "any", 1
"polyclip", "polysimplify", 4, 0, 0, "any", 1
"polyclip", "polysimplify", 5, 0, 0, "character", 1
"polyclip", "validpoly", -1, 0, 0, "logical", 1
"polyclip", "validpoly", 0, 0, 0, "list<list<double[]>>", 1
"polyclip", "validxy", -1, 0, 0, "logical", 1
"polyclip", "validxy", 0, 0, 0, "list<double | integer[]>", 1
"polyclip", "xrange", -1, 0, 0, "integer[]", 1
"polyclip", "xrange", 0, 0, 0, "list<integer[]>", 1
"polyclip", "yrange", -1, 0, 0, "integer[]", 1
"polyclip", "yrange", 0, 0, 0, "list<integer[]>", 1
