package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"polycor", "binBvn", -1, 0, 0, "class<`matrix`>", 1
"polycor", "binBvn", 0, 0, 0, "double", 1
"polycor", "binBvn", 1, 0, 0, "double[]", 1
"polycor", "binBvn", 2, 0, 0, "double[]", 1
"polycor", "binBvn", 3, 0, 0, "any", 1
"polycor", "chisq", -1, 0, 0, "double", 1
"polycor", "chisq", 0, 0, 0, "double[]", 1
"polycor", "chisq", 1, 0, 0, "class<`matrix`>", 1
"polycor", "chisq", 1, 0, 1, "double[]", 1
"polycor", "chisq", 2, 0, 0, "double", 1
"polycor", "chisq", 3, 0, 0, "any", 1
"polycor", "chisq", 4, 0, 0, "any", 1
"polycor", "chisq", 5, 0, 0, "double", 1
"polycor", "chisq", 6, 0, 0, "double", 1
"polycor", "hetcor", -1, 0, 0, "class<`hetcor`>", 1
"polycor", "hetcor", 0, 0, 0, "class<`data.frame`>", 1
"polycor", "hetcor", 0, 0, 1, "double[]", 1
"polycor", "hetcor", 1, 0, 0, "...", 1
"polycor", "hetcor", 2, 0, 0, "logical", 1
"polycor", "hetcor", 3, 0, 0, "logical", 1
"polycor", "hetcor", 4, 0, 0, "any", 1
"polycor", "hetcor", 5, 0, 0, "double", 1
"polycor", "hetcor", 6, 0, 0, "logical", 1
"polycor", "hetcor.data.frame", -1, 0, 0, "class<`hetcor`>", 1
"polycor", "hetcor.data.frame", 0, 0, 0, "class<`data.frame`>", 1
"polycor", "hetcor.data.frame", 1, 0, 0, "logical", 1
"polycor", "hetcor.data.frame", 2, 0, 0, "logical", 1
"polycor", "hetcor.data.frame", 3, 0, 0, "character[]", 1
"polycor", "hetcor.data.frame", 4, 0, 0, "double", 1
"polycor", "hetcor.data.frame", 5, 0, 0, "logical", 1
"polycor", "hetcor.data.frame", 6, 0, 0, "...", 1
"polycor", "hetcor.default", -1, 0, 0, "class<`hetcor`>", 1
"polycor", "hetcor.default", 0, 0, 0, "double[]", 1
"polycor", "hetcor.default", 1, 0, 0, "...", 1
"polycor", "hetcor.default", 2, 0, 0, "logical", 1
"polycor", "hetcor.default", 3, 0, 0, "logical", 1
"polycor", "hetcor.default", 4, 0, 0, "character[]", 1
"polycor", "hetcor.default", 5, 0, 0, "double", 1
"polycor", "hetcor.default", 6, 0, 0, "logical", 1
"polycor", "polychor", -1, 0, 0, "(class<`polycor`> | double)", 1
"polycor", "polychor", 0, 0, 0, "class<`factor`>", 1
"polycor", "polychor", 1, 0, 0, "class<`factor`>", 1
"polycor", "polychor", 2, 0, 0, "logical", 1
"polycor", "polychor", 3, 0, 0, "any", 1
"polycor", "polychor", 4, 0, 0, "logical", 1
"polycor", "polychor", 5, 0, 0, "double", 1
"polycor", "polyserial", -1, 0, 0, "(class<`polycor`> | double)", 1
"polycor", "polyserial", 0, 0, 0, "double[]", 1
"polycor", "polyserial", 1, 0, 0, "class<`factor`>", 1
"polycor", "polyserial", 2, 0, 0, "logical", 1
"polycor", "polyserial", 3, 0, 0, "any", 1
"polycor", "polyserial", 4, 0, 0, "logical", 1
"polycor", "polyserial", 5, 0, 0, "double", 1
"polycor", "polyserial", 6, 0, 0, "double", 1
