package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"ppcor", "filter", -1, 0, 0, "logical[]", 1
"ppcor", "filter", 0, 0, 0, "character[]", 1
"ppcor", "pcor", -1, 0, 0, "struct<`estimate`:^double[], `p.value`:^double[], `statistic`:^double[], `n`:integer, `gp`:double, `method`:character>", 1
"ppcor", "pcor", 0, 0, 0, "struct<`hl`:double[], `disp`:double[], `deg`:double[], `BC`:double[]>", 1
"ppcor", "pcor", 1, 0, 0, "character[]", 1
"ppcor", "pcor.test", -1, 0, 0, "struct<`estimate`:double, `p.value`:double, `statistic`:double, `n`:integer, `gp`:double, `Method`:integer>", 1
"ppcor", "pcor.test", 0, 0, 0, "double[]", 1
"ppcor", "pcor.test", 1, 0, 0, "double[]", 1
"ppcor", "pcor.test", 2, 0, 0, "struct<`deg`:double[], `BC`:double[]>", 1
"ppcor", "pcor.test", 3, 0, 0, "character[]", 1
"ppcor", "spcor", -1, 0, 0, "struct<`estimate`:^double[], `p.value`:^double[], `statistic`:^double[], `n`:integer, `gp`:double, `method`:character>", 1
"ppcor", "spcor", 0, 0, 0, "struct<`hl`:double[], `disp`:double[], `deg`:double[], `BC`:double[]>", 1
"ppcor", "spcor", 1, 0, 0, "character[]", 1
"ppcor", "spcor.test", -1, 0, 0, "struct<`estimate`:double, `p.value`:double, `statistic`:double, `n`:integer, `gp`:double, `Method`:integer>", 1
"ppcor", "spcor.test", 0, 0, 0, "double[]", 1
"ppcor", "spcor.test", 1, 0, 0, "double[]", 1
"ppcor", "spcor.test", 2, 0, 0, "struct<`deg`:double[], `BC`:double[]>", 1
"ppcor", "spcor.test", 3, 0, 0, "character[]", 1
