package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"prettyunits", "%+%", -1, 0, 0, "character", 1
"prettyunits", "%+%", 0, 0, 0, "character", 1
"prettyunits", "%+%", 0, 0, 1, "double", 1
"prettyunits", "%+%", 1, 0, 0, "character", 1
"prettyunits", "assert_diff_time", -1, 0, 0, "null", 1
"prettyunits", "assert_diff_time", 0, 0, 0, "class<`difftime`>", 1
"prettyunits", "assert_string", -1, 0, 0, "null", 1
"prettyunits", "assert_string", 0, 0, 0, "character", 1
"prettyunits", "compute_bytes", -1, 0, 0, "class<`data.frame`>", 1
"prettyunits", "compute_bytes", 0, 0, 0, "double[]", 1
"prettyunits", "compute_bytes", 1, 0, 0, "character", 1
"prettyunits", "parse_ms", -1, 0, 0, "class<`data.frame`>", 1
"prettyunits", "parse_ms", 0, 0, 0, "double[]", 1
"prettyunits", "pretty_bytes", -1, 0, 0, "character[]", 1
"prettyunits", "pretty_bytes", 0, 0, 0, "double[]", 1
"prettyunits", "pretty_bytes", 1, 0, 0, "character[]", 1
"prettyunits", "pretty_dt", -1, 0, 0, "character", 1
"prettyunits", "pretty_dt", 0, 0, 0, "class<`difftime`>", 1
"prettyunits", "pretty_dt", 1, 0, 0, "logical", 1
"prettyunits", "pretty_ms", -1, 0, 0, "character[]", 1
"prettyunits", "pretty_ms", 0, 0, 0, "double[]", 1
"prettyunits", "pretty_ms", 1, 0, 0, "logical", 1
"prettyunits", "pretty_sec", -1, 0, 0, "character[]", 1
"prettyunits", "pretty_sec", 0, 0, 0, "double[]", 1
"prettyunits", "pretty_sec", 1, 0, 0, "logical", 1
"prettyunits", "%s%", -1, 0, 0, "character", 1
"prettyunits", "%s%", 0, 0, 0, "character", 1
"prettyunits", "%s%", 1, 0, 0, "double", 1
"prettyunits", "time_ago", -1, 0, 0, "character", 1
"prettyunits", "time_ago", 0, 0, 0, "class<`POSIXct`, `POSIXt`>", 1
"prettyunits", "time_ago", 1, 0, 0, "character[]", 1
"prettyunits", "trim", -1, 0, 0, "character[]", 1
"prettyunits", "trim", 0, 0, 0, "character[]", 1
"prettyunits", "vague_dt", -1, 0, 0, "character", 1
"prettyunits", "vague_dt", 0, 0, 0, "class<`difftime`>", 1
"prettyunits", "vague_dt", 1, 0, 0, "character[]", 1
