package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"prodlim", "EventHistory.frame", -1, 0, 0, "struct<`event.history`:^double[]>", 1
"prodlim", "EventHistory.frame", 0, 0, 0, "language", 1
"prodlim", "EventHistory.frame", 1, 0, 0, "environment", 1
"prodlim", "EventHistory.frame", 1, 0, 1, "struct<>", 1
"prodlim", "EventHistory.frame", 1, 0, 2, "struct<`time`:double[], `status`:double[]>", 1
"prodlim", "EventHistory.frame", 2, 0, 0, "logical", 1
"prodlim", "EventHistory.frame", 3, 0, 0, "character[]", 1
"prodlim", "EventHistory.frame", 4, 0, 0, "logical", 1
"prodlim", "EventHistory.frame", 5, 0, 0, "logical", 1
"prodlim", "EventHistory.frame", 6, 0, 0, "character[]", 1
"prodlim", "EventHistory.frame", 7, 0, 0, "null", 1
"prodlim", "EventHistory.frame", 7, 0, 1, "language", 1
"prodlim", "EventHistory.frame", 7, 0, 2, "struct<`strata`:null, `NN`:null, `cluster`:null>", 1
"prodlim", "EventHistory.frame", 8, 0, 0, "null", 1
"prodlim", "EventHistory.frame", 8, 0, 1, "language", 1
"prodlim", "EventHistory.frame", 8, 0, 2, "struct<`strata`:character[]>", 1
"prodlim", "EventHistory.frame", 9, 0, 0, "null", 1
"prodlim", "EventHistory.frame", 10, 0, 0, "logical", 1
"prodlim", "EventHistory.frame", 11, 0, 0, "logical", 1
"prodlim", "EventHistory.frame", 12, 0, 0, "logical", 1
"prodlim", "filter", -1, 0, 0, "logical[]", 1
"prodlim", "filter", 0, 0, 0, "character[]", 1
"prodlim", "model.design", -1, 0, 0, "struct<`design`:struct<>>", 1
"prodlim", "model.design", 0, 0, 0, "language", 1
"prodlim", "model.design", 1, 0, 0, "struct<`time`:double[], `cens`:double[]>", 1
"prodlim", "model.design", 2, 0, 0, "null", 1
"prodlim", "model.design", 2, 0, 1, "struct<`ID(z)`:integer[]>", 1
"prodlim", "model.design", 3, 0, 0, "logical", 1
"prodlim", "model.design", 4, 0, 0, "double", 1
"prodlim", "model.design", 5, 0, 0, "logical", 1
"prodlim", "model.design", 5, 0, 1, "symbol", 1
"prodlim", "model.design", 6, 0, 0, "logical", 1
"prodlim", "model.design", 7, 0, 0, "logical", 1
"prodlim", "model.design", 7, 0, 1, "character", 1
