package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"proto", "$", -1, 0, 0, "class<`environment`, `proto`>", 1
"proto", "$", 0, 0, 0, "class<`environment`, `proto`>", 1
"proto", "$", 0, 0, 1, "environment", 1
"proto", "$", 1, 0, 0, "any", 1
"proto", "$", 2, 0, 0, "environment", 1
"proto", "$", 3, 0, 0, "...", 1
"proto", "$", 4, 0, 0, "any", 1
"proto", "$", -1, 1, 0, "character[]", 1
"proto", "$", -1, 1, 1, "class<`environment`, `proto`>", 1
"proto", "$", -1, 1, 2, "class<`function`>", 1
"proto", "$", -1, 1, 3, "double", 1
"proto", "$", -1, 1, 4, "null", 1
"proto", "$", -1, 1, 5, "list<double | class<`function`> | class<`function`> | double[] | class<`function`>>", 1
"proto", "$", 0, 1, 0, "...", 1
"proto", "as.proto", -1, 0, 0, "class<`environment`, `proto`>", 1
"proto", "as.proto", 0, 0, 0, "list<double | class<`function`>>", 1
"proto", "as.proto", 1, 0, 0, "...", 1
"proto", "as.proto.environment", -1, 0, 0, "class<`environment`, `proto`>", 1
"proto", "as.proto.environment", 0, 0, 0, "class<`environment`, `proto`>", 1
"proto", "as.proto.environment", 0, 0, 1, "environment", 1
"proto", "as.proto.environment", 1, 0, 0, "...", 1
"proto", "as.proto.list", -1, 0, 0, "class<`environment`, `proto`>", 1
"proto", "as.proto.list", 0, 0, 0, "list<double | class<`function`>>", 1
"proto", "as.proto.list", 1, 0, 0, "any", 1
"proto", "as.proto.list", 2, 0, 0, "any", 1
"proto", "as.proto.list", 3, 0, 0, "logical", 1
"proto", "as.proto.list", 4, 0, 0, "...", 1
"proto", "as.proto.list", 5, 0, 0, "class<`environment`, `proto`>", 1
"proto", "as.proto.list", 6, 0, 0, "class<`function`>", 1
"proto", "filter", -1, 0, 0, "logical[]", 1
"proto", "filter", 0, 0, 0, "character[]", 1
"proto", "is.proto", -1, 0, 0, "logical", 1
"proto", "is.proto", 0, 0, 0, "class<`environment`, `proto`>", 1
"proto", "is.proto", 0, 0, 1, "environment", 1
"proto", "name.proto", -1, 0, 0, "character", 1
"proto", "name.proto", 0, 0, 0, "class<`environment`, `proto`>", 1
"proto", "name.proto", 1, 0, 0, "environment", 1
"proto", "print.proto", -1, 0, 0, "class<`environment`, `proto`>", 1
"proto", "print.proto", 0, 0, 0, "class<`environment`, `proto`>", 1
"proto", "print.proto", 1, 0, 0, "...", 1
"proto", "proto", -1, 0, 0, "class<`environment`, `proto`>", 1
"proto", "proto", 0, 0, 0, "class<`environment`, `proto`>", 1
"proto", "proto", 0, 0, 1, "environment", 1
"proto", "proto", 1, 0, 0, "any", 1
"proto", "proto", 2, 0, 0, "environment", 1
"proto", "proto", 3, 0, 0, "...", 1
"proto", "proto", 4, 0, 0, "any", 1
"proto", "$<-.proto", -1, 0, 0, "class<`environment`, `proto`>", 1
"proto", "$<-.proto", 0, 0, 0, "class<`environment`, `proto`>", 1
"proto", "$<-.proto", 1, 0, 0, "character", 1
"proto", "$<-.proto", 2, 0, 0, "class<`function`>", 1
"proto", "$<-.proto", 2, 0, 1, "double", 1
"proto", "$.proto", -1, 0, 0, "class<`function`>", 1
"proto", "$.proto", -1, 0, 1, "class<`protoMethod`>", 1
"proto", "$.proto", -1, 0, 2, "double[]", 1
"proto", "$.proto", 0, 0, 0, "class<`environment`, `proto`>", 1
"proto", "$.proto", 1, 0, 0, "character", 1
"proto", "res", -1, 0, 0, "class<`environment`, `proto`>", 1
"proto", "res", 0, 0, 0, "class<`environment`, `proto`>", 1
"proto", "res", 0, 0, 1, "environment", 1
"proto", "res", 1, 0, 0, "any", 1
"proto", "res", 2, 0, 0, "environment", 1
"proto", "res", 3, 0, 0, "...", 1
"proto", "res", 4, 0, 0, "any", 1
"proto", "SELECT", -1, 0, 0, "logical", 1
"proto", "SELECT", 0, 0, 0, "any", 1
"proto", "str.proto", -1, 0, 0, "null", 1
"proto", "str.proto", 0, 0, 0, "class<`environment`, `proto`>", 1
"proto", "str.proto", 1, 0, 0, "double", 1
"proto", "str.proto", 2, 0, 0, "double", 1
"proto", "str.proto", 3, 0, 0, "character", 1
"proto", "str.proto", 4, 0, 0, "...", 1
