package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"pryr", "%||%", -1, 0, 0, "character[]", 1
"pryr", "%||%", 0, 0, 0, "character[]", 1
"pryr", "%||%", 1, 0, 0, "any", 1
"pryr", "%.%", -1, 0, 0, "class<`function`>", 1
"pryr", "%.%", 0, 0, 0, "class<`function`>", 1
"pryr", "%.%", 1, 0, 0, "class<`function`>", 1
"pryr", "%<a-%", -1, 0, 0, "null", 1
"pryr", "%<a-%", 0, 0, 0, "any", 1
"pryr", "%<a-%", 1, 0, 0, "any", 1
"pryr", "address", -1, 0, 0, "character", 1
"pryr", "address", 0, 0, 0, "any", 1
"pryr", "address2", -1, 0, 0, "character", 1
"pryr", "address2", 0, 0, 0, "class<`name`>", 1
"pryr", "address2", 1, 0, 0, "environment", 1
"pryr", "all_named", -1, 0, 0, "logical", 1
"pryr", "all_named", 0, 0, 0, "pairlist", 1
"pryr", "as.envlist", -1, 0, 0, "class<`envlist`>", 1
"pryr", "as.envlist", 0, 0, 0, "list<environment>", 1
"pryr", "ast", -1, 0, 0, "null", 1
"pryr", "ast", 0, 0, 0, "any", 1
"pryr", "binary_repr", -1, 0, 0, "character", 1
"pryr", "binary_repr", 0, 0, 0, "character", 1
"pryr", "binary_repr", 0, 0, 1, "null", 1
"pryr", "bits", -1, 0, 0, "character", 1
"pryr", "bits", 0, 0, 0, "character", 1
"pryr", "bits", 0, 0, 1, "null", 1
"pryr", "bits", 1, 0, 0, "logical", 1
"pryr", "bytes", -1, 0, 0, "character", 1
"pryr", "bytes", 0, 0, 0, "character", 1
"pryr", "bytes", 0, 0, 1, "double", 1
"pryr", "bytes", 0, 0, 2, "null", 1
"pryr", "bytes", 1, 0, 0, "logical", 1
"pryr", "%<c-%", -1, 0, 0, "double", 1
"pryr", "%<c-%", 0, 0, 0, "any", 1
"pryr", "%<c-%", 1, 0, 0, "double", 1
"pryr", "call_tree", -1, 0, 0, "null", 1
"pryr", "call_tree", 0, 0, 0, "class<`call`>", 1
"pryr", "call_tree", 0, 0, 1, "class<`if`>", 1
"pryr", "call_tree", 0, 0, 2, "expression", 1
"pryr", "call_tree", 1, 0, 0, "integer", 1
"pryr", "check_name", -1, 0, 0, "class<`name`>", 1
