package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"qdapRegex", "%|%", -1, 0, 0, "character", 1
"qdapRegex", "%|%", 0, 0, 0, "character", 1
"qdapRegex", "%|%", 1, 0, 0, "character", 1
"qdapRegex", "%+%", -1, 0, 0, "character", 1
"qdapRegex", "%+%", 0, 0, 0, "character", 1
"qdapRegex", "%+%", 1, 0, 0, "character", 1
"qdapRegex", "as_count", -1, 0, 0, "class<`data.frame`>", 1
"qdapRegex", "as_count", 0, 0, 0, "class<`extracted`, `list`>", 1
"qdapRegex", "as_count", 1, 0, 0, "...", 1
"qdapRegex", "as_numeric", -1, 0, 0, "list<double[] | null>", 1
"qdapRegex", "as_numeric", 0, 0, 0, "class<`extracted`, `list`>", 1
"qdapRegex", "as_numeric2", -1, 0, 0, "^double[]", 1
"qdapRegex", "as_numeric2", 0, 0, 0, "class<`extracted`, `list`>", 1
"qdapRegex", "as_time", -1, 0, 0, "list<character[]>", 1
"qdapRegex", "as_time", -1, 0, 1, "list<character[] | null>", 1
"qdapRegex", "as_time", -1, 0, 2, "list<class<`POSIXlt`, `POSIXt`>>", 1
"qdapRegex", "as_time", 0, 0, 0, "class<`extracted`, `list`>", 1
"qdapRegex", "as_time", 1, 0, 0, "logical", 1
"qdapRegex", "as_time", 2, 0, 0, "logical", 1
"qdapRegex", "bind", -1, 0, 0, "character[]", 1
"qdapRegex", "bind", 0, 0, 0, "...", 1
"qdapRegex", "bind", 1, 0, 0, "character", 1
"qdapRegex", "bind", 2, 0, 0, "character", 1
"qdapRegex", "bind", 3, 0, 0, "any", 1
"qdapRegex", "bind_or", -1, 0, 0, "character", 1
"qdapRegex", "bind_or", 0, 0, 0, "...", 1
"qdapRegex", "bind_or", 1, 0, 0, "logical", 1
"qdapRegex", "bind_or", 2, 0, 0, "character", 1
"qdapRegex", "bind_or", 3, 0, 0, "character", 1
"qdapRegex", "bracket_convert", -1, 0, 0, "list<character[]>", 1
"qdapRegex", "bracket_convert", 0, 0, 0, "character[]", 1
"qdapRegex", "cheat", -1, 0, 0, "class<`data.frame`>", 1
"qdapRegex", "cheat", 0, 0, 0, "class<`data.frame`>", 1
"qdapRegex", "cheat", 1, 0, 0, "logical", 1
"qdapRegex", "clean", -1, 0, 0, "^character[]", 1
"qdapRegex", "clean", 0, 0, 0, "^character[]", 1
"qdapRegex", "distribute", -1, 0, 0, "character[]", 1
"qdapRegex", "distribute", 0, 0, 0, "character[]", 1
"qdapRegex", "distribute", 1, 0, 0, "logical", 1
"qdapRegex", "escape", -1, 0, 0, "class<`character`, `escape`>", 1
"qdapRegex", "escape", 0, 0, 0, "character", 1
"qdapRegex", "ex_abbreviation", -1, 0, 0, "class<`extracted`, `list`>", 1
"qdapRegex", "ex_abbreviation", 0, 0, 0, "character[]", 1
"qdapRegex", "ex_abbreviation", 1, 0, 0, "logical", 1
"qdapRegex", "ex_abbreviation", 2, 0, 0, "logical", 1
"qdapRegex", "ex_abbreviation", 3, 0, 0, "character", 1
"qdapRegex", "ex_abbreviation", 4, 0, 0, "character", 1
"qdapRegex", "ex_abbreviation", 5, 0, 0, "logical", 1
"qdapRegex", "ex_abbreviation", 6, 0, 0, "null", 1
"qdapRegex", "ex_abbreviation", 7, 0, 0, "...", 1
"qdapRegex", "ex_angle", -1, 0, 0, "class<`extracted`, `list`>", 1
"qdapRegex", "ex_angle", 0, 0, 0, "character", 1
"qdapRegex", "ex_angle", 1, 0, 0, "character", 1
"qdapRegex", "ex_angle", 2, 0, 0, "logical", 1
"qdapRegex", "ex_angle", 3, 0, 0, "logical", 1
"qdapRegex", "ex_angle", 4, 0, 0, "character", 1
"qdapRegex", "ex_angle", 5, 0, 0, "logical", 1
"qdapRegex", "ex_angle", 6, 0, 0, "logical", 1
"qdapRegex", "ex_angle", 7, 0, 0, "null", 1
"qdapRegex", "ex_angle", 8, 0, 0, "...", 1
"qdapRegex", "ex_between", -1, 0, 0, "class<`extracted`, `list`>", 1
"qdapRegex", "ex_between", 0, 0, 0, "character[]", 1
"qdapRegex", "ex_between", 1, 0, 0, "character[]", 1
"qdapRegex", "ex_between", 2, 0, 0, "character[]", 1
"qdapRegex", "ex_between", 3, 0, 0, "logical", 1
"qdapRegex", "ex_between", 4, 0, 0, "logical", 1
"qdapRegex", "ex_between", 5, 0, 0, "logical", 1
"qdapRegex", "ex_between", 6, 0, 0, "character", 1
"qdapRegex", "ex_between", 7, 0, 0, "logical", 1
"qdapRegex", "ex_between", 8, 0, 0, "logical", 1
"qdapRegex", "ex_between", 9, 0, 0, "null", 1
"qdapRegex", "ex_between", 10, 0, 0, "...", 1
"qdapRegex", "ex_between_multiple", -1, 0, 0, "class<`extracted`, `list`>", 1
"qdapRegex", "ex_between_multiple", -1, 0, 1, "list<character[]>", 1
"qdapRegex", "ex_between_multiple", 0, 0, 0, "character[]", 1
"qdapRegex", "ex_between_multiple", 1, 0, 0, "character[]", 1
"qdapRegex", "ex_between_multiple", 2, 0, 0, "character[]", 1
"qdapRegex", "ex_between_multiple", 3, 0, 0, "logical", 1
"qdapRegex", "ex_between_multiple", 4, 0, 0, "logical", 1
"qdapRegex", "ex_between_multiple", 5, 0, 0, "logical", 1
"qdapRegex", "ex_between_multiple", 6, 0, 0, "character", 1
"qdapRegex", "ex_between_multiple", 7, 0, 0, "logical", 1
"qdapRegex", "ex_between_multiple", 8, 0, 0, "logical", 1
"qdapRegex", "ex_between_multiple", 9, 0, 0, "logical", 1
"qdapRegex", "ex_bracket", -1, 0, 0, "class<`extracted`, `list`>", 1
"qdapRegex", "ex_bracket", 0, 0, 0, "character[]", 1
"qdapRegex", "ex_bracket", 1, 0, 0, "character[]", 1
"qdapRegex", "ex_bracket", 2, 0, 0, "logical", 1
"qdapRegex", "ex_bracket", 3, 0, 0, "logical", 1
"qdapRegex", "ex_bracket", 4, 0, 0, "character", 1
"qdapRegex", "ex_bracket", 5, 0, 0, "logical", 1
"qdapRegex", "ex_bracket", 6, 0, 0, "logical", 1
"qdapRegex", "ex_bracket", 7, 0, 0, "null", 1
"qdapRegex", "ex_bracket", 8, 0, 0, "...", 1
"qdapRegex", "ex_caps", -1, 0, 0, "class<`extracted`, `list`>", 1
"qdapRegex", "ex_caps", 0, 0, 0, "character", 1
"qdapRegex", "ex_caps", 1, 0, 0, "logical", 1
"qdapRegex", "ex_caps", 2, 0, 0, "logical", 1
"qdapRegex", "ex_caps", 3, 0, 0, "character", 1
"qdapRegex", "ex_caps", 4, 0, 0, "character", 1
"qdapRegex", "ex_caps", 5, 0, 0, "logical", 1
"qdapRegex", "ex_caps", 6, 0, 0, "null", 1
"qdapRegex", "ex_caps", 7, 0, 0, "...", 1
"qdapRegex", "ex_caps_phrase", -1, 0, 0, "class<`extracted`, `list`>", 1
"qdapRegex", "ex_caps_phrase", 0, 0, 0, "character[]", 1
"qdapRegex", "ex_caps_phrase", 1, 0, 0, "logical", 1
"qdapRegex", "ex_caps_phrase", 2, 0, 0, "logical", 1
"qdapRegex", "ex_caps_phrase", 3, 0, 0, "character", 1
"qdapRegex", "ex_caps_phrase", 4, 0, 0, "character", 1
"qdapRegex", "ex_caps_phrase", 5, 0, 0, "logical", 1
"qdapRegex", "ex_caps_phrase", 6, 0, 0, "null", 1
"qdapRegex", "ex_caps_phrase", 7, 0, 0, "...", 1
"qdapRegex", "ex_citation", -1, 0, 0, "class<`extracted`, `list`>", 1
"qdapRegex", "ex_citation", 0, 0, 0, "character[]", 1
"qdapRegex", "ex_citation", 1, 0, 0, "logical", 1
"qdapRegex", "ex_citation", 2, 0, 0, "logical", 1
"qdapRegex", "ex_citation", 3, 0, 0, "character", 1
"qdapRegex", "ex_citation", 4, 0, 0, "character", 1
"qdapRegex", "ex_citation", 5, 0, 0, "logical", 1
"qdapRegex", "ex_citation", 6, 0, 0, "null", 1
"qdapRegex", "ex_citation", 7, 0, 0, "...", 1
"qdapRegex", "ex_citation_tex", -1, 0, 0, "class<`extracted`, `list`>", 1
"qdapRegex", "ex_citation_tex", 0, 0, 0, "character[]", 1
"qdapRegex", "ex_citation_tex", 1, 0, 0, "logical", 1
"qdapRegex", "ex_citation_tex", 2, 0, 0, "logical", 1
"qdapRegex", "ex_citation_tex", 3, 0, 0, "character", 1
"qdapRegex", "ex_citation_tex", 4, 0, 0, "character", 1
"qdapRegex", "ex_citation_tex", 5, 0, 0, "logical", 1
"qdapRegex", "ex_citation_tex", 6, 0, 0, "logical", 1
"qdapRegex", "ex_citation_tex", 7, 0, 0, "logical", 1
"qdapRegex", "ex_citation_tex", 8, 0, 0, "null", 1
"qdapRegex", "ex_citation_tex", 9, 0, 0, "...", 1
"qdapRegex", "ex_city_state", -1, 0, 0, "class<`extracted`, `list`>", 1
"qdapRegex", "ex_city_state", 0, 0, 0, "character", 1
"qdapRegex", "ex_city_state", 1, 0, 0, "logical", 1
"qdapRegex", "ex_city_state", 2, 0, 0, "logical", 1
"qdapRegex", "ex_city_state", 3, 0, 0, "character", 1
"qdapRegex", "ex_city_state", 4, 0, 0, "character", 1
"qdapRegex", "ex_city_state", 5, 0, 0, "logical", 1
"qdapRegex", "ex_city_state", 6, 0, 0, "null", 1
"qdapRegex", "ex_city_state", 7, 0, 0, "...", 1
