package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"qqman", "filter", -1, 0, 0, "logical[]", 1
"qqman", "filter", 0, 0, 0, "character[]", 1
"qqman", "fun", -1, 0, 0, "null", 1
"qqman", "fun", 0, 0, 0, "...", 1
"qqman", "manhattan", -1, 0, 0, "list<logical>", 1
"qqman", "manhattan", 0, 0, 0, "class<`data.frame`>", 1
"qqman", "manhattan", 1, 0, 0, "character", 1
"qqman", "manhattan", 2, 0, 0, "character", 1
"qqman", "manhattan", 3, 0, 0, "character", 1
"qqman", "manhattan", 4, 0, 0, "character", 1
"qqman", "manhattan", 5, 0, 0, "character[]", 1
"qqman", "manhattan", 6, 0, 0, "null", 1
"qqman", "manhattan", 6, 0, 1, "character[]", 1
"qqman", "manhattan", 7, 0, 0, "double", 1
"qqman", "manhattan", 8, 0, 0, "double", 1
"qqman", "manhattan", 9, 0, 0, "null", 1
"qqman", "manhattan", 9, 0, 1, "character[]", 1
"qqman", "manhattan", 10, 0, 0, "logical", 1
"qqman", "manhattan", 11, 0, 0, "null", 1
"qqman", "manhattan", 11, 0, 1, "double", 1
"qqman", "qq", -1, 0, 0, "null", 1
"qqman", "qq", 0, 0, 0, "double[]", 1
"qqman", "qq", 1, 0, 0, "...", 1
