package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"quadprog", "solve.QP", -1, 0, 0, "list<double[]>", 1
"quadprog", "solve.QP", 0, 0, 0, "class<`matrix`>", 1
"quadprog", "solve.QP", 1, 0, 0, "double[]", 1
"quadprog", "solve.QP", 2, 0, 0, "class<`matrix`>", 1
"quadprog", "solve.QP", 3, 0, 0, "double[]", 1
"quadprog", "solve.QP", 4, 0, 0, "double", 1
"quadprog", "solve.QP", 5, 0, 0, "logical", 1
"quadprog", "solve.QP.compact", -1, 0, 0, "list<double[]>", 1
"quadprog", "solve.QP.compact", 0, 0, 0, "class<`matrix`>", 1
"quadprog", "solve.QP.compact", 1, 0, 0, "double[]", 1
"quadprog", "solve.QP.compact", 2, 0, 0, "class<`matrix`>", 1
"quadprog", "solve.QP.compact", 3, 0, 0, "class<`matrix`>", 1
"quadprog", "solve.QP.compact", 4, 0, 0, "double[]", 1
"quadprog", "solve.QP.compact", 5, 0, 0, "double", 1
"quadprog", "solve.QP.compact", 6, 0, 0, "logical", 1
