package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"randomForest", "classCenter", -1, 0, 0, "class<`matrix`>", 1
"randomForest", "classCenter", 0, 0, 0, "class<`data.frame`>", 1
"randomForest", "classCenter", 1, 0, 0, "class<`factor`>", 1
"randomForest", "classCenter", 2, 0, 0, "class<`matrix`>", 1
"randomForest", "classCenter", 3, 0, 0, "double", 1
"randomForest", "combine", -1, 0, 0, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "combine", 0, 0, 0, "...", 1
"randomForest", "getTree", -1, 0, 0, "class<`data.frame`>", 1
"randomForest", "getTree", 0, 0, 0, "class<`randomForest`>", 1
"randomForest", "getTree", 1, 0, 0, "double", 1
"randomForest", "getTree", 2, 0, 0, "logical", 1
"randomForest", "grow", -1, 0, 0, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "grow", 0, 0, 0, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "grow", 1, 0, 0, "...", 1
"randomForest", "grow.randomForest", -1, 0, 0, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "grow.randomForest", 0, 0, 0, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "grow.randomForest", 1, 0, 0, "double", 1
"randomForest", "grow.randomForest", 2, 0, 0, "...", 1
"randomForest", "importance", -1, 0, 0, "class<`matrix`>", 1
"randomForest", "importance", 0, 0, 0, "class<`randomForest`>", 1
"randomForest", "importance", 0, 0, 1, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "importance", 1, 0, 0, "...", 1
"randomForest", "importance.randomForest", -1, 0, 0, "class<`matrix`>", 1
"randomForest", "importance.randomForest", 0, 0, 0, "class<`randomForest`>", 1
"randomForest", "importance.randomForest", 0, 0, 1, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "importance.randomForest", 1, 0, 0, "double", 1
"randomForest", "importance.randomForest", 1, 0, 1, "null", 1
"randomForest", "importance.randomForest", 2, 0, 0, "any", 1
"randomForest", "importance.randomForest", 3, 0, 0, "logical", 1
"randomForest", "importance.randomForest", 4, 0, 0, "...", 1
"randomForest", "margin", -1, 0, 0, "class<`margin`>", 1
"randomForest", "margin", 0, 0, 0, "class<`matrix`, `votes`>", 1
"randomForest", "margin", 0, 0, 1, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "margin", 1, 0, 0, "...", 1
"randomForest", "margin.default", -1, 0, 0, "class<`margin`>", 1
"randomForest", "margin.default", 0, 0, 0, "class<`matrix`, `votes`>", 1
"randomForest", "margin.default", 1, 0, 0, "class<`factor`>", 1
"randomForest", "margin.default", 2, 0, 0, "...", 1
"randomForest", "margin.randomForest", -1, 0, 0, "class<`margin`>", 1
"randomForest", "margin.randomForest", 0, 0, 0, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "margin.randomForest", 1, 0, 0, "...", 1
"randomForest", "MDSplot", -1, 0, 0, "list<class<`matrix`> | double[] | null>", 1
"randomForest", "MDSplot", 0, 0, 0, "class<`randomForest`>", 1
"randomForest", "MDSplot", 0, 0, 1, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "MDSplot", 1, 0, 0, "class<`factor`>", 1
"randomForest", "MDSplot", 2, 0, 0, "double", 1
"randomForest", "MDSplot", 3, 0, 0, "null", 1
"randomForest", "MDSplot", 3, 0, 1, "double[]", 1
"randomForest", "MDSplot", 4, 0, 0, "double[]", 1
"randomForest", "MDSplot", 5, 0, 0, "...", 1
"randomForest", "na.roughfix", -1, 0, 0, "class<`data.frame`>", 1
"randomForest", "na.roughfix", 0, 0, 0, "class<`data.frame`>", 1
"randomForest", "na.roughfix", 1, 0, 0, "...", 1
"randomForest", "na.roughfix.data.frame", -1, 0, 0, "class<`data.frame`>", 1
"randomForest", "na.roughfix.data.frame", 0, 0, 0, "class<`data.frame`>", 1
"randomForest", "na.roughfix.data.frame", 1, 0, 0, "...", 1
"randomForest", "outlier", -1, 0, 0, "double[]", 1
"randomForest", "outlier", 0, 0, 0, "class<`randomForest`>", 1
"randomForest", "outlier", 1, 0, 0, "...", 1
"randomForest", "outlier.default", -1, 0, 0, "double[]", 1
"randomForest", "outlier.default", 0, 0, 0, "class<`matrix`>", 1
"randomForest", "outlier.default", 1, 0, 0, "class<`factor`>", 1
"randomForest", "outlier.default", 2, 0, 0, "...", 1
"randomForest", "outlier.randomForest", -1, 0, 0, "double[]", 1
"randomForest", "outlier.randomForest", 0, 0, 0, "class<`randomForest`>", 1
"randomForest", "outlier.randomForest", 1, 0, 0, "...", 1
"randomForest", "partialPlot", -1, 0, 0, "list<double[]>", 1
"randomForest", "partialPlot", 0, 0, 0, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "partialPlot", 1, 0, 0, "...", 1
"randomForest", "partialPlot.randomForest", -1, 0, 0, "list<double[]>", 1
"randomForest", "partialPlot.randomForest", 0, 0, 0, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "partialPlot.randomForest", 1, 0, 0, "class<`data.frame`>", 1
"randomForest", "partialPlot.randomForest", 2, 0, 0, "any", 1
"randomForest", "partialPlot.randomForest", 3, 0, 0, "any", 1
"randomForest", "partialPlot.randomForest", 4, 0, 0, "any", 1
"randomForest", "partialPlot.randomForest", 5, 0, 0, "logical", 1
"randomForest", "partialPlot.randomForest", 6, 0, 0, "logical", 1
"randomForest", "partialPlot.randomForest", 7, 0, 0, "double", 1
"randomForest", "partialPlot.randomForest", 8, 0, 0, "logical", 1
"randomForest", "partialPlot.randomForest", 9, 0, 0, "character", 1
"randomForest", "partialPlot.randomForest", 10, 0, 0, "character", 1
"randomForest", "partialPlot.randomForest", 11, 0, 0, "character", 1
"randomForest", "partialPlot.randomForest", 12, 0, 0, "...", 1
"randomForest", "plot.margin", -1, 0, 0, "null", 1
"randomForest", "plot.margin", 0, 0, 0, "class<`margin`>", 1
"randomForest", "plot.margin", 1, 0, 0, "logical", 1
"randomForest", "plot.margin", 2, 0, 0, "...", 1
"randomForest", "plot.randomForest", -1, 0, 0, "double[]", 1
"randomForest", "plot.randomForest", 0, 0, 0, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "plot.randomForest", 1, 0, 0, "character", 1
"randomForest", "plot.randomForest", 2, 0, 0, "character", 1
"randomForest", "plot.randomForest", 3, 0, 0, "...", 1
"randomForest", "predict.randomForest", -1, 0, 0, "class<`factor`>", 1
"randomForest", "predict.randomForest", -1, 0, 1, "class<`matrix`, `votes`>", 1
"randomForest", "predict.randomForest", -1, 0, 2, "double[]", 1
"randomForest", "predict.randomForest", -1, 0, 3, "list<class<`factor`> | class<`matrix`>>", 1
"randomForest", "predict.randomForest", 0, 0, 0, "class<`randomForest`>", 1
"randomForest", "predict.randomForest", 0, 0, 1, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "predict.randomForest", 1, 0, 0, "class<`matrix`>", 1
"randomForest", "predict.randomForest", 1, 0, 1, "class<`data.frame`>", 1
"randomForest", "predict.randomForest", 2, 0, 0, "character", 1
"randomForest", "predict.randomForest", 3, 0, 0, "logical", 1
"randomForest", "predict.randomForest", 4, 0, 0, "logical", 1
"randomForest", "predict.randomForest", 5, 0, 0, "logical", 1
"randomForest", "predict.randomForest", 6, 0, 0, "logical", 1
"randomForest", "predict.randomForest", 7, 0, 0, "any", 1
"randomForest", "predict.randomForest", 8, 0, 0, "...", 1
"randomForest", "print.randomForest", -1, 0, 0, "null", 1
"randomForest", "print.randomForest", 0, 0, 0, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "print.randomForest", 1, 0, 0, "...", 1
"randomForest", "randomForest", -1, 0, 0, "class<`randomForest`>", 1
"randomForest", "randomForest", -1, 0, 1, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "randomForest", 0, 0, 0, "any", 1
"randomForest", "randomForest", 1, 0, 0, "...", 1
"randomForest", "randomForest.default", -1, 0, 0, "class<`randomForest`>", 1
"randomForest", "randomForest.default", 0, 0, 0, "class<`data.frame`>", 1
"randomForest", "randomForest.default", 0, 0, 1, "class<`matrix`>", 1
"randomForest", "randomForest.default", 1, 0, 0, "class<`factor`>", 1
"randomForest", "randomForest.default", 1, 0, 1, "double[]", 1
"randomForest", "randomForest.default", 1, 0, 2, "null", 1
"randomForest", "randomForest.default", 2, 0, 0, "null", 1
"randomForest", "randomForest.default", 2, 0, 1, "class<`data.frame`>", 1
"randomForest", "randomForest.default", 3, 0, 0, "null", 1
"randomForest", "randomForest.default", 3, 0, 1, "class<`factor`>", 1
"randomForest", "randomForest.default", 4, 0, 0, "double", 1
"randomForest", "randomForest.default", 5, 0, 0, "double", 1
"randomForest", "randomForest.default", 6, 0, 0, "logical", 1
"randomForest", "randomForest.default", 7, 0, 0, "null", 1
"randomForest", "randomForest.default", 8, 0, 0, "any", 1
"randomForest", "randomForest.default", 9, 0, 0, "any", 1
"randomForest", "randomForest.default", 10, 0, 0, "double[]", 1
"randomForest", "randomForest.default", 11, 0, 0, "double", 1
"randomForest", "randomForest.default", 12, 0, 0, "double", 1
"randomForest", "randomForest.default", 12, 0, 1, "null", 1
"randomForest", "randomForest.default", 13, 0, 0, "logical", 1
"randomForest", "randomForest.default", 14, 0, 0, "logical", 1
"randomForest", "randomForest.default", 15, 0, 0, "double", 1
"randomForest", "randomForest.default", 16, 0, 0, "any", 1
"randomForest", "randomForest.default", 17, 0, 0, "logical", 1
"randomForest", "randomForest.default", 18, 0, 0, "logical", 1
"randomForest", "randomForest.default", 19, 0, 0, "double", 1
"randomForest", "randomForest.formula", -1, 0, 0, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "randomForest.formula", 0, 0, 0, "class<`formula`>", 1
"randomForest", "randomForest.formula", 1, 0, 0, "any", 1
"randomForest", "randomForest.formula", 2, 0, 0, "...", 1
"randomForest", "randomForest.formula", 3, 0, 0, "any", 1
"randomForest", "randomForest.formula", 4, 0, 0, "class<`function`>", 1
"randomForest", "rfcv", -1, 0, 0, "list<double[] | list<class<`factor`>>>", 1
"randomForest", "rfcv", 0, 0, 0, "class<`data.frame`>", 1
"randomForest", "rfcv", 1, 0, 0, "class<`factor`>", 1
"randomForest", "rfcv", 2, 0, 0, "double", 1
"randomForest", "rfcv", 3, 0, 0, "character", 1
"randomForest", "rfcv", 4, 0, 0, "double", 1
"randomForest", "rfcv", 5, 0, 0, "class<`function`>", 1
"randomForest", "rfcv", 6, 0, 0, "logical", 1
"randomForest", "rfcv", 7, 0, 0, "...", 1
"randomForest", "rfImpute", -1, 0, 0, "class<`data.frame`>", 1
"randomForest", "rfImpute", 0, 0, 0, "class<`formula`>", 1
"randomForest", "rfImpute", 1, 0, 0, "...", 1
"randomForest", "rfImpute.default", -1, 0, 0, "class<`data.frame`>", 1
"randomForest", "rfImpute.default", 0, 0, 0, "class<`data.frame`>", 1
"randomForest", "rfImpute.default", 1, 0, 0, "class<`factor`>", 1
"randomForest", "rfImpute.default", 2, 0, 0, "double", 1
"randomForest", "rfImpute.default", 3, 0, 0, "double", 1
"randomForest", "rfImpute.default", 4, 0, 0, "...", 1
"randomForest", "rfImpute.formula", -1, 0, 0, "class<`data.frame`>", 1
"randomForest", "rfImpute.formula", 0, 0, 0, "class<`formula`>", 1
"randomForest", "rfImpute.formula", 1, 0, 0, "any", 1
"randomForest", "rfImpute.formula", 2, 0, 0, "...", 1
"randomForest", "rfImpute.formula", 3, 0, 0, "any", 1
"randomForest", "treesize", -1, 0, 0, "double[]", 1
"randomForest", "treesize", 0, 0, 0, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "treesize", 1, 0, 0, "logical", 1
"randomForest", "tuneRF", -1, 0, 0, "class<`matrix`>", 1
"randomForest", "tuneRF", 0, 0, 0, "class<`data.frame`>", 1
"randomForest", "tuneRF", 1, 0, 0, "class<`factor`>", 1
"randomForest", "tuneRF", 2, 0, 0, "double", 1
"randomForest", "tuneRF", 3, 0, 0, "double", 1
"randomForest", "tuneRF", 4, 0, 0, "double", 1
"randomForest", "tuneRF", 5, 0, 0, "double", 1
"randomForest", "tuneRF", 6, 0, 0, "logical", 1
"randomForest", "tuneRF", 7, 0, 0, "logical", 1
"randomForest", "tuneRF", 8, 0, 0, "logical", 1
"randomForest", "tuneRF", 9, 0, 0, "...", 1
"randomForest", "varImpPlot", -1, 0, 0, "class<`matrix`>", 1
"randomForest", "varImpPlot", 0, 0, 0, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "varImpPlot", 1, 0, 0, "logical", 1
"randomForest", "varImpPlot", 2, 0, 0, "double", 1
"randomForest", "varImpPlot", 3, 0, 0, "null", 1
"randomForest", "varImpPlot", 4, 0, 0, "null", 1
"randomForest", "varImpPlot", 5, 0, 0, "logical", 1
"randomForest", "varImpPlot", 6, 0, 0, "character", 1
"randomForest", "varImpPlot", 7, 0, 0, "...", 1
"randomForest", "varUsed", -1, 0, 0, "double[]", 1
"randomForest", "varUsed", 0, 0, 0, "class<`randomForest`, `randomForest.formula`>", 1
"randomForest", "varUsed", 1, 0, 0, "logical", 1
"randomForest", "varUsed", 2, 0, 0, "logical", 1
