package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"randtoolbox", ":::", -1, 0, 0, "any", 1
"randtoolbox", ":::", 0, 0, 0, "character", 1
"randtoolbox", ":::", 1, 0, 0, "character", 1
"randtoolbox", "bit2int", -1, 0, 0, "double", 1
"randtoolbox", "bit2int", 0, 0, 0, "class<`matrix`>", 1
"randtoolbox", "bit2int", 0, 0, 1, "double[]", 1
"randtoolbox", "bit2unitreal", -1, 0, 0, "double", 1
"randtoolbox", "bit2unitreal", 0, 0, 0, "class<`matrix`>", 1
"randtoolbox", "bits.to.real", -1, 0, 0, "double", 1
"randtoolbox", "bits.to.real", 0, 0, 0, "class<`matrix`>", 1
"randtoolbox", "bits.to.real", 0, 0, 1, "double[]", 1
"randtoolbox", "coll.test", -1, 0, 0, "list<double[]>", 1
"randtoolbox", "coll.test", 0, 0, 0, "class<`function`>", 1
"randtoolbox", "coll.test", 1, 0, 0, "double", 1
"randtoolbox", "coll.test", 2, 0, 0, "double", 1
"randtoolbox", "coll.test", 3, 0, 0, "double", 1
"randtoolbox", "coll.test", 4, 0, 0, "double", 1
"randtoolbox", "coll.test", 5, 0, 0, "logical", 1
"randtoolbox", "coll.test", 6, 0, 0, "...", 1
"randtoolbox", "coll.test.sparse", -1, 0, 0, "class<`data.frame`>", 1
"randtoolbox", "coll.test.sparse", 0, 0, 0, "class<`function`>", 1
"randtoolbox", "coll.test.sparse", 1, 0, 0, "double", 1
"randtoolbox", "coll.test.sparse", 2, 0, 0, "double", 1
"randtoolbox", "coll.test.sparse", 3, 0, 0, "double", 1
"randtoolbox", "coll.test.sparse", 4, 0, 0, "double", 1
"randtoolbox", "coll.test.sparse", 5, 0, 0, "...", 1
"randtoolbox", "congruRand", -1, 0, 0, "double[]", 1
"randtoolbox", "congruRand", 0, 0, 0, "double", 1
"randtoolbox", "congruRand", 1, 0, 0, "double", 1
"randtoolbox", "congruRand", 2, 0, 0, "double", 1
"randtoolbox", "congruRand", 3, 0, 0, "double", 1
"randtoolbox", "congruRand", 4, 0, 0, "double", 1
"randtoolbox", "congruRand", 5, 0, 0, "any", 1
"randtoolbox", "freq.test", -1, 0, 0, "list<double[]>", 1
"randtoolbox", "freq.test", 0, 0, 0, "double[]", 1
"randtoolbox", "freq.test", 1, 0, 0, "integer[]", 1
"randtoolbox", "freq.test", 2, 0, 0, "logical", 1
"randtoolbox", "FUN", -1, 0, 0, "double", 1
"randtoolbox", "FUN", 0, 0, 0, "class<`matrix`>", 1
"randtoolbox", "FUN", 0, 0, 1, "double[]", 1
"randtoolbox", "FUN", -1, 1, 0, "double[]", 1
"randtoolbox", "FUN", 0, 1, 0, "double", 1
"randtoolbox", "gap.test", -1, 0, 0, "list<double[]>", 1
"randtoolbox", "gap.test", 0, 0, 0, "double[]", 1
"randtoolbox", "gap.test", 1, 0, 0, "double", 1
"randtoolbox", "gap.test", 2, 0, 0, "double", 1
"randtoolbox", "gap.test", 3, 0, 0, "logical", 1
"randtoolbox", "get.description", -1, 0, 0, "list<character[] | integer[]>", 1
"randtoolbox", "getParameters", -1, 0, 0, "list<double[] | class<`matrix`> | double[] | class<`matrix`> | null>", 1
"randtoolbox", "getParameters", 0, 0, 0, "character", 1
"randtoolbox", "get.primes", -1, 0, 0, "integer[]", 1
"randtoolbox", "get.primes", 0, 0, 0, "double", 1
"randtoolbox", ".getrandtoolboxEnv", -1, 0, 0, "any", 1
"randtoolbox", ".getrandtoolboxEnv", 0, 0, 0, "character", 1
"randtoolbox", ".getrandtoolboxEnv", 1, 0, 0, "character", 1
"randtoolbox", "getWELLState", -1, 0, 0, "class<`matrix`>", 1
"randtoolbox", "halton", -1, 0, 0, "any", 1
"randtoolbox", "halton", 0, 0, 0, "double", 1
"randtoolbox", "halton", 1, 0, 0, "double", 1
"randtoolbox", "halton", 2, 0, 0, "logical", 1
"randtoolbox", "halton", 3, 0, 0, "logical", 1
"randtoolbox", "halton", 4, 0, 0, "logical", 1
"randtoolbox", "halton", 5, 0, 0, "logical", 1
"randtoolbox", "halton", 6, 0, 0, "character", 1
"randtoolbox", "halton", 7, 0, 0, "double", 1
"randtoolbox", "hex.to.bits", -1, 0, 0, "double[]", 1
"randtoolbox", "hex.to.bits", 0, 0, 0, "character", 1
"randtoolbox", "int2bit", -1, 0, 0, "double[]", 1
"randtoolbox", "int2bit", 0, 0, 0, "double", 1
"randtoolbox", "int.to.bits", -1, 0, 0, "class<`matrix`>", 1
"randtoolbox", "int.to.bits", 0, 0, 0, "integer[]", 1
"randtoolbox", "knuthTAOCP", -1, 0, 0, "(class<`matrix`> | double[])", 1
"randtoolbox", "knuthTAOCP", 0, 0, 0, "double", 1
"randtoolbox", "knuthTAOCP", 1, 0, 0, "double", 1
