package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"readr", "%||%", -1, 0, 0, "character[]", 1
"readr", "%||%", -1, 0, 1, "logical", 1
"readr", "%||%", 0, 0, 0, "character[]", 1
"readr", "%||%", 0, 0, 1, "null", 1
"readr", "%||%", 1, 0, 0, "any", 1
"readr", "as_chunk_callback", -1, 0, 0, "class<`AccumulateCallback`, `ChunkCallback`, `R6`>", 1
"readr", "as_chunk_callback", -1, 0, 1, "class<`ChunkCallback`, `DataFrameCallback`, `R6`>", 1
"readr", "as_chunk_callback", -1, 0, 2, "class<`ChunkCallback`, `ListCallback`, `R6`>", 1
"readr", "as_chunk_callback", -1, 0, 3, "class<`ChunkCallback`, `R6`, `SideEffectChunkCallback`>", 1
"readr", "as_chunk_callback", 0, 0, 0, "class<`AccumulateCallback`, `ChunkCallback`, `R6`>", 1
"readr", "as_chunk_callback", 0, 0, 1, "class<`ChunkCallback`, `DataFrameCallback`, `R6`>", 1
"readr", "as_chunk_callback", 0, 0, 2, "class<`ChunkCallback`, `ListCallback`, `R6`>", 1
"readr", "as_chunk_callback", 0, 0, 3, "class<`ChunkCallback`, `R6`, `SideEffectChunkCallback`>", 1
"readr", "as_chunk_callback", 0, 0, 4, "class<`function`>", 1
"readr", "as_chunk_callback.ChunkCallback", -1, 0, 0, "class<`AccumulateCallback`, `ChunkCallback`, `R6`>", 1
"readr", "as_chunk_callback.ChunkCallback", -1, 0, 1, "class<`ChunkCallback`, `DataFrameCallback`, `R6`>", 1
"readr", "as_chunk_callback.ChunkCallback", -1, 0, 2, "class<`ChunkCallback`, `ListCallback`, `R6`>", 1
"readr", "as_chunk_callback.ChunkCallback", -1, 0, 3, "class<`ChunkCallback`, `R6`, `SideEffectChunkCallback`>", 1
"readr", "as_chunk_callback.ChunkCallback", -1, 0, 4, "^double[]", 1
"readr", "as_chunk_callback.ChunkCallback", 0, 0, 0, "class<`AccumulateCallback`, `ChunkCallback`, `R6`>", 1
"readr", "as_chunk_callback.ChunkCallback", 0, 0, 1, "class<`ChunkCallback`, `DataFrameCallback`, `R6`>", 1
"readr", "as_chunk_callback.ChunkCallback", 0, 0, 2, "class<`ChunkCallback`, `ListCallback`, `R6`>", 1
"readr", "as_chunk_callback.ChunkCallback", 0, 0, 3, "class<`ChunkCallback`, `R6`, `SideEffectChunkCallback`>", 1
"readr", "as_chunk_callback.ChunkCallback", 0, 0, 4, "^double[]", 1
"readr", "as_chunk_callback.function", -1, 0, 0, "class<`ChunkCallback`, `R6`, `SideEffectChunkCallback`>", 1
"readr", "as_chunk_callback.function", 0, 0, 0, "class<`function`>", 1
"readr", "as.col_spec", -1, 0, 0, "class<`col_spec`>", 1
"readr", "as.col_spec", 0, 0, 0, "character", 1
"readr", "as.col_spec", 0, 0, 1, "class<`col_spec`>", 1
"readr", "as.col_spec", 0, 0, 2, "list<class<`collector`, `collector_double`> | class<`collector`, `collector_character`>>", 1
"readr", "as.col_spec", 0, 0, 3, "list<class<`collector`, `collector_double`>>", 1
"readr", "as.col_spec", 0, 0, 4, "null", 1
"readr", "as.col_spec.character", -1, 0, 0, "class<`col_spec`>", 1
"readr", "as.col_spec.character", 0, 0, 0, "character", 1
"readr", "as.col_spec.col_spec", -1, 0, 0, "class<`col_spec`>", 1
"readr", "as.col_spec.col_spec", 0, 0, 0, "class<`col_spec`>", 1
"readr", "as.col_spec.list", -1, 0, 0, "class<`col_spec`>", 1
"readr", "as.col_spec.list", 0, 0, 0, "list<class<`collector`, `collector_double`> | class<`collector`, `collector_character`>>", 1
"readr", "as.col_spec.list", 0, 0, 1, "list<class<`collector`, `collector_double`>>", 1
"readr", "as.col_spec.NULL", -1, 0, 0, "class<`col_spec`>", 1
"readr", "as.col_spec.NULL", 0, 0, 0, "null", 1
"readr", "check_callback_fun", -1, 0, 0, "null", 1
"readr", "check_callback_fun", 0, 0, 0, "class<`function`>", 1
"readr", "check_callback_fun", 1, 0, 0, "double", 1
"readr", "check_callback_fun", 2, 0, 0, "character", 1
"readr", "check_callback_fun", 2, 0, 1, "null", 1
"readr", "check_encoding", -1, 0, 0, "logical", 1
"readr", "check_encoding", 0, 0, 0, "character", 1
"readr", "check_guess_max", -1, 0, 0, "double", 1
"readr", "check_guess_max", 0, 0, 0, "double", 1
"readr", "check_guess_max", 1, 0, 0, "double", 1
"readr", "check_path", -1, 0, 0, "character", 1
"readr", "check_path", 0, 0, 0, "character", 1
"readr", "check_tz", -1, 0, 0, "logical", 1
"readr", "check_tz", 0, 0, 0, "character", 1
"readr", "col_character", -1, 0, 0, "class<`collector`, `collector_character`>", 1
"readr", "col_date", -1, 0, 0, "class<`collector`, `collector_date`>", 1
"readr", "col_date", 0, 0, 0, "character", 1
"readr", "col_datetime", -1, 0, 0, "class<`collector`, `collector_datetime`>", 1
"readr", "col_datetime", 0, 0, 0, "character", 1
"readr", "col_double", -1, 0, 0, "class<`collector`, `collector_double`>", 1
"readr", "col_factor", -1, 0, 0, "class<`collector`, `collector_factor`>", 1
"readr", "col_factor", 0, 0, 0, "character[]", 1
"readr", "col_factor", 0, 0, 1, "null", 1
"readr", "col_factor", 1, 0, 0, "logical", 1
"readr", "col_factor", 2, 0, 0, "logical", 1
"readr", "col_guess", -1, 0, 0, "class<`collector`, `collector_guess`>", 1
"readr", "col_integer", -1, 0, 0, "class<`collector`, `collector_integer`>", 1
"readr", "collector", -1, 0, 0, "class<`collector`, `collector_character`>", 1
"readr", "collector", -1, 0, 1, "class<`collector`, `collector_date`>", 1
"readr", "collector", -1, 0, 2, "class<`collector`, `collector_datetime`>", 1
"readr", "collector", -1, 0, 3, "class<`collector`, `collector_double`>", 1
"readr", "collector", -1, 0, 4, "class<`collector`, `collector_factor`>", 1
"readr", "collector", -1, 0, 5, "class<`collector`, `collector_guess`>", 1
"readr", "collector", -1, 0, 6, "class<`collector`, `collector_integer`>", 1
"readr", "collector", -1, 0, 7, "class<`collector`, `collector_logical`>", 1
"readr", "collector", -1, 0, 8, "class<`collector`, `collector_number`>", 1
"readr", "collector", -1, 0, 9, "class<`collector`, `collector_skip`>", 1
"readr", "collector", -1, 0, 10, "class<`collector`, `collector_time`>", 1
"readr", "collector", 0, 0, 0, "character", 1
"readr", "collector", 1, 0, 0, "...", 1
"readr", "collector_find", -1, 0, 0, "class<`collector`, `collector_character`>", 1
"readr", "collector_find", -1, 0, 1, "class<`collector`, `collector_date`>", 1
"readr", "collector_find", -1, 0, 2, "class<`collector`, `collector_double`>", 1
"readr", "collector_find", -1, 0, 3, "class<`collector`, `collector_logical`>", 1
"readr", "collector_find", -1, 0, 4, "class<`collector`, `collector_number`>", 1
"readr", "collector_find", 0, 0, 0, "character", 1
"readr", "collectorGuess", -1, 0, 0, "character", 1
"readr", "collectorGuess", 0, 0, 0, "^character[]", 1
"readr", "collectorGuess", 1, 0, 0, "class<`locale`>", 1
"readr", "collectorGuess", 2, 0, 0, "logical", 1
"readr", "col_logical", -1, 0, 0, "class<`collector`, `collector_logical`>", 1
"readr", "col_number", -1, 0, 0, "class<`collector`, `collector_number`>", 1
"readr", "colourise_cols", -1, 0, 0, "character", 1
"readr", "colourise_cols", 0, 0, 0, "character", 1
"readr", "colourise_cols", 1, 0, 0, "logical", 1
"readr", "cols", -1, 0, 0, "class<`col_spec`>", 1
"readr", "cols", 0, 0, 0, "...", 1
"readr", "cols", 1, 0, 0, "class<`collector`, `collector_character`>", 1
"readr", "cols", 1, 0, 1, "class<`collector`, `collector_guess`>", 1
"readr", "cols", 1, 0, 2, "class<`collector`, `collector_skip`>", 1
"readr", "cols_condense", -1, 0, 0, "class<`col_spec`>", 1
"readr", "cols_condense", 0, 0, 0, "class<`col_spec`>", 1
"readr", "col_skip", -1, 0, 0, "class<`collector`, `collector_skip`>", 1
"readr", "cols_only", -1, 0, 0, "class<`col_spec`>", 1
"readr", "cols_only", 0, 0, 0, "...", 1
"readr", "col_spec", -1, 0, 0, "class<`col_spec`>", 1
"readr", "col_spec", 0, 0, 0, "list<any>", 1
"readr", "col_spec", 1, 0, 0, "class<`collector`, `collector_character`>", 1
"readr", "col_spec", 1, 0, 1, "class<`collector`, `collector_guess`>", 1
"readr", "col_spec", 1, 0, 2, "class<`collector`, `collector_skip`>", 1
"readr", "col_spec_standardise", -1, 0, 0, "class<`col_spec`>", 1
"readr", "col_spec_standardise", 0, 0, 0, "any", 1
"readr", "col_spec_standardise", 1, 0, 0, "character[]", 1
"readr", "col_spec_standardise", 1, 0, 1, "logical", 1
"readr", "col_spec_standardise", 2, 0, 0, "null", 1
"readr", "col_spec_standardise", 2, 0, 1, "character", 1
"readr", "col_spec_standardise", 2, 0, 2, "class<`col_spec`>", 1
"readr", "col_spec_standardise", 2, 0, 3, "list<class<`collector`, `collector_double`> | class<`collector`, `collector_character`>>", 1
"readr", "col_spec_standardise", 2, 0, 4, "list<class<`collector`, `collector_double`>>", 1
"readr", "col_spec_standardise", 3, 0, 0, "null", 1
"readr", "col_spec_standardise", 3, 0, 1, "list<character>", 1
"readr", "col_spec_standardise", 4, 0, 0, "character", 1
"readr", "col_spec_standardise", 5, 0, 0, "double", 1
"readr", "col_spec_standardise", 6, 0, 0, "any", 1
"readr", "col_spec_standardise", 7, 0, 0, "any", 1
"readr", "col_spec_standardise", 8, 0, 0, "any", 1
"readr", "col_spec_standardise", 9, 0, 0, "any", 1
"readr", "col_spec_standardise", 10, 0, 0, "logical", 1
"readr", "col_time", -1, 0, 0, "class<`collector`, `collector_time`>", 1
"readr", "col_time", 0, 0, 0, "character", 1
"readr", "count_fields", -1, 0, 0, "integer[]", 1
"readr", "count_fields", 0, 0, 0, "character", 1
"readr", "count_fields", 1, 0, 0, "class<`tokenizer_delim`>", 1
"readr", "count_fields", 2, 0, 0, "double", 1
"readr", "count_fields", 3, 0, 0, "integer", 1
"readr", "count_fields_", -1, 0, 0, "integer[]", 1
"readr", "count_fields_", 0, 0, 0, "class<`source`, `source_file`>", 1
"readr", "count_fields_", 1, 0, 0, "class<`tokenizer_delim`>", 1
"readr", "count_fields_", 2, 0, 0, "integer", 1
"readr", "datasource", -1, 0, 0, "class<`source`, `source_file`>", 1
"readr", "datasource", -1, 0, 1, "class<`source`, `source_raw`>", 1
"readr", "datasource", -1, 0, 2, "class<`source`, `source_string`>", 1
"readr", "datasource", 0, 0, 0, "character", 1
"readr", "datasource", 0, 0, 1, "class<`connection`, `rawConnection`>", 1
"readr", "datasource", 0, 0, 2, "class<`source`, `source_file`>", 1
"readr", "datasource", 0, 0, 3, "raw[]", 1
"readr", "datasource", 1, 0, 0, "double", 1
"readr", "datasource", 2, 0, 0, "any", 1
"readr", "datasource", 3, 0, 0, "character", 1
"readr", "datasource_connection", -1, 0, 0, "class<`source`, `source_file`>", 1
"readr", "datasource_connection", 0, 0, 0, "class<`bzfile`, `connection`>", 1
"readr", "datasource_connection", 0, 0, 1, "class<`connection`, `rawConnection`>", 1
"readr", "datasource_connection", 0, 0, 2, "class<`connection`, `unz`>", 1
"readr", "datasource_connection", 1, 0, 0, "double", 1
"readr", "datasource_connection", 2, 0, 0, "logical", 1
"readr", "datasource_connection", 3, 0, 0, "character", 1
"readr", "datasource_file", -1, 0, 0, "class<`source`, `source_file`>", 1
"readr", "datasource_file", 0, 0, 0, "character", 1
"readr", "datasource_file", 1, 0, 0, "double", 1
"readr", "datasource_file", 2, 0, 0, "logical", 1
"readr", "datasource_file", 3, 0, 0, "character", 1
"readr", "datasource_file", 4, 0, 0, "...", 1
"readr", "datasource_raw", -1, 0, 0, "class<`source`, `source_raw`>", 1
"readr", "datasource_raw", 0, 0, 0, "raw[]", 1
"readr", "datasource_raw", 1, 0, 0, "double", 1
"readr", "datasource_raw", 2, 0, 0, "logical", 1
"readr", "datasource_raw", 3, 0, 0, "character", 1
"readr", "datasource_string", -1, 0, 0, "class<`source`, `source_string`>", 1
"readr", "datasource_string", 0, 0, 0, "character", 1
"readr", "datasource_string", 1, 0, 0, "double", 1
"readr", "datasource_string", 2, 0, 0, "logical", 1
"readr", "datasource_string", 3, 0, 0, "character", 1
"readr", "date_names", -1, 0, 0, "class<`date_names`>", 1
"readr", "date_names", 0, 0, 0, "character[]", 1
"readr", "date_names", 1, 0, 0, "character[]", 1
"readr", "date_names", 2, 0, 0, "character[]", 1
"readr", "date_names", 3, 0, 0, "character[]", 1
"readr", "date_names", 4, 0, 0, "character[]", 1
"readr", "date_names_lang", -1, 0, 0, "class<`date_names`>", 1
"readr", "date_names_lang", 0, 0, 0, "character", 1
"readr", "default_locale", -1, 0, 0, "class<`locale`>", 1
"readr", "empty_file", -1, 0, 0, "logical", 1
"readr", "empty_file", 0, 0, 0, "character", 1
"readr", "format.col_spec", -1, 0, 0, "character", 1
"readr", "format.col_spec", 0, 0, 0, "class<`col_spec`>", 1
"readr", "format.col_spec", 1, 0, 0, "double", 1
"readr", "format.col_spec", 2, 0, 0, "null", 1
"readr", "format.col_spec", 3, 0, 0, "logical", 1
"readr", "format.col_spec", 4, 0, 0, "...", 1
"readr", "format_csv", -1, 0, 0, "character", 1
"readr", "format_csv", 0, 0, 0, "class<`data.frame`>", 1
"readr", "format_csv", 1, 0, 0, "character", 1
"readr", "format_csv", 2, 0, 0, "logical", 1
"readr", "format_csv", 3, 0, 0, "logical", 1
"readr", "format_csv", 4, 0, 0, "character", 1
"readr", "format_delim", -1, 0, 0, "character", 1
"readr", "format_delim", 0, 0, 0, "class<`data.frame`>", 1
"readr", "format_delim", 1, 0, 0, "character", 1
"readr", "format_delim", 2, 0, 0, "character", 1
"readr", "format_delim", 3, 0, 0, "any", 1
"readr", "format_delim", 4, 0, 0, "logical", 1
"readr", "format_delim", 5, 0, 0, "character", 1
"readr", "format_tsv", -1, 0, 0, "character", 1
"readr", "format_tsv", 0, 0, 0, "class<`data.frame`>", 1
"readr", "format_tsv", 1, 0, 0, "character", 1
"readr", "format_tsv", 2, 0, 0, "logical", 1
"readr", "format_tsv", 3, 0, 0, "logical", 1
"readr", "format_tsv", 4, 0, 0, "character", 1
"readr", "fwf_col_names", -1, 0, 0, "character[]", 1
"readr", "fwf_col_names", 0, 0, 0, "character[]", 1
"readr", "fwf_col_names", 0, 0, 1, "null", 1
"readr", "fwf_col_names", 1, 0, 0, "integer", 1
"readr", "fwf_cols", -1, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"readr", "fwf_cols", 0, 0, 0, "...", 1
"readr", "fwf_empty", -1, 0, 0, "list<^integer[] | character[]>", 1
"readr", "fwf_empty", 0, 0, 0, "character", 1
"readr", "fwf_empty", 0, 0, 1, "class<`source`, `source_file`>", 1
"readr", "fwf_empty", 1, 0, 0, "double", 1
"readr", "fwf_empty", 2, 0, 0, "any", 1
"readr", "fwf_empty", 3, 0, 0, "character[]", 1
"readr", "fwf_empty", 3, 0, 1, "null", 1
"readr", "fwf_empty", 4, 0, 0, "character", 1
"readr", "fwf_empty", 5, 0, 0, "double", 1
"readr", "fwf_positions", -1, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"readr", "fwf_positions", 0, 0, 0, "double[]", 1
"readr", "fwf_positions", 1, 0, 0, "double[]", 1
"readr", "fwf_positions", 2, 0, 0, "character[]", 1
"readr", "fwf_widths", -1, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"readr", "fwf_widths", 0, 0, 0, "double[]", 1
"readr", "fwf_widths", 1, 0, 0, "character[]", 1
"readr", "guess_encoding", -1, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"readr", "guess_encoding", 0, 0, 0, "character", 1
"readr", "guess_encoding", 0, 0, 1, "list<raw[]>", 1
"readr", "guess_encoding", 0, 0, 2, "raw[]", 1
"readr", "guess_encoding", 1, 0, 0, "double", 1
"readr", "guess_encoding", 2, 0, 0, "double", 1
"readr", "guess_header", -1, 0, 0, "list<character[] | double>", 1
"readr", "guess_header", -1, 0, 1, "list<character | double>", 1
"readr", "guess_header", -1, 0, 2, "list<^character[] | double>", 1
"readr", "guess_header", 0, 0, 0, "class<`source`, `source_file`>", 1
"readr", "guess_header", 0, 0, 1, "class<`source`, `source_string`>", 1
"readr", "guess_header", 1, 0, 0, "class<`tokenizer_delim`>", 1
"readr", "guess_header", 1, 0, 1, "class<`tokenizer_fwf`>", 1
"readr", "guess_header", 1, 0, 2, "class<`tokenizer_log`>", 1
"readr", "guess_header", 2, 0, 0, "class<`locale`>", 1
"readr", "guess_header_", -1, 0, 0, "list<character[] | double>", 1
