package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"readxl", "filter", -1, 0, 0, "logical[]", 1
"readxl", "filter", 0, 0, 0, "character[]", 1
"readxl", "check_bool", -1, 0, 0, "logical", 1
"readxl", "check_bool", 0, 0, 0, "logical", 1
"readxl", "check_bool", 1, 0, 0, "character", 1
"readxl", "check_col_types", -1, 0, 0, "character[]", 1
"readxl", "check_col_types", 0, 0, 0, "character[]", 1
"readxl", "check_file", -1, 0, 0, "character", 1
"readxl", "check_file", 0, 0, 0, "character", 1
"readxl", "check_format", -1, 0, 0, "character", 1
"readxl", "check_format", 0, 0, 0, "character", 1
"readxl", "check_guess_max", -1, 0, 0, "double", 1
"readxl", "check_guess_max", 0, 0, 0, "double", 1
"readxl", "check_guess_max", 1, 0, 0, "double", 1
"readxl", "check_non_negative_integer", -1, 0, 0, "double", 1
"readxl", "check_non_negative_integer", 0, 0, 0, "double", 1
"readxl", "check_non_negative_integer", 1, 0, 0, "character", 1
"readxl", "excel_format", -1, 0, 0, "^character[]", 1
"readxl", "excel_format", 0, 0, 0, "character[]", 1
"readxl", "excel_format", 1, 0, 0, "logical", 1
"readxl", "excel_sheets", -1, 0, 0, "character[]", 1
"readxl", "excel_sheets", 0, 0, 0, "character", 1
"readxl", "format_from_ext", -1, 0, 0, "^character[]", 1
"readxl", "format_from_ext", 0, 0, 0, "character[]", 1
"readxl", "format_from_signature", -1, 0, 0, "null", 1
"readxl", "format_from_signature", 0, 0, 0, "character[]", 1
