package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"registry", "filter", -1, 0, 0, "logical[]", 1
"registry", "filter", 0, 0, 0, "character[]", 1
"registry", ".check_for_unknown_fields", -1, 0, 0, "null", 1
"registry", ".check_for_unknown_fields", 0, 0, 0, "null", 1
"registry", ".check_for_unknown_fields", 0, 0, 1, "character[]", 1
"registry", ".check_value", -1, 0, 0, "null", 1
"registry", ".check_value", 0, 0, 0, "character", 1
"registry", ".check_value", 0, 0, 1, "symbol", 1
"registry", ".check_value", 1, 0, 0, "struct<`type`:character, `alternatives`:character[], `default`:character, `is_mandatory`:logical, `is_modifiable`:logical, `is_key`:logical, `validity_FUN`:null, `index_FUN`:any => any, `index_FUN_args`:tuple<>>", 1
"registry", ".check_value", 1, 0, 1, "struct<`type`:character, `alternatives`:character[], `default`:null, `is_mandatory`:logical, `is_modifiable`:logical, `is_key`:logical, `validity_FUN`:null, `index_FUN`:any => any, `index_FUN_args`:tuple<>>", 1
"registry", ".check_value", 1, 0, 2, "struct<`type`:null, `alternatives`:null, `default`:double, `is_mandatory`:logical, `is_modifiable`:logical, `is_key`:logical, `validity_FUN`:null, `index_FUN`:any => any, `index_FUN_args`:tuple<>>", 1
"registry", ".check_value", 1, 0, 3, "symbol", 1
"registry", ".check_value", 1, 0, 4, "struct<`type`:character, `alternatives`:null, `default`:null, `is_mandatory`:logical, `is_modifiable`:logical, `is_key`:logical, `validity_FUN`:any => any, `index_FUN`:any => any, `index_FUN_args`:tuple<>>", 1
"registry", ".check_value", 1, 0, 5, "struct<`type`:character, `alternatives`:null, `default`:null, `is_mandatory`:logical, `is_modifiable`:logical, `is_key`:logical, `validity_FUN`:null, `index_FUN`:any => any, `index_FUN_args`:tuple<>>", 1
"registry", ".check_value", 1, 0, 6, "struct<`type`:null, `alternatives`:null, `default`:null, `is_mandatory`:logical, `is_modifiable`:logical, `is_key`:logical, `validity_FUN`:null, `index_FUN`:any => any, `index_FUN_args`:tuple<>>", 1
"registry", ".check_value", 2, 0, 0, "null", 1
"registry", ".check_value", 2, 0, 1, "double", 1
"registry", ".check_value", 2, 0, 2, "character[]", 1
"registry", ".field_exists", -1, 0, 0, "logical[]", 1
"registry", ".field_exists", 0, 0, 0, "null", 1
"registry", ".field_exists", 0, 0, 1, "character[]", 1
"registry", ".FUNCall", -1, 0, 0, "any => any", 1
"registry", ".FUNCall", 0, 0, 0, "symbol", 1
"registry", ".get_entries", -1, 0, 0, "null", 1
"registry", ".get_entries", 0, 0, 0, "character", 1
