package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"rex", "%==%", -1, 0, 0, "logical", 1
"rex", "%==%", 0, 0, 0, "logical", 1
"rex", "%==%", 1, 0, 0, "logical", 1
"rex", "%if_next_is%", -1, 0, 0, "character", 1
"rex", "%if_next_is%", 0, 0, 0, "character", 1
"rex", "%if_next_is%", 1, 0, 0, "character", 1
"rex", "%if_next_isnt%", -1, 0, 0, "character", 1
"rex", "%if_next_isnt%", 0, 0, 0, "character", 1
"rex", "%if_next_isnt%", 1, 0, 0, "character", 1
"rex", "%if_prev_is%", -1, 0, 0, "character", 1
"rex", "%if_prev_is%", 0, 0, 0, "character", 1
"rex", "%if_prev_is%", 1, 0, 0, "character", 1
"rex", "%or%", -1, 0, 0, "character", 1
"rex", "%or%", 0, 0, 0, "tuple<character, character>", 1
"rex", "%or%", 1, 0, 0, "character", 1
"rex", "add_options", -1, 0, 0, "character", 1
"rex", "add_options", 0, 0, 0, "character", 1
"rex", "add_options", 1, 0, 0, "null", 1
"rex", "add_options", 1, 0, 1, "character", 1
"rex", "add_type", -1, 0, 0, "character", 1
"rex", "add_type", 0, 0, 0, "character", 1
"rex", "add_type", 1, 0, 0, "character[]", 1
"rex", "as.character.regex", -1, 0, 0, "character", 1
"rex", "as.character.regex", 0, 0, 0, "character", 1
"rex", "as.character.regex", 1, 0, 0, "null", 1
"rex", "at_least", -1, 0, 0, "character", 1
"rex", "at_least", 0, 0, 0, "character", 1
"rex", "at_least", 1, 0, 0, "double", 1
"rex", "at_least", 2, 0, 0, "character[]", 1
"rex", "auto_name", -1, 0, 0, "character", 1
"rex", "auto_name", 0, 0, 0, "character", 1
"rex", "between", -1, 0, 0, "character", 1
"rex", "between", 0, 0, 0, "character", 1
"rex", "between", 1, 0, 0, "double", 1
"rex", "between", 2, 0, 0, "double", 1
"rex", "between", 2, 0, 1, "character", 1
"rex", "between", 3, 0, 0, "character[]", 1
"rex", "capture", -1, 0, 0, "character", 1
"rex", "capture", 0, 0, 0, "character", 1
"rex", "capture", 1, 0, 0, "null", 1
"rex", "capture", 1, 0, 1, "character", 1
"rex", "capture_group", -1, 0, 0, "character", 1
"rex", "capture_group", 0, 0, 0, "character", 1
"rex", "capture_group", 0, 0, 1, "double", 1
"rex", "character_class", -1, 0, 0, "character", 1
"rex", "character_class", 0, 0, 0, "character", 1
"rex", "character_class_escape_dots", -1, 0, 0, "character[]", 1
"rex", "character_class_escape_dots", 0, 0, 0, "character", 1
"rex", "character_class_escape.character", -1, 0, 0, "character", 1
"rex", "character_class_escape.character", 0, 0, 0, "character", 1
"rex", "character_class_escape.list", -1, 0, 0, "tuple<character>", 1
"rex", "character_class_escape.list", 0, 0, 0, "tuple<character>", 1
"rex", "character_class_escape.regex", -1, 0, 0, "character", 1
"rex", "character_class_escape.regex", 0, 0, 0, "character", 1
"rex", "escape_dots", -1, 0, 0, "character[]", 1
"rex", "escape_dots", 0, 0, 0, "character", 1
"rex", "escape.character", -1, 0, 0, "character", 1
"rex", "escape.character", 0, 0, 0, "character", 1
"rex", "escape.character_class", -1, 0, 0, "character", 1
"rex", "escape.character_class", 0, 0, 0, "character", 1
"rex", "escape.list", -1, 0, 0, "tuple<character>", 1
"rex", "escape.list", 0, 0, 0, "tuple<character>", 1
"rex", "escape.list", 0, 0, 1, "struct<``:character>", 1
