package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"rgdal", "::", -1, 0, 0, "null", 1
"rgdal", "::", 0, 0, 0, "character", 1
"rgdal", "::", 1, 0, 0, "character", 1
"rgdal", "::", 1, 0, 1, "double", 1
"rgdal", "::", 2, 0, 0, "integer", 1
"rgdal", "::", 2, 0, 1, "null", 1
"rgdal", "::", 3, 0, 0, "null", 1
"rgdal", "::", 3, 0, 1, "double[]", 1
"rgdal", "::", 4, 0, 0, "null", 1
"rgdal", "::", 4, 0, 1, "double[]", 1
"rgdal", "::", 5, 0, 0, "null", 1
"rgdal", "::", 5, 0, 1, "logical", 1
"rgdal", "::", 6, 0, 0, "null", 1
"rgdal", "::", 7, 0, 0, "logical", 1
"rgdal", "::", 8, 0, 0, "null", 1
"rgdal", "::", 9, 0, 0, "null", 1
