package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"rje", ".sweep0", -1, 0, 0, "^double[]", 1
"rje", ".sweep0", 0, 0, 0, "^integer[]", 1
"rje", ".sweep0", 0, 0, 1, "double[]", 1
"rje", ".sweep0", 1, 0, 0, "double", 1
"rje", ".sweep0", 1, 0, 1, "integer[]", 1
"rje", ".sweep0", 2, 0, 0, "^double[]", 1
"rje", ".sweep0", 3, 0, 0, "character", 1
"rje", "%subof%", -1, 0, 0, "logical", 1
"rje", "%subof%", 0, 0, 0, "double[]", 1
"rje", "%subof%", 1, 0, 0, "double[]", 1
"rje", "and0", -1, 0, 0, "logical[]", 1
"rje", "and0", 0, 0, 0, "double[]", 1
"rje", "and0", 1, 0, 0, "double[]", 1
"rje", "combinations", -1, 0, 0, "^double[]", 1
"rje", "combinations", 0, 0, 0, "double[]", 1
"rje", "conditionMatrix", -1, 0, 0, "^double[]", 1
"rje", "conditionMatrix", 0, 0, 0, "^double[]", 1
"rje", "conditionMatrix", 1, 0, 0, "double", 1
"rje", "conditionMatrix", 2, 0, 0, "double", 1
"rje", "conditionMatrix", 3, 0, 0, "null", 1
"rje", "conditionMatrix", 3, 0, 1, "double", 1
"rje", "conditionMatrix", 4, 0, 0, "null", 1
"rje", "conditionMatrix", 4, 0, 1, "double[]", 1
"rje", "conditionMatrix", 5, 0, 0, "logical", 1
"rje", "conditionMatrix", 6, 0, 0, "double", 1
"rje", "conditionTable2", -1, 0, 0, "double[]", 1
"rje", "conditionTable2", 0, 0, 0, "double[]", 1
"rje", "conditionTable2", 1, 0, 0, "double[]", 1
"rje", "conditionTable2", 2, 0, 0, "null", 1
"rje", "conditionTable2", 2, 0, 1, "double[]", 1
"rje", "conditionTable2", 3, 0, 0, "double", 1
"rje", "designMatrix", -1, 0, 0, "^double[]", 1
"rje", "designMatrix", 0, 0, 0, "double", 1
"rje", "expit", -1, 0, 0, "double[]", 1
"rje", "expit", 0, 0, 0, "double[]", 1
"rje", "fastHadamard", -1, 0, 0, "double[]", 1
"rje", "fastHadamard", 0, 0, 0, "integer[]", 1
"rje", "fastHadamard", 1, 0, 0, "logical", 1
"rje", "filter", -1, 0, 0, "logical[]", 1
"rje", "filter", 0, 0, 0, "character[]", 1
"rje", "fsapply", -1, 0, 0, "double[]", 1
"rje", "fsapply", 0, 0, 0, "tuple<integer[]>", 1
"rje", "fsapply", 0, 0, 1, "tuple<double, integer[]>", 1
"rje", "fsapply", 1, 0, 0, "any => any", 1
"rje", "fun", -1, 0, 0, "null", 1
"rje", "fun", 0, 0, 0, "symbol", 1
"rje", "fun", 1, 0, 0, "character", 1
"rje", "FUN", -1, 0, 0, "character[]", 1
"rje", "FUN", 0, 0, 0, "character[]", 1
"rje", "FUN", 0, 0, 1, "double[]", 1
