package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"roxygen2", "%||%", -1, 0, 0, "character", 1
"roxygen2", "%||%", -1, 0, 1, "null", 1
"roxygen2", "%||%", 0, 0, 0, "character", 1
"roxygen2", "%||%", 0, 0, 1, "null", 1
"roxygen2", "%||%", 1, 0, 0, "any", 1
"roxygen2", "add_linkrefs_to_md", -1, 0, 0, "character", 1
"roxygen2", "add_linkrefs_to_md", 0, 0, 0, "character", 1
"roxygen2", "add_s3_metadata", -1, 0, 0, "class<`function`>", 1
"roxygen2", "add_s3_metadata", 0, 0, 0, "class<`function`>", 1
"roxygen2", "add_s3_metadata", 1, 0, 0, "character", 1
"roxygen2", "add_s3_metadata", 2, 0, 0, "environment", 1
"roxygen2", "add_s3_metadata", 3, 0, 0, "null", 1
"roxygen2", "args_call", -1, 0, 0, "character", 1
"roxygen2", "args_call", 0, 0, 0, "character", 1
"roxygen2", "args_call", 1, 0, 0, "character[]", 1
"roxygen2", "args_string", -1, 0, 0, "character[]", 1
"roxygen2", "args_string", 0, 0, 0, "character[]", 1
"roxygen2", "auto_backtick", -1, 0, 0, "character[]", 1
"roxygen2", "auto_backtick", 0, 0, 0, "character[]", 1
"roxygen2", "block_evaluate", -1, 0, 0, "class<`roxy_block`>", 1
"roxygen2", "block_evaluate", 0, 0, 0, "class<`roxy_block`>", 1
"roxygen2", "block_evaluate", 1, 0, 0, "any", 1
"roxygen2", "block_find_object", -1, 0, 0, "class<`roxy_block`, `roxy_block_function`, `roxy_block_object`>", 1
"roxygen2", "block_find_object", 0, 0, 0, "class<`roxy_block`>", 1
"roxygen2", "block_find_object", 1, 0, 0, "environment", 1
"roxygen2", "block_get_tag", -1, 0, 0, "null", 1
"roxygen2", "block_get_tag", 0, 0, 0, "class<`roxy_block`>", 1
"roxygen2", "block_get_tag", 0, 0, 1, "class<`roxy_block`, `roxy_block_function`, `roxy_block_object`>", 1
"roxygen2", "block_get_tag", 1, 0, 0, "character", 1
"roxygen2", "block_get_tags", -1, 0, 0, "list<any>", 1
"roxygen2", "block_get_tags", 0, 0, 0, "class<`roxy_block`>", 1
"roxygen2", "block_get_tags", 0, 0, 1, "class<`roxy_block`, `roxy_block_function`, `roxy_block_object`>", 1
"roxygen2", "block_get_tags", 1, 0, 0, "character", 1
"roxygen2", "block_get_tag_value", -1, 0, 0, "null", 1
"roxygen2", "block_get_tag_value", 0, 0, 0, "class<`roxy_block`>", 1
"roxygen2", "block_get_tag_value", 1, 0, 0, "character", 1
"roxygen2", "block_has_tags", -1, 0, 0, "logical", 1
"roxygen2", "block_has_tags", 0, 0, 0, "class<`roxy_block`, `roxy_block_function`, `roxy_block_object`>", 1
"roxygen2", "block_has_tags", 1, 0, 0, "character[]", 1
"roxygen2", "block_tags", -1, 0, 0, "character[]", 1
"roxygen2", "block_tags", 0, 0, 0, "class<`roxy_block`>", 1
"roxygen2", "block_tags", 0, 0, 1, "class<`roxy_block`, `roxy_block_function`, `roxy_block_object`>", 1
"roxygen2", "block_to_rd", -1, 0, 0, "class<`R6`, `RoxyTopic`>", 1
"roxygen2", "block_to_rd", 0, 0, 0, "class<`roxy_block`, `roxy_block_function`, `roxy_block_object`>", 1
"roxygen2", "block_to_rd", 1, 0, 0, "any", 1
"roxygen2", "block_to_rd", 2, 0, 0, "any", 1
"roxygen2", "block_to_rd.roxy_block", -1, 0, 0, "class<`R6`, `RoxyTopic`>", 1
"roxygen2", "block_to_rd.roxy_block", 0, 0, 0, "class<`roxy_block`, `roxy_block_function`, `roxy_block_object`>", 1
"roxygen2", "block_to_rd.roxy_block", 1, 0, 0, "any", 1
"roxygen2", "block_to_rd.roxy_block", 2, 0, 0, "any", 1
"roxygen2", "calls_use_method", -1, 0, 0, "logical", 1
"roxygen2", "calls_use_method", 0, 0, 0, "class<`{`>", 1
"roxygen2", "calls_use_method", 0, 0, 1, "class<`call`>", 1
"roxygen2", "calls_use_method", 0, 0, 2, "class<`name`>", 1
"roxygen2", "can_parse", -1, 0, 0, "logical", 1
"roxygen2", "can_parse", 0, 0, 0, "character", 1
"roxygen2", "comments", -1, 0, 0, "list<class<`srcref`>>", 1
"roxygen2", "comments", 0, 0, 0, "list<class<`srcref`>>", 1
"roxygen2", "compact", -1, 0, 0, "list<any>", 1
"roxygen2", "compact", 0, 0, 0, "list<any>", 1
"roxygen2", "double_escape_md", -1, 0, 0, "character", 1
"roxygen2", "double_escape_md", 0, 0, 0, "character", 1
"roxygen2", "env_file", -1, 0, 0, "environment", 1
"roxygen2", "env_file", 0, 0, 0, "character", 1
"roxygen2", "escape", -1, 0, 0, "class<`rd`>", 1
"roxygen2", "escape", 0, 0, 0, "character[]", 1
"roxygen2", "escape.character", -1, 0, 0, "class<`rd`>", 1
"roxygen2", "escape.character", 0, 0, 0, "character[]", 1
"roxygen2", "escape_comment", -1, 0, 0, "character", 1
"roxygen2", "escape_comment", 0, 0, 0, "character", 1
"roxygen2", "escape_rd_for_md", -1, 0, 0, "character", 1
"roxygen2", "escape_rd_for_md", 0, 0, 0, "character", 1
"roxygen2", "find_all_rd_tags", -1, 0, 0, "class<`data.frame`>", 1
"roxygen2", "find_all_rd_tags", 0, 0, 0, "character", 1
"roxygen2", "find_all_tag_names", -1, 0, 0, "class<`data.frame`>", 1
"roxygen2", "find_all_tag_names", 0, 0, 0, "character", 1
"roxygen2", "find_fragile_rd_tags", -1, 0, 0, "class<`data.frame`>", 1
"roxygen2", "find_fragile_rd_tags", 0, 0, 0, "character", 1
"roxygen2", "find_fragile_rd_tags", 1, 0, 0, "character[]", 1
"roxygen2", "find_generic", -1, 0, 0, "null", 1
"roxygen2", "find_generic", 0, 0, 0, "character", 1
"roxygen2", "find_generic", 1, 0, 0, "any", 1
"roxygen2", "function_usage", -1, 0, 0, "class<`rd`>", 1
"roxygen2", "function_usage", 0, 0, 0, "character", 1
"roxygen2", "function_usage", 1, 0, 0, "pairlist", 1
"roxygen2", "function_usage", 2, 0, 0, "class<`function`>", 1
"roxygen2", "get_documented_params", -1, 0, 0, "character[]", 1
"roxygen2", "get_documented_params", 0, 0, 0, "class<`R6`, `RoxyTopic`>", 1
"roxygen2", "get_documented_params", 1, 0, 0, "logical", 1
"roxygen2", "get_md_linkrefs", -1, 0, 0, "character[]", 1
"roxygen2", "get_md_linkrefs", 0, 0, 0, "character", 1
"roxygen2", "has_quotes", -1, 0, 0, "logical[]", 1
"roxygen2", "has_quotes", 0, 0, 0, "character[]", 1
"roxygen2", "internal_f", -1, 0, 0, "class<`function`>", 1
"roxygen2", "internal_f", 0, 0, 0, "character", 1
"roxygen2", "internal_f", 1, 0, 0, "character", 1
"roxygen2", "invert", -1, 0, 0, "null", 1
"roxygen2", "invert", 0, 0, 0, "list<any>", 1
"roxygen2", "is_infix_fun", -1, 0, 0, "logical", 1
"roxygen2", "is_infix_fun", 0, 0, 0, "character", 1
"roxygen2", "is_replacement_fun", -1, 0, 0, "logical", 1
"roxygen2", "is_replacement_fun", 0, 0, 0, "character", 1
"roxygen2", "is.roclet", -1, 0, 0, "logical", 1
"roxygen2", "is.roclet", 0, 0, 0, "class<`roclet`, `roclet_memo`>", 1
"roxygen2", "is.roclet", 0, 0, 1, "class<`roclet`, `roclet_rd`>", 1
"roxygen2", "is_roxy_block", -1, 0, 0, "logical", 1
"roxygen2", "is_roxy_block", 0, 0, 0, "class<`roxy_block`>", 1
"roxygen2", "is_s3_generic", -1, 0, 0, "logical", 1
"roxygen2", "is_s3_generic", 0, 0, 0, "character", 1
"roxygen2", "is_s3_generic", 1, 0, 0, "environment", 1
"roxygen2", "is_syntactic", -1, 0, 0, "logical[]", 1
"roxygen2", "is_syntactic", 0, 0, 0, "character[]", 1
"roxygen2", "make_as_character_rd", -1, 0, 0, "class<`function`>", 1
"roxygen2", "make_random_string", -1, 0, 0, "character", 1
"roxygen2", "make_random_string", 0, 0, 0, "double", 1
"roxygen2", "markdown", -1, 0, 0, "character", 1
"roxygen2", "markdown", 0, 0, 0, "character", 1
"roxygen2", "markdown", 1, 0, 0, "class<`roxy_tag`, `roxy_tag_tip`>", 1
"roxygen2", "markdown", 1, 0, 1, "class<`roxy_tag`, `roxy_tag_title`>", 1
"roxygen2", "markdown", 2, 0, 0, "logical", 1
"roxygen2", "markdown_activate", -1, 0, 0, "logical", 1
"roxygen2", "markdown_activate", 0, 0, 0, "list<class<`roxy_tag`, `roxy_tag_`> | class<`roxy_tag`, `roxy_tag_param`> | class<`roxy_tag`, `roxy_tag_export`> | class<`roxy_tag`, `roxy_tag_`> | class<`roxy_tag`, `roxy_tag_tip`> | class<`roxy_tag`, `roxy_tag_md`> | class<`roxy_tag`, `roxy_tag_memo`>>", 1
"roxygen2", "markdown_if_active", -1, 0, 0, "character", 1
"roxygen2", "markdown_if_active", 0, 0, 0, "character", 1
"roxygen2", "markdown_if_active", 1, 0, 0, "any", 1
"roxygen2", "markdown_if_active", 2, 0, 0, "logical", 1
"roxygen2", "markdown_on", -1, 0, 0, "logical", 1
"roxygen2", "markdown_on", 0, 0, 0, "logical", 1
"roxygen2", "markdown_on", 0, 0, 1, "null", 1
"roxygen2", "md_to_mdxml", -1, 0, 0, "class<`xml_document`, `xml_node`>", 1
"roxygen2", "md_to_mdxml", 0, 0, 0, "character", 1
"roxygen2", "md_to_mdxml", 1, 0, 0, "...", 1
"roxygen2", "mdxml_children_to_rd", -1, 0, 0, "character", 1
"roxygen2", "mdxml_children_to_rd", 0, 0, 0, "class<`xml_node`>", 1
"roxygen2", "mdxml_children_to_rd", 1, 0, 0, "any", 1
"roxygen2", "mdxml_children_to_rd_top", -1, 0, 0, "character", 1
"roxygen2", "mdxml_children_to_rd_top", 0, 0, 0, "class<`xml_document`, `xml_node`>", 1
"roxygen2", "mdxml_children_to_rd_top", 1, 0, 0, "environment", 1
"roxygen2", "mdxml_close_sections", -1, 0, 0, "character", 1
"roxygen2", "mdxml_close_sections", 0, 0, 0, "environment", 1
"roxygen2", "mdxml_close_sections", 1, 0, 0, "integer", 1
"roxygen2", "mdxml_code", -1, 0, 0, "character", 1
"roxygen2", "mdxml_code", 0, 0, 0, "class<`xml_node`>", 1
"roxygen2", "mdxml_code", 1, 0, 0, "any", 1
"roxygen2", "merge.rd_section", -1, 0, 0, "class<`rd_section`, `rd_section_tip`>", 1
"roxygen2", "merge.rd_section", 0, 0, 0, "class<`rd_section`, `rd_section_tip`>", 1
"roxygen2", "merge.rd_section", 1, 0, 0, "class<`rd_section`, `rd_section_tip`>", 1
"roxygen2", "merge.rd_section", 2, 0, 0, "...", 1
"roxygen2", "needs_doc", -1, 0, 0, "logical", 1
"roxygen2", "needs_doc", 0, 0, 0, "class<`roxy_block`, `roxy_block_function`, `roxy_block_object`>", 1
"roxygen2", "nice_name", -1, 0, 0, "character", 1
"roxygen2", "nice_name", 0, 0, 0, "character", 1
"roxygen2", "object", -1, 0, 0, "class<`function`, `object`>", 1
"roxygen2", "object", 0, 0, 0, "class<`function`>", 1
"roxygen2", "object", 1, 0, 0, "character", 1
"roxygen2", "object", 2, 0, 0, "character", 1
"roxygen2", "object_defaults", -1, 0, 0, "list<class<`roxy_tag`, `roxy_tag_usage`> | class<`roxy_tag`, `roxy_tag_.formals`>>", 1
"roxygen2", "object_defaults", 0, 0, 0, "class<`function`, `object`>", 1
"roxygen2", "object_defaults.function", -1, 0, 0, "list<class<`roxy_tag`, `roxy_tag_usage`> | class<`roxy_tag`, `roxy_tag_.formals`>>", 1
"roxygen2", "object_defaults.function", 0, 0, 0, "class<`function`, `object`>", 1
"roxygen2", "object_from_call", -1, 0, 0, "class<`function`, `object`>", 1
"roxygen2", "object_from_call", 0, 0, 0, "class<`<-`>", 1
"roxygen2", "object_from_call", 1, 0, 0, "environment", 1
"roxygen2", "object_from_call", 2, 0, 0, "class<`roxy_block`>", 1
"roxygen2", "object_from_call", 3, 0, 0, "any", 1
"roxygen2", "object_from_name", -1, 0, 0, "class<`function`, `object`>", 1
"roxygen2", "object_from_name", 0, 0, 0, "character", 1
"roxygen2", "object_from_name", 1, 0, 0, "environment", 1
