package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"rpart", "filter", -1, 0, 0, "logical[]", 1
"rpart", "filter", 0, 0, 0, "character[]", 1
"rpart", "$", -1, 0, 0, "character[]", 1
"rpart", "$", 0, 0, 0, "^double[]", 1
"rpart", "$", 0, 0, 1, "language", 1
"rpart", "$", 0, 0, 2, "symbol", 1
"rpart", "$", 1, 0, 0, "language", 1
"rpart", "$", 1, 0, 1, "symbol", 1
"rpart", "$", 1, 0, 2, "double[]", 1
"rpart", "$", 2, 0, 0, "language", 1
"rpart", "$", 2, 0, 1, "null", 1
"rpart", "$", 2, 0, 2, "double[]", 1
"rpart", "$", 3, 0, 0, "character[]", 1
"rpart", "$", 3, 0, 1, "null", 1
"rpart", "$", 3, 0, 2, "symbol", 1
"rpart", "$", 4, 0, 0, "integer", 1
"rpart", "$", 4, 0, 1, "any => any", 1
"rpart", "$", 5, 0, 0, "language", 1
"rpart", "$", 5, 0, 1, "null", 1
"rpart", "$", 5, 0, 2, "integer[]", 1
"rpart", "$", 6, 0, 0, "logical", 1
"rpart", "$", 7, 0, 0, "logical", 1
"rpart", "$", 8, 0, 0, "logical", 1
"rpart", "$", 9, 0, 0, "null", 1
"rpart", "$", 10, 0, 0, "null", 1
"rpart", "$", 11, 0, 0, "null", 1
"rpart", "$", 12, 0, 0, "null", 1
