package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"rprojroot", "check_testfun", -1, 0, 0, "list<class<`function`>>", 1
"rprojroot", "check_testfun", 0, 0, 0, "class<`function`>", 1
"rprojroot", "has_file", -1, 0, 0, "class<`root_criterion`>", 1
"rprojroot", "has_file", 0, 0, 0, "character", 1
"rprojroot", "has_file", 1, 0, 0, "null", 1
"rprojroot", "has_file", 2, 0, 0, "integer", 1
"rprojroot", "make_find_root_file", -1, 0, 0, "class<`function`>", 1
"rprojroot", "make_find_root_file", 0, 0, 0, "class<`root_criterion`>", 1
"rprojroot", "root_criterion", -1, 0, 0, "class<`root_criterion`>", 1
"rprojroot", "root_criterion", 0, 0, 0, "class<`function`>", 1
"rprojroot", "root_criterion", 1, 0, 0, "character", 1
"rprojroot", "root_criterion", 2, 0, 0, "null", 1
"rprojroot", "thisfile_source", -1, 0, 0, "character", 1
