package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"rsample", "_fseq", -1, 0, 0, "struct<`..index`:integer[], `..group`:integer[], `..folds`:integer[]>", 1
"rsample", "_fseq", 0, 0, 0, "struct<`..index`:integer[], `..group`:integer[]>", 1
"rsample", ".f", -1, 0, 0, "struct<`idx`:integer[]>", 1
"rsample", ".f", 0, 0, 0, "integer[]", 1
"rsample", ".f", 0, 0, 1, "struct<`analysis`:integer[], `assessment`:integer[]>", 1
"rsample", ".f", 0, 0, 2, "struct<`analysis`:integer[], `assessment`:null>", 1
"rsample", ".f", 0, 0, 3, "struct<>", 1
"rsample", ".f", 0, 0, 4, "struct<`data`:struct<`Age`:integer[], `Attrition`:integer[], `BusinessTravel`:integer[], `DailyRate`:integer[], `Department`:integer[], `DistanceFromHome`:integer[], `Education`:integer[], `EducationField`:integer[], `EnvironmentSatisfaction`:integer[], `Gender`:integer[], `HourlyRate`:integer[], `JobInvolvement`:integer[], `JobLevel`:integer[], `JobRole`:integer[], `JobSatisfaction`:integer[], `MaritalStatus`:integer[], `MonthlyIncome`:integer[], `MonthlyRate`:integer[], `NumCompaniesWorked`:integer[], `OverTime`:integer[], `PercentSalaryHike`:integer[], `PerformanceRating`:integer[], `RelationshipSatisfaction`:integer[], `StockOptionLevel`:integer[], `TotalWorkingYears`:integer[], `TrainingTimesLastYear`:integer[], `WorkLifeBalance`:integer[], `YearsAtCompany`:integer[], `YearsInCurrentRole`:integer[], `YearsSinceLastPromotion`:integer[], `YearsWithCurrManager`:integer[]>, `in_id`:integer[], `out_id`:null>", 1
"rsample", ".f", 0, 0, 5, "struct<`data`:struct<`day`:integer[]>, `in_id`:integer[], `out_id`:integer[]>", 1
"rsample", ".f", 0, 0, 6, "struct<`data`:struct<`id`:integer[], `dat`:double[]>, `in_id`:integer[], `out_id`:null>", 1
"rsample", ".f", 0, 0, 7, "struct<`data`:struct<`mpg`:double[], `cyl`:double[], `disp`:double[], `hp`:double[], `drat`:double[], `wt`:double[], `qsec`:double[], `vs`:double[], `am`:double[], `gear`:double[], `carb`:double[]>, `in_id`:integer[], `out_id`:integer[]>", 1
"rsample", ".f", 0, 0, 8, "struct<`data`:struct<`mpg`:double[], `cyl`:double[], `disp`:double[], `hp`:double[], `drat`:double[], `wt`:double[], `qsec`:double[], `vs`:double[], `am`:double[], `gear`:double[], `carb`:double[]>, `in_id`:integer[], `out_id`:null>", 1
"rsample", ".f", 0, 0, 9, "struct<`data`:struct<`row`:integer[], `some_var`:double[]>, `in_id`:integer[], `out_id`:integer>", 1
"rsample", ".f", 0, 0, 10, "struct<`data`:struct<`Sepal.Length`:double[], `Sepal.Width`:double[], `Petal.Length`:double[], `Petal.Width`:double[], `Species`:integer[]>, `in_id`:integer[], `out_id`:null>", 1
"rsample", ".f", 0, 0, 11, "struct<`data`:struct<`year`:double[], `data`:list<struct<`date`:double[], `S4248SM144NCEN`:double[]>>>, `in_id`:integer[], `out_id`:integer>", 1
"rsample", ".f", 0, 0, 12, "struct<`data`:struct<`Age`:integer[], `Attrition`:integer[], `BusinessTravel`:integer[], `DailyRate`:integer[], `Department`:integer[], `DistanceFromHome`:integer[], `Education`:integer[], `EducationField`:integer[], `EnvironmentSatisfaction`:integer[], `Gender`:integer[], `HourlyRate`:integer[], `JobInvolvement`:integer[], `JobLevel`:integer[], `JobRole`:integer[], `JobSatisfaction`:integer[], `MaritalStatus`:integer[], `MonthlyIncome`:integer[], `MonthlyRate`:integer[], `NumCompaniesWorked`:integer[], `OverTime`:integer[], `PercentSalaryHike`:integer[], `PerformanceRating`:integer[], `RelationshipSatisfaction`:integer[], `StockOptionLevel`:integer[], `TotalWorkingYears`:integer[], `TrainingTimesLastYear`:integer[], `WorkLifeBalance`:integer[], `YearsAtCompany`:integer[], `YearsInCurrentRole`:integer[], `YearsSinceLastPromotion`:integer[], `YearsWithCurrManager`:integer[]>, `in_id`:integer[], `out_id`:integer[]>", 1
"rsample", ".f", 0, 0, 13, "struct<`data`:struct<`id`:integer[], `dat`:double[]>, `in_id`:integer[], `out_id`:integer[]>", 1
"rsample", ".f", 0, 0, 14, "struct<`data`:struct<`Sepal.Length`:double[], `Sepal.Width`:double[], `Petal.Length`:double[], `Petal.Width`:double[], `Species`:integer[]>, `in_id`:integer[], `out_id`:integer[]>", 1
"rsample", ".f", 1, 0, 0, "struct<`idx`:integer[], `strata`:integer[]>", 1
"rsample", ".f", 1, 0, 1, "double", 1
"rsample", ".f", 1, 0, 2, "language", 1
"rsample", ".f", 2, 0, 0, "character", 1
"rsample", ".f", 2, 0, 1, "double", 1
"rsample", ".f", 3, 0, 0, "logical", 1
"rsample", ".f", 3, 0, 1, "null", 1
