package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"rsm", "as.coded.data", -1, 0, 0, "class<`coded.data`, `data.frame`>", 1
"rsm", "as.coded.data", 0, 0, 0, "class<`coded.data`, `data.frame`>", 1
"rsm", "as.coded.data", 0, 0, 1, "class<`data.frame`>", 1
"rsm", "as.coded.data", 1, 0, 0, "...", 1
"rsm", "as.coded.data", 2, 0, 0, "list<class<`formula`>>", 1
"rsm", "as.coded.data", 3, 0, 0, "character", 1
"rsm", "bbd", -1, 0, 0, "class<`coded.data`, `data.frame`>", 1
"rsm", "bbd", 0, 0, 0, "double", 1
"rsm", "bbd", 0, 0, 1, "class<`formula`>", 1
"rsm", "bbd", 1, 0, 0, "double", 1
"rsm", "bbd", 2, 0, 0, "logical", 1
"rsm", "bbd", 2, 0, 1, "character", 1
"rsm", "bbd", 3, 0, 0, "logical", 1
"rsm", "bbd", 4, 0, 0, "any", 1
"rsm", ".block.indices", -1, 0, 0, "list<integer[]>", 1
"rsm", ".block.indices", 0, 0, 0, "class<`coded.data`, `data.frame`>", 1
"rsm", ".block.indices", 0, 0, 1, "class<`data.frame`>", 1
"rsm", "canonical", -1, 0, 0, "list<double[] | class<`eigen`>>", 1
"rsm", "canonical", 0, 0, 0, "class<`lm`, `rsm`>", 1
"rsm", "canonical", 1, 0, 0, "double", 1
"rsm", "canonical.path", -1, 0, 0, "class<`data.frame`>", 1
"rsm", "canonical.path", 0, 0, 0, "class<`lm`, `rsm`>", 1
"rsm", "canonical.path", 1, 0, 0, "double", 1
"rsm", "canonical.path", 2, 0, 0, "double[]", 1
"rsm", "canonical.path", 3, 0, 0, "logical", 1
"rsm", "canonical.path", 4, 0, 0, "double", 1
"rsm", "ccd", -1, 0, 0, "class<`coded.data`, `data.frame`>", 1
"rsm", "ccd", 0, 0, 0, "class<`formula`>", 1
"rsm", "ccd", 0, 0, 1, "double", 1
"rsm", "ccd", 1, 0, 0, "any", 1
"rsm", "ccd", 2, 0, 0, "character", 1
"rsm", "ccd", 2, 0, 1, "class<`formula`>", 1
"rsm", "ccd", 3, 0, 0, "double[]", 1
"rsm", "ccd", 4, 0, 0, "character", 1
"rsm", "ccd", 5, 0, 0, "double", 1
"rsm", "ccd", 6, 0, 0, "double", 1
"rsm", "ccd", 7, 0, 0, "logical", 1
"rsm", "ccd", 8, 0, 0, "logical", 1
"rsm", "ccd", 9, 0, 0, "any", 1
"rsm", "ccd", 10, 0, 0, "logical", 1
"rsm", "ccd.pick", -1, 0, 0, "class<`data.frame`>", 1
"rsm", "ccd.pick", 0, 0, 0, "double", 1
"rsm", "ccd.pick", 1, 0, 0, "double[]", 1
"rsm", "ccd.pick", 2, 0, 0, "integer[]", 1
"rsm", "ccd.pick", 3, 0, 0, "double[]", 1
"rsm", "ccd.pick", 4, 0, 0, "integer[]", 1
"rsm", "ccd.pick", 5, 0, 0, "double", 1
"rsm", "ccd.pick", 6, 0, 0, "integer[]", 1
"rsm", "ccd.pick", 6, 0, 1, "double", 1
"rsm", "ccd.pick", 7, 0, 0, "double", 1
"rsm", "ccd.pick", 8, 0, 0, "double", 1
"rsm", "ccd.pick", 9, 0, 0, "character[]", 1
"rsm", "ccd.pick", 10, 0, 0, "any", 1
"rsm", "code2val", -1, 0, 0, "class<`data.frame`>", 1
"rsm", "code2val", -1, 0, 1, "double[]", 1
"rsm", "code2val", 0, 0, 0, "class<`data.frame`>", 1
"rsm", "code2val", 0, 0, 1, "double[]", 1
"rsm", "code2val", 1, 0, 0, "list<class<`formula`>>", 1
