package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"rstantools", "filter", -1, 0, 0, "logical[]", 1
"rstantools", "filter", 0, 0, 0, "character[]", 1
"rstantools", ".central_intervals", -1, 0, 0, "^double[]", 1
"rstantools", ".central_intervals", 0, 0, 0, "^double[]", 1
"rstantools", ".central_intervals", 1, 0, 0, "double", 1
"rstantools", ".pred_errors", -1, 0, 0, "^double[]", 1
"rstantools", ".pred_errors", 0, 0, 0, "^double[]", 1
"rstantools", ".pred_errors", 1, 0, 0, "double[]", 1
"rstantools", "fun", -1, 0, 0, "null", 1
"rstantools", "fun", 0, 0, 0, "symbol", 1
"rstantools", "posterior_interval.default", -1, 0, 0, "^double[]", 1
"rstantools", "posterior_interval.default", 0, 0, 0, "^double[]", 1
"rstantools", "posterior_interval.default", 1, 0, 0, "double", 1
"rstantools", "posterior_interval.default", 2, 0, 0, "null", 1
"rstantools", "predictive_error.default", -1, 0, 0, "^double[]", 1
"rstantools", "predictive_error.default", 0, 0, 0, "^double[]", 1
"rstantools", "predictive_error.default", 1, 0, 0, "double[]", 1
"rstantools", "predictive_error.default", 2, 0, 0, "null", 1
"rstantools", "predictive_interval.default", -1, 0, 0, "^double[]", 1
"rstantools", "predictive_interval.default", 0, 0, 0, "^double[]", 1
"rstantools", "predictive_interval.default", 1, 0, 0, "double", 1
"rstantools", "predictive_interval.default", 2, 0, 0, "null", 1
