package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"sampling", ".as_int", -1, 0, 0, "double", 1
"sampling", ".as_int", 0, 0, 0, "double", 1
"sampling", "algofastflightcube", -1, 0, 0, "double[]", 1
"sampling", "algofastflightcube", 0, 0, 0, "^double[]", 1
"sampling", "algofastflightcube", 1, 0, 0, "double[]", 1
"sampling", "balancedcluster", -1, 0, 0, "^double[]", 1
"sampling", "balancedcluster", 0, 0, 0, "^double[]", 1
"sampling", "balancedcluster", 1, 0, 0, "double", 1
"sampling", "balancedcluster", 2, 0, 0, "double[]", 1
"sampling", "balancedcluster", 3, 0, 0, "double", 1
"sampling", "balancedcluster", 4, 0, 0, "logical", 1
"sampling", "balancedcluster", 5, 0, 0, "double", 1
"sampling", "balancedstratification", -1, 0, 0, "double[]", 1
"sampling", "balancedstratification", 0, 0, 0, "^double[]", 1
"sampling", "balancedstratification", 1, 0, 0, "double[]", 1
"sampling", "balancedstratification", 2, 0, 0, "double[]", 1
"sampling", "balancedstratification", 3, 0, 0, "logical", 1
"sampling", "balancedstratification", 4, 0, 0, "double", 1
"sampling", "balancedtwostage", -1, 0, 0, "^double[]", 1
"sampling", "balancedtwostage", 0, 0, 0, "^double[]", 1
"sampling", "balancedtwostage", 1, 0, 0, "double", 1
"sampling", "balancedtwostage", 2, 0, 0, "double", 1
"sampling", "balancedtwostage", 3, 0, 0, "double", 1
"sampling", "balancedtwostage", 4, 0, 0, "double[]", 1
"sampling", "balancedtwostage", 5, 0, 0, "logical", 1
"sampling", "balancedtwostage", 6, 0, 0, "double", 1
"sampling", "basicsplit", -1, 0, 0, "double[]", 1
"sampling", "basicsplit", 0, 0, 0, "double[]", 1
"sampling", "calib", -1, 0, 0, "null", 1
"sampling", "calib", 0, 0, 0, "^double[]", 1
"sampling", "calib", 1, 0, 0, "double[]", 1
"sampling", "calib", 2, 0, 0, "double[]", 1
"sampling", "calib", 3, 0, 0, "double[]", 1
"sampling", "calib", 4, 0, 0, "character", 1
"sampling", "calib", 5, 0, 0, "double[]", 1
"sampling", "calib", 5, 0, 1, "language", 1
"sampling", "calib", 6, 0, 0, "logical", 1
"sampling", "calib", 7, 0, 0, "double", 1
