package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"scales", "%||%", -1, 0, 0, "double[]", 1
"scales", "%||%", 0, 0, 0, "null", 1
"scales", "%||%", 0, 0, 1, "double", 1
"scales", "%||%", 0, 0, 2, "integer[]", 1
"scales", "%||%", 1, 0, 0, "any", 1
"scales", "alpha", -1, 0, 0, "character[]", 1
"scales", "alpha", 0, 0, 0, "character[]", 1
"scales", "alpha", 1, 0, 0, "double[]", 1
"scales", "area_pal", -1, 0, 0, "class<`function`>", 1
"scales", "area_pal", 0, 0, 0, "double[]", 1
"scales", "asn_trans", -1, 0, 0, "class<`trans`>", 1
"scales", "as.trans", -1, 0, 0, "class<`trans`>", 1
"scales", "as.trans", 0, 0, 0, "character", 1
"scales", "as.trans", 0, 0, 1, "class<`trans`>", 1
"scales", "atanh_trans", -1, 0, 0, "class<`trans`>", 1
"scales", "boxcox_trans", -1, 0, 0, "class<`trans`>", 1
"scales", "boxcox_trans", 0, 0, 0, "double", 1
"scales", "boxcox_trans", 1, 0, 0, "double", 1
"scales", "breaks_extended", -1, 0, 0, "class<`function`>", 1
"scales", "breaks_extended", 0, 0, 0, "double", 1
"scales", "breaks_extended", 1, 0, 0, "...", 1
"scales", "breaks_log", -1, 0, 0, "class<`function`>", 1
"scales", "breaks_log", 0, 0, 0, "double", 1
"scales", "breaks_log", 1, 0, 0, "double", 1
"scales", "breaks_pretty", -1, 0, 0, "class<`function`>", 1
"scales", "breaks_pretty", 0, 0, 0, "double", 1
"scales", "breaks_pretty", 1, 0, 0, "...", 1
"scales", "breaks_width", -1, 0, 0, "class<`function`>", 1
"scales", "breaks_width", 0, 0, 0, "character", 1
"scales", "breaks_width", 0, 0, 1, "double", 1
"scales", "breaks_width", 1, 0, 0, "double", 1
"scales", "brewer_pal", -1, 0, 0, "^character[]", 1
"scales", "brewer_pal", 0, 0, 0, "double", 1
"scales", "brewer_pal", -1, 1, 0, "class<`function`>", 1
"scales", "brewer_pal", 0, 1, 0, "character", 1
"scales", "brewer_pal", 1, 1, 0, "character", 1
