package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"selectr", ".subset2", -1, 0, 0, "null", 1
"selectr", ".subset2", 0, 0, 0, "null", 1
"selectr", ".subset2", 0, 0, 1, "environment", 1
"selectr", ".subset2", 0, 0, 2, "character", 1
"selectr", ".subset2", 0, 0, 3, "double", 1
"selectr", ".subset2", 0, 0, 4, "tuple<environment, environment, environment>", 1
"selectr", ".subset2", 0, 0, 5, "list<environment>", 1
"selectr", ".subset2", 1, 0, 0, "null", 1
"selectr", ".subset2", 1, 0, 1, "character", 1
"selectr", ".subset2", 1, 0, 2, "null", 1
"selectr", ".subset2", 2, 0, 0, "null", 1
"selectr", ".subset2", 2, 0, 1, "environment", 1
"selectr", ".subset2", 2, 0, 2, "double", 1
"selectr", ".subset2", 2, 0, 3, "character", 1
"selectr", ".subset2", 3, 0, 0, "logical", 1
