package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"sf", "aggregate.sf", -1, 0, 0, "class<`data.frame`, `sf`>", 1
"sf", "aggregate.sf", 0, 0, 0, "class<`data.frame`, `sf`>", 1
"sf", "aggregate.sf", 1, 0, 0, "class<`sfc`, `sfc_POLYGON`>", 1
"sf", "aggregate.sf", 2, 0, 0, "class<`function`>", 1
"sf", "aggregate.sf", 3, 0, 0, "...", 1
"sf", "aggregate.sf", 4, 0, 0, "logical", 1
"sf", "aggregate.sf", 5, 0, 0, "logical", 1
"sf", "aggregate.sf", 6, 0, 0, "class<`function`>", 1
"sf", "as.data.frame.sf", -1, 0, 0, "class<`data.frame`>", 1
"sf", "as.data.frame.sf", 0, 0, 0, "class<`data.frame`, `sf`>", 1
"sf", "as.data.frame.sf", 1, 0, 0, "...", 1
"sf", "asMethod", -1, 0, 0, "class<`SpatialPolygons`>", 1
"sf", "asMethod", 0, 0, 0, "class<`sfc`, `sfc_MULTIPOLYGON`>", 1
"sf", "asMethod", 1, 0, 0, "character", 1
"sf", "asMethod", 2, 0, 0, "logical", 1
"sf", "asMethod", -1, 1, 0, "class<`SpatialPolygonsDataFrame`>", 1
"sf", "asMethod", 0, 1, 0, "class<`data.frame`, `sf`>", 1
"sf", "asMethod", 1, 1, 0, "character", 1
"sf", "asMethod", 2, 1, 0, "logical", 1
"sf", "asMethod", -1, 2, 0, "class<`data.frame`, `sf`>", 1
"sf", "asMethod", 0, 2, 0, "class<`SpatialPolygonsDataFrame`>", 1
"sf", "asMethod", 1, 2, 0, "character", 1
"sf", "asMethod", 2, 2, 0, "logical", 1
"sf", ".as_Spatial", -1, 0, 0, "class<`SpatialPolygons`>", 1
"sf", ".as_Spatial", 0, 0, 0, "class<`sfc`, `sfc_MULTIPOLYGON`>", 1
"sf", ".as_Spatial", 1, 0, 0, "logical", 1
"sf", ".as_Spatial", 2, 0, 0, "character[]", 1
"sf", "as_Spatial", -1, 0, 0, "(class<`SpatialPolygons`> | class<`SpatialPolygonsDataFrame`>)", 1
"sf", "as_Spatial", 0, 0, 0, "class<`sfc`, `sfc_MULTIPOLYGON`>", 1
"sf", "as_Spatial", 0, 0, 1, "class<`data.frame`, `sf`>", 1
"sf", "as_Spatial", 1, 0, 0, "logical", 1
"sf", "as_Spatial", 2, 0, 0, "any", 1
"sf", "bbox.MtrxSet", -1, 0, 0, "class<`bbox`>", 1
"sf", "bbox.MtrxSet", 0, 0, 0, "class<`sfc`, `sfc_LINESTRING`>", 1
"sf", "bbox.MtrxSet", 1, 0, 0, "...", 1
"sf", "bbox.MtrxSetSet", -1, 0, 0, "class<`bbox`>", 1
"sf", "bbox.MtrxSetSet", 0, 0, 0, "class<`sfc`, `sfc_MULTILINESTRING`>", 1
