package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"sfsmisc", "%||%", -1, 0, 0, "character[]", 1
"sfsmisc", "%||%", -1, 0, 1, "null", 1
"sfsmisc", "%||%", 0, 0, 0, "character[]", 1
"sfsmisc", "%||%", 0, 0, 1, "null", 1
"sfsmisc", "%||%", 1, 0, 0, "any", 1
"sfsmisc", "AsciiToInt", -1, 0, 0, "^integer[]", 1
"sfsmisc", "AsciiToInt", 0, 0, 0, "character[]", 1
"sfsmisc", "as.intBase", -1, 0, 0, "double[]", 1
"sfsmisc", "as.intBase", 0, 0, 0, "character[]", 1
"sfsmisc", "as.intBase", 0, 0, 1, "class<`basedInt`>", 1
"sfsmisc", "as.intBase", 1, 0, 0, "any", 1
"sfsmisc", "as.integer.basedInt", -1, 0, 0, "double[]", 1
"sfsmisc", "as.integer.basedInt", 0, 0, 0, "class<`basedInt`>", 1
"sfsmisc", "as.integer.basedInt", 1, 0, 0, "...", 1
"sfsmisc", "axTexpr", -1, 0, 0, "expression", 1
"sfsmisc", "axTexpr", 0, 0, 0, "double", 1
"sfsmisc", "axTexpr", 1, 0, 0, "double[]", 1
"sfsmisc", "axTexpr", 2, 0, 0, "null", 1
"sfsmisc", "axTexpr", 3, 0, 0, "null", 1
"sfsmisc", "axTexpr", 4, 0, 0, "null", 1
"sfsmisc", "axTexpr", 5, 0, 0, "logical", 1
"sfsmisc", "bi2int", -1, 0, 0, "double[]", 1
"sfsmisc", "bi2int", 0, 0, 0, "class<`array`>", 1
"sfsmisc", "bi2int", 0, 0, 1, "list<integer[]>", 1
"sfsmisc", "bi2int", 1, 0, 0, "any", 1
"sfsmisc", "capture.and.write", -1, 0, 0, "character[]", 1
"sfsmisc", "capture.and.write", 0, 0, 0, "class<`matrix`>", 1
"sfsmisc", "capture.and.write", 1, 0, 0, "double", 1
"sfsmisc", "capture.and.write", 2, 0, 0, "double", 1
"sfsmisc", "capture.and.write", 3, 0, 0, "double", 1
"sfsmisc", "capture.and.write", 3, 0, 1, "null", 1
"sfsmisc", "capture.and.write", 4, 0, 0, "any", 1
"sfsmisc", "capture.and.write", 5, 0, 0, "character", 1
"sfsmisc", "capture.and.write", 6, 0, 0, "double", 1
"sfsmisc", "ccat", -1, 0, 0, "character", 1
"sfsmisc", "ccat", 0, 0, 0, "...", 1
"sfsmisc", "chars8bit", -1, 0, 0, "character[]", 1
"sfsmisc", "chars8bit", 0, 0, 0, "integer[]", 1
"sfsmisc", "code2n", -1, 0, 0, "double[]", 1
"sfsmisc", "code2n", 0, 0, 0, "character[]", 1
"sfsmisc", "code2n", 1, 0, 0, "double", 1
"sfsmisc", "code2n", 2, 0, 0, "character[]", 1
"sfsmisc", "compresid2way", -1, 0, 0, "list<class<`data.frame`> | list<double[]>>", 1
"sfsmisc", "compresid2way", 0, 0, 0, "class<`aov`, `lm`>", 1
"sfsmisc", "compresid2way", 0, 0, 1, "class<`formula`>", 1
"sfsmisc", "compresid2way", 1, 0, 0, "null", 1
"sfsmisc", "compresid2way", 1, 0, 1, "class<`data.frame`>", 1
"sfsmisc", "compresid2way", 2, 0, 0, "integer[]", 1
"sfsmisc", "compresid2way", 2, 0, 1, "character[]", 1
"sfsmisc", "compresid2way", 3, 0, 0, "logical", 1
"sfsmisc", "compresid2way", 4, 0, 0, "logical", 1
"sfsmisc", "compresid2way", 5, 0, 0, "null", 1
"sfsmisc", "compresid2way", 6, 0, 0, "null", 1
"sfsmisc", "compresid2way", 7, 0, 0, "null", 1
"sfsmisc", "compresid2way", 8, 0, 0, "double[]", 1
"sfsmisc", "compresid2way", 9, 0, 0, "double[]", 1
"sfsmisc", "compresid2way", 10, 0, 0, "character[]", 1
"sfsmisc", "compresid2way", 10, 0, 1, "double[]", 1
"sfsmisc", "cum.Vert.funkt", -1, 0, 0, "list<double[]>", 1
"sfsmisc", "cum.Vert.funkt", 0, 0, 0, "double[]", 1
"sfsmisc", "cum.Vert.funkt", 1, 0, 0, "logical", 1
"sfsmisc", "cum.Vert.funkt", 2, 0, 0, "logical", 1
"sfsmisc", "cum.Vert.funkt", 3, 0, 0, "logical", 1
"sfsmisc", "cum.Vert.funkt", 4, 0, 0, "logical", 1
"sfsmisc", "cum.Vert.funkt", 5, 0, 0, "character", 1
"sfsmisc", "cum.Vert.funkt", 6, 0, 0, "character", 1
"sfsmisc", "cum.Vert.funkt", 7, 0, 0, "...", 1
"sfsmisc", "D1D2", -1, 0, 0, "list<double[]>", 1
"sfsmisc", "D1D2", 0, 0, 0, "double[]", 1
"sfsmisc", "D1D2", 1, 0, 0, "double[]", 1
"sfsmisc", "D1D2", 2, 0, 0, "double[]", 1
"sfsmisc", "D1D2", 3, 0, 0, "double", 1
"sfsmisc", "D1D2", 4, 0, 0, "integer[]", 1
"sfsmisc", "D1D2", 5, 0, 0, "null", 1
"sfsmisc", "D1ss", -1, 0, 0, "double[]", 1
"sfsmisc", "D1ss", 0, 0, 0, "double[]", 1
"sfsmisc", "D1ss", 1, 0, 0, "double[]", 1
"sfsmisc", "D1ss", 2, 0, 0, "double[]", 1
"sfsmisc", "D1ss", 3, 0, 0, "double", 1
"sfsmisc", "D1ss", 4, 0, 0, "null", 1
"sfsmisc", "D2ss", -1, 0, 0, "list<double[]>", 1
"sfsmisc", "D2ss", 0, 0, 0, "double[]", 1
"sfsmisc", "D2ss", 1, 0, 0, "double[]", 1
"sfsmisc", "D2ss", 2, 0, 0, "double[]", 1
"sfsmisc", "D2ss", 3, 0, 0, "double", 1
"sfsmisc", "D2ss", 4, 0, 0, "null", 1
"sfsmisc", "dDA", -1, 0, 0, "class<`dDA`>", 1
"sfsmisc", "dDA", 0, 0, 0, "class<`data.frame`>", 1
"sfsmisc", "dDA", 0, 0, 1, "class<`matrix`>", 1
"sfsmisc", "dDA", 1, 0, 0, "double[]", 1
"sfsmisc", "dDA", 2, 0, 0, "logical", 1
"sfsmisc", "dev.latex", -1, 0, 0, "list<list<double[]>>", 1
"sfsmisc", "dev.latex", 0, 0, 0, "character", 1
"sfsmisc", "dev.latex", 1, 0, 0, "class<`function`>", 1
"sfsmisc", "dev.latex", 2, 0, 0, "double", 1
"sfsmisc", "dev.latex", 3, 0, 0, "double", 1
"sfsmisc", "dev.latex", 4, 0, 0, "logical", 1
"sfsmisc", "dev.latex", 5, 0, 0, "logical", 1
"sfsmisc", "dev.latex", 6, 0, 0, "character", 1
"sfsmisc", "dev.latex", 7, 0, 0, "null", 1
"sfsmisc", "dev.latex", 8, 0, 0, "double[]", 1
"sfsmisc", "dev.latex", 9, 0, 0, "double[]", 1
"sfsmisc", "dev.latex", 10, 0, 0, "double[]", 1
"sfsmisc", "dev.latex", 11, 0, 0, "...", 1
"sfsmisc", "diagDA", -1, 0, 0, "^integer[]", 1
"sfsmisc", "diagDA", 0, 0, 0, "class<`matrix`>", 1
"sfsmisc", "diagDA", 0, 0, 1, "class<`data.frame`>", 1
"sfsmisc", "diagDA", 1, 0, 0, "double[]", 1
"sfsmisc", "diagDA", 2, 0, 0, "class<`matrix`>", 1
"sfsmisc", "diagDA", 2, 0, 1, "class<`data.frame`>", 1
"sfsmisc", "diagDA", 3, 0, 0, "logical", 1
"sfsmisc", "diagX", -1, 0, 0, "class<`matrix`>", 1
"sfsmisc", "diagX", 0, 0, 0, "double", 1
"sfsmisc", "digitsBase", -1, 0, 0, "class<`basedInt`>", 1
