package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"shinyWidgets", "addSpinner", -1, 0, 0, "struct<``:struct<`name`:character, `attribs`:tuple<>, `children`:tuple<struct<`name`:character, `attribs`:struct<`href`:character, `rel`:character, `type`:character>, `children`:tuple<>>, struct<`name`:character, `attribs`:tuple<>, `children`:tuple<character>>>>, ``:struct<`name`:character, `attribs`:struct<`style`:character, `style`:character, `style`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character, `style`:character>, `children`:tuple<>>, struct<`name`:character, `attribs`:struct<`class`:character, `style`:character>, `children`:tuple<>>>>, struct<`name`:character, `attribs`:struct<`id`:character, `class`:character, `style`:character>, `children`:tuple<>>>>>", 1
"shinyWidgets", "addSpinner", 0, 0, 0, "struct<`name`:character, `attribs`:struct<`id`:character, `class`:character, `style`:character>, `children`:tuple<>>", 1
"shinyWidgets", "addSpinner", 1, 0, 0, "character", 1
"shinyWidgets", "addSpinner", 2, 0, 0, "character", 1
"shinyWidgets", "filter", -1, 0, 0, "logical[]", 1
"shinyWidgets", "filter", 0, 0, 0, "character[]", 1
"shinyWidgets", "fun", -1, 0, 0, "any => any", 1
"shinyWidgets", "fun", 0, 0, 0, "symbol", 1
"shinyWidgets", "FUN", -1, 0, 0, "struct<`height`:character>", 1
"shinyWidgets", "FUN", 0, 0, 0, "character", 1
