package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"shinystan", "filter", -1, 0, 0, "logical[]", 1
"shinystan", "filter", 0, 0, 0, "character[]", 1
"shinystan", "fun", -1, 0, 0, "null", 1
"shinystan", "fun", 0, 0, 0, "symbol", 1
"shinystan", "fun", 1, 0, 0, "symbol", 1
"shinystan", ".drop_parameters", -1, 0, 0, "integer[]", 1
"shinystan", ".set_param_dims", -1, 0, 0, "struct<`mu`:double[], `theta`:double, `tau`:double[], `log-posterior`:double[], `tau_sq`:double[]>", 1
"shinystan", ".set_param_dims", 0, 0, 0, "struct<`mu`:double[], `theta`:double, `tau`:double[], `log-posterior`:double[], `tau_sq`:double[]>", 1
"shinystan", ".set_param_dims", 1, 0, 0, "symbol", 1
"shinystan", ".sp_check", -1, 0, 0, "null", 1
"shinystan", ".which_rows", -1, 0, 0, "integer[]", 1
"shinystan", ".which_rows", 0, 0, 0, "logical", 1
"shinystan", "as.shinystan", -1, 0, 0, "double[]", 1
"shinystan", "as.shinystan", 0, 0, 0, "character", 1
"shinystan", "drop_parameters", -1, 0, 0, "character[]", 1
"shinystan", "ess_rfun", -1, 0, 0, "double", 1
"shinystan", "ess_rfun", 0, 0, 0, "^double[]", 1
"shinystan", "FUN", -1, 0, 0, "double[]", 1
"shinystan", "FUN", 0, 0, 0, "^double[]", 1
"shinystan", "generate_quantity", -1, 0, 0, "character", 1
"shinystan", "generate_quantity", 0, 0, 0, "character", 1
"shinystan", "generate_quantity", 0, 0, 1, "null", 1
"shinystan", "generate_quantity", 1, 0, 0, "character", 1
"shinystan", "generate_quantity", 1, 0, 1, "any => any", 1
"shinystan", "generate_quantity", 2, 0, 0, "character", 1
"shinystan", "grepl_ic", -1, 0, 0, "logical", 1
"shinystan", "grepl_ic", 0, 0, 0, "character", 1
"shinystan", "grepl_ic", 1, 0, 0, "character", 1
"shinystan", "grepl_ic", 2, 0, 0, "logical", 1
"shinystan", "is.shinystan", -1, 0, 0, "logical", 1
"shinystan", "model_code", -1, 0, 0, "character", 1
"shinystan", "model_name", -1, 0, 0, "character", 1
"shinystan", "notes", -1, 0, 0, "character", 1
"shinystan", "notes", 0, 0, 0, "logical", 1
"shinystan", "retrieve", -1, 0, 0, "^double[]", 1
"shinystan", "retrieve", 0, 0, 0, "character", 1
"shinystan", "retrieve", 1, 0, 0, "null", 1
"shinystan", "retrieve", 1, 0, 1, "logical", 1
"shinystan", "retrieve", 1, 0, 2, "character[]", 1
"shinystan", "retrieve_max_treedepth", -1, 0, 0, "double[]", 1
"shinystan", "retrieve_max_treedepth", 0, 0, 0, "logical", 1
"shinystan", "retrieve_mean", -1, 0, 0, "double[]", 1
"shinystan", "retrieve_mean", 0, 0, 0, "character[]", 1
"shinystan", "retrieve_prop_divergent", -1, 0, 0, "double[]", 1
"shinystan", "retrieve_prop_divergent", 0, 0, 0, "logical", 1
"shinystan", "shinystan", -1, 0, 0, "character", 1
"shinystan", "shinystan_monitor", -1, 0, 0, "^double[]", 1
"shinystan", "shinystan_monitor", 0, 0, 0, "double[]", 1
"shinystan", "shinystan_monitor", 1, 0, 0, "double", 1
"shinystan", "shinystan_monitor", 2, 0, 0, "double[]", 1
"shinystan", "shinystan_monitor", 3, 0, 0, "double", 1
"shinystan", "split_rhat_rfun", -1, 0, 0, "double", 1
"shinystan", "split_rhat_rfun", 0, 0, 0, "^double[]", 1
"shinystan", "sso_check", -1, 0, 0, "logical", 1
"shinystan", "sso_info", -1, 0, 0, "null", 1
"shinystan", "sso_version", -1, 0, 0, "tuple<integer[]>", 1
"shinystan", "validate_model_code", -1, 0, 0, "logical", 1
"shinystan", "validate_model_code", 0, 0, 0, "null", 1
"shinystan", "validate_model_code", 0, 0, 1, "character", 1
