package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"signal", "an", -1, 0, 0, "complex", 1
"signal", "an", 0, 0, 0, "double", 1
"signal", "Arma", -1, 0, 0, "struct<`b`:double[], `a`:double[]>", 1
"signal", "Arma", 0, 0, 0, "double[]", 1
"signal", "Arma", 1, 0, 0, "double[]", 1
"signal", "as.Arma.Zpg", -1, 0, 0, "struct<`b`:double[], `a`:double[]>", 1
"signal", "as.Arma.Zpg", 0, 0, 0, "struct<`zero`:complex[], `pole`:complex[], `gain`:double>", 1
"signal", "as.Arma.Zpg", 1, 0, 0, "null", 1
"signal", "bartlett", -1, 0, 0, "double[]", 1
"signal", "bartlett", 0, 0, 0, "double", 1
"signal", "bilinear.default", -1, 0, 0, "struct<`zero`:complex[], `pole`:complex[], `gain`:double>", 1
"signal", "bilinear.default", 0, 0, 0, "complex[]", 1
"signal", "bilinear.default", 1, 0, 0, "complex[]", 1
"signal", "bilinear.default", 2, 0, 0, "complex", 1
"signal", "bilinear.default", 3, 0, 0, "double", 1
"signal", "bilinear.default", 4, 0, 0, "null", 1
"signal", "bilinear.Zpg", -1, 0, 0, "struct<`zero`:complex[], `pole`:complex[], `gain`:double>", 1
"signal", "bilinear.Zpg", 0, 0, 0, "struct<`zero`:complex[], `pole`:complex[], `gain`:double>", 1
"signal", "bilinear.Zpg", 0, 0, 1, "struct<`zero`:double[], `pole`:complex[], `gain`:complex>", 1
"signal", "bilinear.Zpg", 1, 0, 0, "double", 1
"signal", "bilinear.Zpg", 2, 0, 0, "null", 1
"signal", "blackman", -1, 0, 0, "double[]", 1
"signal", "blackman", 0, 0, 0, "double", 1
"signal", "boxcar", -1, 0, 0, "double[]", 1
"signal", "boxcar", 0, 0, 0, "double", 1
"signal", "butter.default", -1, 0, 0, "struct<`b`:double[], `a`:double[]>", 1
"signal", "butter.default", 0, 0, 0, "double", 1
"signal", "butter.default", 1, 0, 0, "double", 1
"signal", "butter.default", 2, 0, 0, "character[]", 1
"signal", "butter.default", 3, 0, 0, "character[]", 1
"signal", "butter.default", 4, 0, 0, "null", 1
"signal", "butter.FilterOfOrder", -1, 0, 0, "struct<`b`:double[], `a`:double[]>", 1
"signal", "butter.FilterOfOrder", 0, 0, 0, "struct<`n`:double, `Wc`:double, `type`:character>", 1
"signal", "butter.FilterOfOrder", 1, 0, 0, "null", 1
"signal", "buttord", -1, 0, 0, "struct<`n`:double, `Wc`:double, `type`:character>", 1
"signal", "buttord", 0, 0, 0, "double", 1
"signal", "buttord", 1, 0, 0, "double", 1
"signal", "buttord", 2, 0, 0, "double", 1
"signal", "buttord", 3, 0, 0, "double", 1
"signal", "cheb", -1, 0, 0, "double[]", 1
"signal", "cheb", 0, 0, 0, "double", 1
"signal", "cheb", 1, 0, 0, "double[]", 1
"signal", "cheb1ord", -1, 0, 0, "struct<`n`:double, `Wc`:double, `type`:character, `Rp`:double>", 1
"signal", "cheb1ord", 0, 0, 0, "double", 1
"signal", "cheb1ord", 1, 0, 0, "double", 1
"signal", "cheb1ord", 2, 0, 0, "double", 1
"signal", "cheb1ord", 3, 0, 0, "double", 1
"signal", "chebwin", -1, 0, 0, "double[]", 1
"signal", "chebwin", 0, 0, 0, "double", 1
"signal", "chebwin", 1, 0, 0, "double", 1
"signal", "cheby1.default", -1, 0, 0, "struct<`b`:double[], `a`:double[]>", 1
