package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"sjlabelled", "::", -1, 0, 0, "(character[] | null | list<character[] | null | character[] | character[] | null>)", 1
"sjlabelled", "::", 0, 0, 0, "^double[]", 1
"sjlabelled", "::", 0, 0, 1, "class<`factor`>", 1
"sjlabelled", "::", 0, 0, 2, "character[]", 1
"sjlabelled", "::", 0, 0, 3, "class<`haven_labelled`>", 1
"sjlabelled", "::", 0, 0, 4, "class<`factor`, `ordered`>", 1
"sjlabelled", "::", 0, 0, 5, "class<`data.frame`>", 1
"sjlabelled", "::", 0, 0, 6, "list<^double[]>", 1
"sjlabelled", "::", 1, 0, 0, "any", 1
"sjlabelled", "::", 2, 0, 0, "any", 1
"sjlabelled", "::", 3, 0, 0, "any", 1
"sjlabelled", "::", 4, 0, 0, "any", 1
"sjlabelled", "::", 5, 0, 0, "logical", 1
"sjlabelled", "::", -1, 1, 0, "(null | character[] | ^double[] | list<^double[] | ^double[] | null>)", 1
"sjlabelled", "::", 0, 1, 0, "^double[]", 1
"sjlabelled", "::", 0, 1, 1, "class<`factor`>", 1
"sjlabelled", "::", 0, 1, 2, "class<`haven_labelled`>", 1
"sjlabelled", "::", 0, 1, 3, "character[]", 1
"sjlabelled", "::", 0, 1, 4, "class<`data.frame`>", 1
"sjlabelled", "::", 1, 1, 0, "logical", 1
"sjlabelled", "::", -1, 2, 0, "(^double[] | class<`data.frame`> | class<`haven_labelled`>)", 1
"sjlabelled", "::", 0, 2, 0, "^double[]", 1
"sjlabelled", "::", 0, 2, 1, "class<`data.frame`>", 1
"sjlabelled", "::", 0, 2, 2, "class<`haven_labelled`>", 1
"sjlabelled", "::", 1, 2, 0, "...", 1
"sjlabelled", "::", 2, 2, 0, "null", 1
"sjlabelled", "::", 2, 2, 1, "double[]", 1
"sjlabelled", "::", -1, 3, 0, "(null | character[])", 1
"sjlabelled", "::", 0, 3, 0, "class<`factor`>", 1
"sjlabelled", "::", 0, 3, 1, "^double[]", 1
"sjlabelled", "::", 0, 3, 2, "class<`data.frame`>", 1
"sjlabelled", "::", 0, 3, 3, "character[]", 1
"sjlabelled", "::", 0, 3, 4, "class<`factor`, `ordered`>", 1
"sjlabelled", "::", 0, 3, 5, "class<`haven_labelled`>", 1
"sjlabelled", "::", 0, 3, 6, "list<^double[]>", 1
"sjlabelled", "::", 1, 3, 0, "...", 1
"sjlabelled", "::", 2, 3, 0, "any", 1
"sjlabelled", "::", 3, 3, 0, "null", 1
"sjlabelled", "::", 3, 3, 1, "character", 1
"sjlabelled", "::", -1, 4, 0, "(^double[] | character[] | class<`data.frame`> | class<`factor`> | class<`haven_labelled`>)", 1
"sjlabelled", "::", 0, 4, 0, "^double[]", 1
"sjlabelled", "::", 0, 4, 1, "character[]", 1
"sjlabelled", "::", 0, 4, 2, "class<`data.frame`>", 1
"sjlabelled", "::", 0, 4, 3, "class<`factor`>", 1
"sjlabelled", "::", 0, 4, 4, "class<`haven_labelled`>", 1
"sjlabelled", "::", 1, 4, 0, "...", 1
"sjlabelled", "::", 2, 4, 0, "null", 1
"sjlabelled", "::", 2, 4, 1, "character[]", 1
"sjlabelled", "::", 2, 4, 2, "^double[]", 1
"sjlabelled", "::", 2, 4, 3, "list<character[]>", 1
"sjlabelled", "::", 3, 4, 0, "any", 1
"sjlabelled", "::", 4, 4, 0, "any", 1
"sjlabelled", "::", 5, 4, 0, "logical", 1
"sjlabelled", "add_labels", -1, 0, 0, "(^double[] | class<`data.frame`> | class<`haven_labelled`>)", 1
"sjlabelled", "add_labels", 0, 0, 0, "^double[]", 1
"sjlabelled", "add_labels", 0, 0, 1, "class<`data.frame`>", 1
"sjlabelled", "add_labels", 0, 0, 2, "class<`haven_labelled`>", 1
