package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"sn", ".local", -1, 0, 0, "null", 1
"sn", ".local", 0, 0, 0, "null", 1
"sn", ".local", 0, 0, 1, "double[]", 1
"sn", ".local", 0, 0, 2, "character[]", 1
"sn", ".local", 0, 0, 3, "symbol", 1
"sn", ".local", 1, 0, 0, "null", 1
"sn", ".local", 1, 0, 1, "null", 1
"sn", ".local", 1, 0, 2, "double[]", 1
"sn", ".local", 2, 0, 0, "null", 1
"sn", ".local", 2, 0, 1, "null", 1
"sn", ".local", 2, 0, 2, "logical", 1
"sn", ".local", 2, 0, 3, "character", 1
"sn", ".local", 3, 0, 0, "character", 1
"sn", ".local", 3, 0, 1, "double", 1
"sn", ".local", 3, 0, 2, "language", 1
"sn", ".local", 3, 0, 3, "any => any", 1
"sn", ".local", 4, 0, 0, "null", 1
"sn", ".local", 4, 0, 1, "character", 1
"sn", ".local", 4, 0, 2, "null", 1
"sn", ".local", 5, 0, 0, "null", 1
"sn", ".local", 5, 0, 1, "double", 1
"sn", ".local", 6, 0, 0, "null", 1
"sn", ".local", 6, 0, 1, "expression", 1
"sn", ".local", 6, 0, 2, "double", 1
"sn", ".local", 6, 0, 3, "character", 1
"sn", ".local", 7, 0, 0, "null", 1
"sn", ".local", 7, 0, 1, "^double[]", 1
"sn", ".local", 8, 0, 0, "null", 1
"sn", ".local", 8, 0, 1, "struct<`col`:null, `pch`:null, `cex`:null, `id.i`:integer[]>", 1
"sn", ".local", 8, 0, 2, "struct<`col`:double, `pch`:null, `cex`:null, `id.i`:integer[]>", 1
"sn", ".local", 8, 0, 3, "struct<`col`:double, `cex`:double, `pch`:double>", 1
"sn", ".local", 8, 0, 4, "struct<`col`:character, `pch`:double, `cex`:null, `id.i`:integer[]>", 1
"sn", ".local", 8, 0, 5, "character[]", 1
"sn", ".local", 9, 0, 0, "double", 1
"sn", ".local", 10, 0, 0, "null", 1
"sn", ".local", 10, 0, 1, "double", 1
"sn", ".local", 11, 0, 0, "language", 1
"sn", ".local", 11, 0, 1, "logical", 1
"sn", ".local", 12, 0, 0, "double[]", 1
"sn", ".local", 12, 0, 1, "language", 1
"sn", ".local", 13, 0, 0, "double", 1
