package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"snakecase", "::", -1, 0, 0, "character[]", 1
"snakecase", "::", 0, 0, 0, "character[]", 1
"snakecase", "::", 1, 0, 0, "character", 1
"snakecase", "::", 2, 0, 0, "null", 1
"snakecase", "::", 3, 0, 0, "character", 1
"snakecase", "::", 4, 0, 0, "double", 1
"snakecase", "::", 5, 0, 0, "null", 1
"snakecase", "::", 5, 0, 1, "character", 1
"snakecase", "::", 6, 0, 0, "character[]", 1
"snakecase", "::", 7, 0, 0, "null", 1
"snakecase", "::", 7, 0, 1, "character", 1
"snakecase", "::", 8, 0, 0, "null", 1
"snakecase", "::", 9, 0, 0, "null", 1
"snakecase", "::", 10, 0, 0, "character", 1
"snakecase", "::", 11, 0, 0, "character", 1
"snakecase", "abbreviation_internal", -1, 0, 0, "^character[]", 1
"snakecase", "abbreviation_internal", 0, 0, 0, "^character[]", 1
"snakecase", "abbreviation_internal", 1, 0, 0, "null", 1
"snakecase", "filter", -1, 0, 0, "logical[]", 1
"snakecase", "filter", 0, 0, 0, "character[]", 1
"snakecase", "FUN", -1, 0, 0, "null", 1
"snakecase", "FUN", 0, 0, 0, "null", 1
"snakecase", "FUN", 0, 0, 1, "character[]", 1
