package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"sodium", "auth_decrypt", -1, 0, 0, "raw[]", 1
"sodium", "auth_decrypt", 0, 0, 0, "raw[]", 1
"sodium", "auth_decrypt", 1, 0, 0, "raw[]", 1
"sodium", "auth_decrypt", 2, 0, 0, "raw[]", 1
"sodium", "auth_decrypt", 3, 0, 0, "raw[]", 1
"sodium", "auth_encrypt", -1, 0, 0, "raw[]", 1
"sodium", "auth_encrypt", 0, 0, 0, "raw[]", 1
"sodium", "auth_encrypt", 1, 0, 0, "raw[]", 1
"sodium", "auth_encrypt", 2, 0, 0, "raw[]", 1
"sodium", "auth_encrypt", 3, 0, 0, "raw[]", 1
"sodium", "bin2hex", -1, 0, 0, "character", 1
"sodium", "bin2hex", 0, 0, 0, "raw[]", 1
"sodium", "chacha20", -1, 0, 0, "raw[]", 1
"sodium", "chacha20", 0, 0, 0, "double", 1
"sodium", "chacha20", 1, 0, 0, "raw[]", 1
"sodium", "chacha20", 2, 0, 0, "raw[]", 1
"sodium", "data_decrypt", -1, 0, 0, "raw[]", 1
"sodium", "data_decrypt", 0, 0, 0, "raw[]", 1
"sodium", "data_decrypt", 1, 0, 0, "raw[]", 1
"sodium", "data_decrypt", 2, 0, 0, "raw[]", 1
"sodium", "data_encrypt", -1, 0, 0, "raw[]", 1
"sodium", "data_encrypt", 0, 0, 0, "raw[]", 1
"sodium", "data_encrypt", 1, 0, 0, "raw[]", 1
"sodium", "data_encrypt", 2, 0, 0, "raw[]", 1
"sodium", "data_tag", -1, 0, 0, "raw[]", 1
"sodium", "data_tag", 0, 0, 0, "raw[]", 1
"sodium", "data_tag", 1, 0, 0, "raw[]", 1
"sodium", "diffie_hellman", -1, 0, 0, "raw[]", 1
"sodium", "diffie_hellman", 0, 0, 0, "raw[]", 1
"sodium", "diffie_hellman", 1, 0, 0, "raw[]", 1
"sodium", "hash", -1, 0, 0, "raw[]", 1
"sodium", "hash", 0, 0, 0, "raw[]", 1
"sodium", "hash", 1, 0, 0, "null", 1
"sodium", "hash", 1, 0, 1, "raw[]", 1
"sodium", "hash", 2, 0, 0, "double", 1
"sodium", "hex2bin", -1, 0, 0, "raw[]", 1
"sodium", "hex2bin", 0, 0, 0, "character", 1
"sodium", "hex2bin", 1, 0, 0, "character", 1
"sodium", "keygen", -1, 0, 0, "raw[]", 1
"sodium", "keygen", 0, 0, 0, "raw[]", 1
"sodium", "password_store", -1, 0, 0, "character", 1
"sodium", "password_store", 0, 0, 0, "character", 1
"sodium", "password_verify", -1, 0, 0, "logical", 1
"sodium", "password_verify", 0, 0, 0, "character", 1
"sodium", "password_verify", 1, 0, 0, "character", 1
"sodium", "pubkey", -1, 0, 0, "raw[]", 1
"sodium", "pubkey", 0, 0, 0, "raw[]", 1
"sodium", "random", -1, 0, 0, "raw[]", 1
"sodium", "random", 0, 0, 0, "double", 1
"sodium", "salsa20", -1, 0, 0, "raw[]", 1
"sodium", "salsa20", 0, 0, 0, "double", 1
"sodium", "salsa20", 1, 0, 0, "raw[]", 1
"sodium", "salsa20", 2, 0, 0, "raw[]", 1
"sodium", "scrypt", -1, 0, 0, "raw[]", 1
"sodium", "scrypt", 0, 0, 0, "raw[]", 1
"sodium", "scrypt", 1, 0, 0, "raw[]", 1
"sodium", "scrypt", 2, 0, 0, "double", 1
"sodium", "sha256", -1, 0, 0, "raw[]", 1
"sodium", "sha256", 0, 0, 0, "raw[]", 1
"sodium", "sha256", 1, 0, 0, "null", 1
"sodium", "sha256", 1, 0, 1, "raw[]", 1
"sodium", "sha512", -1, 0, 0, "raw[]", 1
"sodium", "sha512", 0, 0, 0, "raw[]", 1
"sodium", "sha512", 1, 0, 0, "null", 1
"sodium", "sha512", 1, 0, 1, "raw[]", 1
"sodium", "shorthash", -1, 0, 0, "raw[]", 1
"sodium", "shorthash", 0, 0, 0, "raw[]", 1
"sodium", "shorthash", 1, 0, 0, "raw[]", 1
"sodium", "sig_keygen", -1, 0, 0, "raw[]", 1
"sodium", "sig_keygen", 0, 0, 0, "raw[]", 1
"sodium", "sig_pubkey", -1, 0, 0, "raw[]", 1
"sodium", "sig_pubkey", 0, 0, 0, "raw[]", 1
"sodium", "sig_sign", -1, 0, 0, "raw[]", 1
"sodium", "sig_sign", 0, 0, 0, "raw[]", 1
"sodium", "sig_sign", 1, 0, 0, "raw[]", 1
"sodium", "sig_verify", -1, 0, 0, "logical", 1
"sodium", "sig_verify", 0, 0, 0, "raw[]", 1
"sodium", "sig_verify", 1, 0, 0, "raw[]", 1
"sodium", "sig_verify", 2, 0, 0, "raw[]", 1
"sodium", "simple_decrypt", -1, 0, 0, "raw[]", 1
"sodium", "simple_decrypt", 0, 0, 0, "raw[]", 1
"sodium", "simple_decrypt", 1, 0, 0, "raw[]", 1
"sodium", "simple_encrypt", -1, 0, 0, "raw[]", 1
"sodium", "simple_encrypt", 0, 0, 0, "raw[]", 1
"sodium", "simple_encrypt", 1, 0, 0, "raw[]", 1
"sodium", "xsalsa20", -1, 0, 0, "raw[]", 1
"sodium", "xsalsa20", 0, 0, 0, "double", 1
"sodium", "xsalsa20", 1, 0, 0, "raw[]", 1
"sodium", "xsalsa20", 2, 0, 0, "raw[]", 1
