package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"som", "filter", -1, 0, 0, "logical[]", 1
"som", "filter", 0, 0, 0, "character[]", 1
"som", "fun", -1, 0, 0, "null", 1
"som", "fun", 0, 0, 0, "symbol", 1
"som", "fun", 1, 0, 0, "symbol", 1
"som", "FUN", -1, 0, 0, "integer", 1
"som", "FUN", 0, 0, 0, "integer", 1
"som", "LinearInit", -1, 0, 0, "^double[]", 1
"som", "LinearInit", 0, 0, 0, "double", 1
"som", "LinearInit", 1, 0, 0, "double", 1
"som", "som", -1, 0, 0, "struct<`data`:^double[], `code`:^double[], `visual`:struct<`x`:double[], `y`:double[], `qerror`:double[]>, `qerror`:double, `init`:character, `alpha`:character, `neigh`:character, `topol`:character, `alpha0`:double[], `radius0`:double[], `rlen`:double[], `xdim`:double, `ydim`:double, `err.radius`:double, `inv.alp.c`:double[], `code.sum`:struct<`x`:double[], `y`:double[], `nobs`:integer[]>>", 1
"som", "som", 0, 0, 0, "^double[]", 1
"som", "som", 1, 0, 0, "double", 1
"som", "som", 2, 0, 0, "double", 1
"som", "som", 3, 0, 0, "character", 1
"som", "som", 4, 0, 0, "null", 1
"som", "som", 5, 0, 0, "character", 1
"som", "som", 6, 0, 0, "character", 1
"som", "som", 7, 0, 0, "character", 1
"som", "som", 8, 0, 0, "null", 1
"som", "som", 9, 0, 0, "null", 1
"som", "som", 10, 0, 0, "double", 1
"som", "som", 11, 0, 0, "null", 1
"som", "som.init", -1, 0, 0, "^double[]", 1
"som", "som.init", 0, 0, 0, "^double[]", 1
"som", "som.init", 1, 0, 0, "double", 1
"som", "som.init", 2, 0, 0, "double", 1
"som", "som.init", 3, 0, 0, "character", 1
"som", "somsum", -1, 0, 0, "struct<`x`:double[], `y`:double[], `nobs`:integer[]>", 1
"som", "somsum", 0, 0, 0, "struct<`data`:^double[], `code`:^double[], `visual`:struct<`x`:double[], `y`:double[], `qerror`:double[]>, `qerror`:double, `init`:character, `alpha`:character, `neigh`:character, `topol`:character, `alpha0`:double[], `radius0`:double[], `rlen`:double[], `xdim`:double, `ydim`:double, `err.radius`:double, `inv.alp.c`:double[]>", 1
"som", "ciplot", -1, 0, 0, "null", 1
"som", "ciplot", 0, 0, 0, "double[]", 1
"som", "ciplot", 1, 0, 0, "double[]", 1
"som", "ciplot", 2, 0, 0, "double[]", 1
"som", "ciplot", 3, 0, 0, "double", 1
"som", "ciplot", 4, 0, 0, "double", 1
"som", "ciplot", 5, 0, 0, "double[]", 1
"som", "filtering", -1, 0, 0, "^double[]", 1
