package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"spacetime", "filter", -1, 0, 0, "logical[]", 1
"spacetime", "filter", 0, 0, 0, "character[]", 1
"spacetime", ".checkAttrIsUnique", -1, 0, 0, "null", 1
"spacetime", ".checkAttrIsUnique", 0, 0, 0, "^integer[]", 1
"spacetime", ".checkAttrIsUnique", 1, 0, 0, "struct<`a`:integer[]>", 1
"spacetime", ".local", -1, 0, 0, "^double[]", 1
"spacetime", ".local", 0, 0, 0, "double[]", 1
"spacetime", ".local", 1, 0, 0, "null", 1
"spacetime", ".local", 1, 0, 1, "symbol", 1
"spacetime", ".local", 1, 0, 2, "double[]", 1
"spacetime", ".local", 1, 0, 3, "null", 1
"spacetime", ".local", 1, 0, 4, "any => any", 1
"spacetime", ".local", 1, 0, 5, "language", 1
"spacetime", ".local", 1, 0, 6, "character[]", 1
"spacetime", ".local", 2, 0, 0, "null", 1
"spacetime", ".local", 2, 0, 1, "symbol", 1
"spacetime", ".local", 2, 0, 2, "character", 1
"spacetime", ".local", 2, 0, 3, "double", 1
"spacetime", ".local", 2, 0, 4, "null", 1
"spacetime", ".local", 2, 0, 5, "any => any", 1
"spacetime", ".local", 2, 0, 6, "struct<`cex`:double>", 1
"spacetime", ".local", 3, 0, 0, "null", 1
"spacetime", ".local", 3, 0, 1, "null", 1
"spacetime", ".local", 3, 0, 2, "double[]", 1
"spacetime", ".local", 4, 0, 0, "null", 1
"spacetime", ".local", 4, 0, 1, "character[]", 1
"spacetime", ".local", 4, 0, 2, "double[]", 1
"spacetime", ".local", 4, 0, 3, "struct<`draw`:logical>", 1
"spacetime", ".local", 4, 0, 4, "pairlist", 1
"spacetime", ".local", 5, 0, 0, "null", 1
"spacetime", ".local", 5, 0, 1, "symbol", 1
"spacetime", ".local", 5, 0, 2, "struct<`draw`:logical>", 1
"spacetime", ".local", 5, 0, 3, "double", 1
"spacetime", ".local", 6, 0, 0, "null", 1
"spacetime", ".local", 6, 0, 1, "language", 1
"spacetime", ".local", 6, 0, 2, "struct<`draw`:logical>", 1
"spacetime", ".local", 7, 0, 0, "null", 1
"spacetime", ".local", 7, 0, 1, "character", 1
"spacetime", ".local", 7, 0, 2, "double", 1
"spacetime", ".local", 8, 0, 0, "character", 1
"spacetime", ".local", 8, 0, 1, "double", 1
"spacetime", ".local", 9, 0, 0, "double", 1
"spacetime", ".local", 9, 0, 1, "null", 1
"spacetime", ".local", 10, 0, 0, "double", 1
"spacetime", ".local", 10, 0, 1, "tuple<character, null>", 1
"spacetime", ".local", 10, 0, 2, "struct<`space`:character>", 1
"spacetime", ".local", 11, 0, 0, "null", 1
"spacetime", ".local", 11, 0, 1, "double[]", 1
"spacetime", ".local", 12, 0, 0, "double[]", 1
"spacetime", ".local", 12, 0, 1, "character", 1
"spacetime", ".local", 13, 0, 0, "double", 1
"spacetime", ".local", 13, 0, 1, "character", 1
"spacetime", ".local", 14, 0, 0, "double", 1
"spacetime", ".local", 15, 0, 0, "any => any", 1
"spacetime", ".local", 15, 0, 1, "double", 1
