package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"spam", "adjacency.landkreis", -1, 0, 0, "class<`spam`>", 1
"spam", "adjacency.landkreis", 0, 0, 0, "character", 1
"spam", "all.equal", -1, 0, 0, "logical", 1
"spam", "all.equal", 0, 0, 0, "class<`matrix`>", 1
"spam", "all.equal", 1, 0, 0, "class<`spam`>", 1
"spam", "all.equal", 2, 0, 0, "...", 1
"spam", "all.equal", -1, 1, 0, "(character[] | logical)", 1
"spam", "all.equal", 0, 1, 0, "class<`spam`>", 1
"spam", "all.equal", 1, 1, 0, "class<`spam`>", 1
"spam", "all.equal", 2, 1, 0, "...", 1
"spam", "all.equal", -1, 2, 0, "logical", 1
"spam", "all.equal", 0, 2, 0, "class<`spam`>", 1
"spam", "all.equal", 1, 2, 0, "class<`matrix`>", 1
"spam", "all.equal", 2, 2, 0, "...", 1
"spam", "all.equal.spam", -1, 0, 0, "(character[] | logical)", 1
"spam", "all.equal.spam", 0, 0, 0, "class<`spam`>", 1
"spam", "all.equal.spam", 1, 0, 0, "class<`spam`>", 1
"spam", "all.equal.spam", 2, 0, 0, "any", 1
"spam", "all.equal.spam", 3, 0, 0, "null", 1
"spam", "all.equal.spam", 4, 0, 0, "logical", 1
"spam", "all.equal.spam", 5, 0, 0, "...", 1
"spam", "apply.spam", -1, 0, 0, "(class<`matrix`> | class<`spam`> | double[] | list<class<`table`> | double[]>)", 1
"spam", "apply.spam", 0, 0, 0, "class<`spam`>", 1
"spam", "apply.spam", 1, 0, 0, "double[]", 1
"spam", "apply.spam", 1, 0, 1, "null", 1
"spam", "apply.spam", 2, 0, 0, "class<`function`>", 1
"spam", "apply.spam", 3, 0, 0, "...", 1
"spam", "as.matrix", -1, 0, 0, "class<`matrix`>", 1
"spam", "as.matrix", 0, 0, 0, "class<`spam`>", 1
"spam", "as.matrix", 1, 0, 0, "...", 1
"spam", "as.matrix.spam", -1, 0, 0, "class<`matrix`>", 1
"spam", "as.matrix.spam", 0, 0, 0, "class<`spam`>", 1
"spam", "as.matrix.spam", 1, 0, 0, "...", 1
"spam", "assign.spam", -1, 0, 0, "class<`spam`>", 1
"spam", "assign.spam", 0, 0, 0, "class<`spam`>", 1
"spam", "assign.spam", 1, 0, 0, "class<`matrix`>", 1
"spam", "assign.spam", 1, 0, 1, "double", 1
"spam", "assign.spam", 1, 0, 2, "integer[]", 1
"spam", "assign.spam", 2, 0, 0, "null", 1
"spam", "assign.spam", 2, 0, 1, "double", 1
"spam", "assign.spam", 2, 0, 2, "integer[]", 1
"spam", "assign.spam", 3, 0, 0, "double[]", 1
"spam", "assign.spam", 3, 0, 1, "class<`matrix`>", 1
"spam", "as.spam", -1, 0, 0, "class<`spam`>", 1
"spam", "as.spam", 0, 0, 0, "class<`matrix`>", 1
"spam", "as.spam", 1, 0, 0, "double", 1
"spam", "as.spam", -1, 1, 0, "class<`spam`>", 1
"spam", "as.spam", 0, 1, 0, "class<`spam.chol.NgPeyton`>", 1
"spam", "as.spam", 1, 1, 0, "double", 1
"spam", "as.spam", -1, 2, 0, "class<`spam`>", 1
"spam", "as.spam", 0, 2, 0, "class<`matrix`>", 1
"spam", "as.spam", 1, 2, 0, "double", 1
"spam", "as.spam", -1, 3, 0, "class<`spam`>", 1
"spam", "as.spam", 0, 3, 0, "class<`dist`>", 1
"spam", "as.spam", 0, 3, 1, "class<`matrix`>", 1
"spam", "as.spam", 0, 3, 2, "class<`spam`>", 1
"spam", "as.spam", 0, 3, 3, "class<`spam.chol.NgPeyton`>", 1
"spam", "as.spam", 0, 3, 4, "^double[]", 1
"spam", "as.spam", 1, 3, 0, "double", 1
"spam", "as.spam", -1, 4, 0, "class<`spam`>", 1
"spam", "as.spam", 0, 4, 0, "^double[]", 1
"spam", "as.spam", 1, 4, 0, "double", 1
"spam", "as.spam", -1, 5, 0, "class<`spam`>", 1
"spam", "as.spam", 0, 5, 0, "integer[]", 1
"spam", "as.spam", 1, 5, 0, "double", 1
"spam", "as.spam", -1, 6, 0, "class<`spam`>", 1
"spam", "as.spam", 0, 6, 0, "class<`dist`>", 1
"spam", "as.spam", 1, 6, 0, "double", 1
"spam", "as.spam", -1, 7, 0, "class<`spam`>", 1
"spam", "as.spam", 0, 7, 0, "class<`spam`>", 1
"spam", "as.spam", 1, 7, 0, "double", 1
"spam", "as.spam.matrix", -1, 0, 0, "class<`spam`>", 1
"spam", "as.spam.matrix", 0, 0, 0, "class<`matrix`>", 1
"spam", "as.spam.matrix", 1, 0, 0, "double", 1
"spam", "as.spam.spam", -1, 0, 0, "class<`spam`>", 1
"spam", "as.spam.spam", 0, 0, 0, "class<`spam`>", 1
"spam", "as.spam.spam", 1, 0, 0, "double", 1
"spam", "backsolve", -1, 0, 0, "(class<`matrix`> | double[])", 1
"spam", "backsolve", 0, 0, 0, "class<`spam.chol.NgPeyton`>", 1
"spam", "backsolve", 1, 0, 0, "class<`matrix`>", 1
"spam", "backsolve", 1, 0, 1, "double[]", 1
"spam", "backsolve", 2, 0, 0, "...", 1
"spam", "backsolve", -1, 1, 0, "class<`matrix`>", 1
"spam", "backsolve", 0, 1, 0, "class<`matrix`>", 1
"spam", "backsolve", 1, 1, 0, "class<`matrix`>", 1
"spam", "backsolve", 2, 1, 0, "...", 1
"spam", "backsolve", -1, 2, 0, "(class<`matrix`> | double[])", 1
"spam", "backsolve", 0, 2, 0, "class<`matrix`>", 1
"spam", "backsolve", 0, 2, 1, "class<`spam.chol.NgPeyton`>", 1
"spam", "backsolve", 1, 2, 0, "class<`matrix`>", 1
"spam", "backsolve", 1, 2, 1, "double[]", 1
"spam", "backsolve", 2, 2, 0, "...", 1
"spam", "bandwidth", -1, 0, 0, "integer[]", 1
"spam", "bandwidth", 0, 0, 0, "class<`spam`>", 1
"spam", "bdiag.spam", -1, 0, 0, "class<`spam`>", 1
"spam", "bdiag.spam", 0, 0, 0, "...", 1
"spam", "cbind", -1, 0, 0, "class<`spam`>", 1
"spam", "cbind", 0, 0, 0, "...", 1
"spam", "cbind", 1, 0, 0, "double", 1
"spam", "cbind.spam", -1, 0, 0, "class<`spam`>", 1
"spam", "cbind.spam", 0, 0, 0, "...", 1
"spam", "cbind.spam", 1, 0, 0, "double", 1
"spam", "checkpivot", -1, 0, 0, "null", 1
"spam", "checkpivot", 0, 0, 0, "double[]", 1
"spam", "checkpivot", 1, 0, 0, "integer", 1
"spam", "checkpivot", 2, 0, 0, "character", 1
"spam", "chol", -1, 0, 0, "class<`spam.chol.NgPeyton`>", 1
"spam", "chol", 0, 0, 0, "class<`spam`>", 1
"spam", "chol", 1, 0, 0, "...", 1
"spam", "chol", -1, 1, 0, "class<`spam.chol.NgPeyton`>", 1
"spam", "chol", 0, 1, 0, "class<`spam`>", 1
"spam", "chol", 1, 1, 0, "...", 1
"spam", "chol.spam", -1, 0, 0, "class<`spam.chol.NgPeyton`>", 1
"spam", "chol.spam", 0, 0, 0, "class<`spam`>", 1
"spam", "chol.spam", 1, 0, 0, "character", 1
"spam", "chol.spam", 1, 0, 1, "integer[]", 1
"spam", "chol.spam", 2, 0, 0, "character", 1
"spam", "chol.spam", 3, 0, 0, "list<any>", 1
"spam", "chol.spam", 4, 0, 0, "double", 1
"spam", "chol.spam", 5, 0, 0, "null", 1
"spam", "chol.spam", 6, 0, 0, "...", 1
