package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"splines2", "bSpline", -1, 0, 0, "class<`bSpline2`, `matrix`>", 1
"splines2", "bSpline", 0, 0, 0, "^double[]", 1
"splines2", "bSpline", 1, 0, 0, "null", 1
"splines2", "bSpline", 1, 0, 1, "integer", 1
"splines2", "bSpline", 2, 0, 0, "double[]", 1
"splines2", "bSpline", 3, 0, 0, "double", 1
"splines2", "bSpline", 4, 0, 0, "logical", 1
"splines2", "bSpline", 5, 0, 0, "double[]", 1
"splines2", "bSpline", 6, 0, 0, "...", 1
"splines2", "cSpline", -1, 0, 0, "class<`cSpline`, `matrix`>", 1
"splines2", "cSpline", 0, 0, 0, "^double[]", 1
"splines2", "cSpline", 1, 0, 0, "null", 1
"splines2", "cSpline", 2, 0, 0, "double[]", 1
"splines2", "cSpline", 3, 0, 0, "double", 1
"splines2", "cSpline", 4, 0, 0, "logical", 1
"splines2", "cSpline", 5, 0, 0, "double[]", 1
"splines2", "cSpline", 6, 0, 0, "logical", 1
"splines2", "cSpline", 7, 0, 0, "...", 1
"splines2", "dbs", -1, 0, 0, "class<`dbs`, `matrix`>", 1
"splines2", "dbs", 0, 0, 0, "^double[]", 1
"splines2", "dbs", 1, 0, 0, "integer", 1
"splines2", "dbs", 2, 0, 0, "null", 1
"splines2", "dbs", 3, 0, 0, "double[]", 1
"splines2", "dbs", 4, 0, 0, "double", 1
"splines2", "dbs", 5, 0, 0, "logical", 1
"splines2", "dbs", 6, 0, 0, "double[]", 1
"splines2", "dbs", 7, 0, 0, "...", 1
"splines2", "deriv.bSpline2", -1, 0, 0, "class<`dbs`, `matrix`>", 1
"splines2", "deriv.bSpline2", 0, 0, 0, "class<`bSpline2`, `matrix`>", 1
"splines2", "deriv.bSpline2", 1, 0, 0, "integer", 1
"splines2", "deriv.bSpline2", 2, 0, 0, "...", 1
"splines2", "deriv.cSpline", -1, 0, 0, "class<`iSpline`, `matrix`>", 1
"splines2", "deriv.cSpline", -1, 0, 1, "class<`mSpline`, `matrix`>", 1
"splines2", "deriv.cSpline", 0, 0, 0, "class<`cSpline`, `matrix`>", 1
"splines2", "deriv.cSpline", 1, 0, 0, "double", 1
"splines2", "deriv.cSpline", 2, 0, 0, "...", 1
"splines2", "deriv.ibs", -1, 0, 0, "class<`bSpline2`, `matrix`>", 1
"splines2", "deriv.ibs", -1, 0, 1, "class<`dbs`, `matrix`>", 1
"splines2", "deriv.ibs", 0, 0, 0, "class<`ibs`, `matrix`>", 1
"splines2", "deriv.ibs", 1, 0, 0, "integer", 1
"splines2", "deriv.ibs", 2, 0, 0, "...", 1
"splines2", "deriv.iSpline", -1, 0, 0, "class<`mSpline`, `matrix`>", 1
"splines2", "deriv.iSpline", 0, 0, 0, "class<`iSpline`, `matrix`>", 1
"splines2", "deriv.iSpline", 1, 0, 0, "double", 1
"splines2", "deriv.iSpline", 2, 0, 0, "...", 1
"splines2", "deriv.mSpline", -1, 0, 0, "class<`mSpline`, `matrix`>", 1
"splines2", "deriv.mSpline", 0, 0, 0, "class<`iSpline`, `matrix`>", 1
"splines2", "deriv.mSpline", 0, 0, 1, "class<`mSpline`, `matrix`>", 1
"splines2", "deriv.mSpline", 1, 0, 0, "integer", 1
"splines2", "deriv.mSpline", 2, 0, 0, "...", 1
"splines2", "filter", -1, 0, 0, "logical[]", 1
"splines2", "filter", 0, 0, 0, "character[]", 1
"splines2", "FUN", -1, 0, 0, "double[]", 1
"splines2", "FUN", 0, 0, 0, "integer", 1
"splines2", "FUN", 1, 0, 0, "integer[]", 1
"splines2", "FUN", -1, 1, 0, "^double[]", 1
"splines2", "FUN", 0, 1, 0, "^double[]", 1
"splines2", "FUN", -1, 2, 0, "double[]", 1
"splines2", "FUN", 0, 2, 0, "integer", 1
"splines2", "FUN", -1, 3, 0, "double[]", 1
"splines2", "FUN", 0, 3, 0, "integer", 1
"splines2", "FUN", 1, 3, 0, "integer[]", 1
"splines2", "FUN", -1, 4, 0, "double[]", 1
"splines2", "FUN", 0, 4, 0, "integer", 1
"splines2", "FUN", -1, 5, 0, "double[]", 1
"splines2", "FUN", 0, 5, 0, "integer", 1
"splines2", "FUN", 1, 5, 0, "integer[]", 1
"splines2", "FUN", -1, 6, 0, "class<`matrix`>", 1
"splines2", "FUN", 0, 6, 0, "integer", 1
"splines2", "ibs", -1, 0, 0, "class<`ibs`, `matrix`>", 1
"splines2", "ibs", 0, 0, 0, "^double[]", 1
"splines2", "ibs", 1, 0, 0, "null", 1
"splines2", "ibs", 2, 0, 0, "double[]", 1
"splines2", "ibs", 3, 0, 0, "double", 1
"splines2", "ibs", 4, 0, 0, "logical", 1
"splines2", "ibs", 5, 0, 0, "double[]", 1
"splines2", "ibs", 6, 0, 0, "...", 1
"splines2", "iSpline", -1, 0, 0, "class<`iSpline`, `matrix`>", 1
"splines2", "iSpline", -1, 0, 1, "class<`mSpline`, `matrix`>", 1
"splines2", "iSpline", 0, 0, 0, "^double[]", 1
"splines2", "iSpline", 1, 0, 0, "null", 1
"splines2", "iSpline", 2, 0, 0, "double[]", 1
"splines2", "iSpline", 3, 0, 0, "double", 1
"splines2", "iSpline", 4, 0, 0, "logical", 1
"splines2", "iSpline", 5, 0, 0, "double[]", 1
"splines2", "iSpline", 6, 0, 0, "double", 1
"splines2", "iSpline", 7, 0, 0, "...", 1
"splines2", "mSpline", -1, 0, 0, "class<`mSpline`, `matrix`>", 1
"splines2", "mSpline", 0, 0, 0, "^double[]", 1
"splines2", "mSpline", 1, 0, 0, "null", 1
"splines2", "mSpline", 1, 0, 1, "integer", 1
"splines2", "mSpline", 2, 0, 0, "double[]", 1
"splines2", "mSpline", 3, 0, 0, "double", 1
"splines2", "mSpline", 4, 0, 0, "logical", 1
"splines2", "mSpline", 5, 0, 0, "double[]", 1
"splines2", "mSpline", 6, 0, 0, "double", 1
"splines2", "mSpline", 7, 0, 0, "...", 1
"splines2", "pieceConst", -1, 0, 0, "list<double[]>", 1
"splines2", "pieceConst", 0, 0, 0, "any", 1
"splines2", "pieceConst", 1, 0, 0, "null", 1
"splines2", "pieceConst", 2, 0, 0, "double[]", 1
"splines2", "pieceConst", 3, 0, 0, "double[]", 1
"splines2", "pieceConst", 4, 0, 0, "logical", 1
"splines2", "predict.bSpline2", -1, 0, 0, "class<`bSpline2`, `matrix`>", 1
"splines2", "predict.bSpline2", 0, 0, 0, "class<`bSpline2`, `matrix`>", 1
"splines2", "predict.bSpline2", 1, 0, 0, "double[]", 1
"splines2", "predict.bSpline2", 2, 0, 0, "...", 1
"splines2", "predict.cSpline", -1, 0, 0, "class<`cSpline`, `matrix`>", 1
"splines2", "predict.cSpline", 0, 0, 0, "class<`cSpline`, `matrix`>", 1
"splines2", "predict.cSpline", 1, 0, 0, "double[]", 1
"splines2", "predict.cSpline", 2, 0, 0, "...", 1
"splines2", "predict.dbs", -1, 0, 0, "class<`dbs`, `matrix`>", 1
"splines2", "predict.dbs", 0, 0, 0, "class<`dbs`, `matrix`>", 1
"splines2", "predict.dbs", 1, 0, 0, "double[]", 1
"splines2", "predict.dbs", 2, 0, 0, "...", 1
"splines2", "predict.ibs", -1, 0, 0, "class<`ibs`, `matrix`>", 1
"splines2", "predict.ibs", 0, 0, 0, "class<`ibs`, `matrix`>", 1
"splines2", "predict.ibs", 1, 0, 0, "double[]", 1
"splines2", "predict.ibs", 2, 0, 0, "...", 1
"splines2", "predict.iSpline", -1, 0, 0, "class<`iSpline`, `matrix`>", 1
"splines2", "predict.iSpline", 0, 0, 0, "class<`iSpline`, `matrix`>", 1
"splines2", "predict.iSpline", 1, 0, 0, "double[]", 1
"splines2", "predict.iSpline", 2, 0, 0, "...", 1
"splines2", "predict.mSpline", -1, 0, 0, "class<`mSpline`, `matrix`>", 1
"splines2", "predict.mSpline", 0, 0, 0, "class<`mSpline`, `matrix`>", 1
"splines2", "predict.mSpline", 1, 0, 0, "double[]", 1
"splines2", "predict.mSpline", 2, 0, 0, "...", 1
