package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"splitstackshape", ":::", -1, 0, 0, "struct<`title`:character[], `author`:character[], `customerID`:double[]>", 1
"splitstackshape", ":::", 0, 0, 0, "struct<`title`:integer[], `author`:integer[], `customerID`:double[]>", 1
"splitstackshape", ":::", 0, 0, 1, "tuple<character[], character, character[]>", 1
"splitstackshape", ":::", 0, 0, 2, "character[]", 1
"splitstackshape", ":::", 0, 0, 3, "list<character[]>", 1
"splitstackshape", ":::", 1, 0, 0, "null", 1
"splitstackshape", ":::", 1, 0, 1, "character[]", 1
"splitstackshape", ":::", 1, 0, 2, "double[]", 1
"splitstackshape", ":::", 2, 0, 0, "character", 1
"splitstackshape", ":::", 3, 0, 0, "null", 1
