package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"statmod", ".dinvgauss", -1, 0, 0, "double[]", 1
"statmod", ".dinvgauss", 0, 0, 0, "double[]", 1
"statmod", ".dinvgauss", 1, 0, 0, "null", 1
"statmod", ".dinvgauss", 2, 0, 0, "double[]", 1
"statmod", ".dinvgauss", 3, 0, 0, "logical", 1
"statmod", ".pinvgauss", -1, 0, 0, "double[]", 1
"statmod", ".pinvgauss", 0, 0, 0, "double[]", 1
"statmod", ".pinvgauss", 1, 0, 0, "null", 1
"statmod", ".pinvgauss", 1, 0, 1, "double[]", 1
"statmod", ".pinvgauss", 2, 0, 0, "double[]", 1
"statmod", ".pinvgauss", 3, 0, 0, "logical", 1
"statmod", ".pinvgauss", 4, 0, 0, "logical", 1
"statmod", ".psi.hampel", -1, 0, 0, "double[]", 1
"statmod", ".psi.hampel", 0, 0, 0, "double[]", 1
"statmod", ".psi.hampel", 1, 0, 0, "double", 1
"statmod", ".psi.hampel", 2, 0, 0, "double", 1
"statmod", ".psi.hampel", 3, 0, 0, "double", 1
"statmod", ".rho.hampel", -1, 0, 0, "double[]", 1
"statmod", ".rho.hampel", 0, 0, 0, "double[]", 1
"statmod", ".rho.hampel", 1, 0, 0, "double", 1
"statmod", ".rho.hampel", 2, 0, 0, "double", 1
"statmod", ".rho.hampel", 3, 0, 0, "double", 1
"statmod", "(", -1, 0, 0, "double[]", 1
"statmod", "(", 0, 0, 0, "double[]", 1
"statmod", "(", 1, 0, 0, "double[]", 1
"statmod", "(", 2, 0, 0, "double[]", 1
"statmod", "$", -1, 0, 0, "double[]", 1
"statmod", "$", 0, 0, 0, "double[]", 1
"statmod", "aic", -1, 0, 0, "null", 1
"statmod", "aic", 0, 0, 0, "symbol", 1
"statmod", "aic", 1, 0, 0, "symbol", 1
"statmod", "aic", 2, 0, 0, "symbol", 1
"statmod", "aic", 3, 0, 0, "symbol", 1
"statmod", "aic", 4, 0, 0, "symbol", 1
"statmod", "canonic.digamma", -1, 0, 0, "double[]", 1
"statmod", "canonic.digamma", 0, 0, 0, "double[]", 1
"statmod", "compareGrowthCurves", -1, 0, 0, "struct<`Group1`:integer[], `Group2`:integer[], `Stat`:double[], `P.Value`:double[], `adj.P.Value`:double[]>", 1
