package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"statnet.common", "filter", -1, 0, 0, "logical[]", 1
"statnet.common", "filter", 0, 0, 0, "character[]", 1
"statnet.common", "-.rle", -1, 0, 0, "struct<`lengths`:integer[], `values`:double[]>", 1
"statnet.common", "-.rle", 0, 0, 0, "struct<`lengths`:integer[], `values`:double[]>", 1
"statnet.common", "-.rle", 1, 0, 0, "null", 1
"statnet.common", "-.rle", 1, 0, 1, "struct<`lengths`:integer[], `values`:double[]>", 1
"statnet.common", "!.rle", -1, 0, 0, "struct<`lengths`:integer[], `values`:logical[]>", 1
"statnet.common", "!.rle", 0, 0, 0, "struct<`lengths`:integer[], `values`:logical[]>", 1
"statnet.common", "!=.rle", -1, 0, 0, "struct<`lengths`:integer[], `values`:logical[]>", 1
"statnet.common", "!=.rle", 0, 0, 0, "struct<`lengths`:integer[], `values`:double[]>", 1
"statnet.common", "!=.rle", 1, 0, 0, "struct<`lengths`:integer[], `values`:double[]>", 1
"statnet.common", ".check_lengths", -1, 0, 0, "null", 1
"statnet.common", ".check_lengths", 0, 0, 0, "struct<`lengths`:integer[], `values`:double[]>", 1
"statnet.common", ".check_lengths", 1, 0, 0, "struct<`lengths`:integer[], `values`:double[]>", 1
"statnet.common", ".Deprecate_method", -1, 0, 0, "null", 1
"statnet.common", ".Deprecate_method", 0, 0, 0, "character", 1
"statnet.common", ".Deprecate_method", 1, 0, 0, "character", 1
