package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"stopwords", "createError", -1, 0, 0, "any => any", 1
"stopwords", "createError", 0, 0, 0, "language", 1
"stopwords", "createError", 1, 0, 0, "character", 1
"stopwords", "createError", 2, 0, 0, "null", 1
"stopwords", "filter", -1, 0, 0, "logical[]", 1
"stopwords", "filter", 0, 0, 0, "character[]", 1
"stopwords", "fun", -1, 0, 0, "struct<`stopwords_sources`:null>", 1
"stopwords", "fun", 0, 0, 0, "symbol", 1
"stopwords", "get_stopwords_data", -1, 0, 0, "struct<`da`:character[], `de`:character[], `en`:character[], `es`:character[], `fi`:character[], `fr`:character[], `hu`:character[], `ir`:character[], `it`:character[], `nl`:character[], `no`:character[], `pt`:character[], `ro`:character[], `ru`:character[], `sv`:character[]>", 1
"stopwords", "get_stopwords_data", 0, 0, 0, "character", 1
"stopwords", "stopwords", -1, 0, 0, "character[]", 1
"stopwords", "stopwords", 0, 0, 0, "character", 1
"stopwords", "stopwords", 1, 0, 0, "character", 1
"stopwords", "stopwords_options", -1, 0, 0, "struct<`stopwords_sources`:character[]>", 1
