package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"storr", "%||%", -1, 0, 0, "character", 1
"storr", "%||%", 0, 0, 0, "character", 1
"storr", "%||%", 0, 0, 1, "null", 1
"storr", "%||%", 1, 0, 0, "any", 1
"storr", "assert_character", -1, 0, 0, "null", 1
"storr", "assert_character", 0, 0, 0, "character", 1
"storr", "assert_character", 1, 0, 0, "any", 1
"storr", "assert_environment", -1, 0, 0, "null", 1
"storr", "assert_environment", 0, 0, 0, "environment", 1
"storr", "assert_environment", 1, 0, 0, "any", 1
"storr", "assert_function", -1, 0, 0, "null", 1
"storr", "assert_function", 0, 0, 0, "class<`function`>", 1
"storr", "assert_function", 1, 0, 0, "any", 1
"storr", "assert_length", -1, 0, 0, "null", 1
"storr", "assert_length", 0, 0, 0, "double[]", 1
"storr", "assert_length", 0, 0, 1, "list<any>", 1
"storr", "assert_length", 1, 0, 0, "integer", 1
"storr", "assert_length", 2, 0, 0, "any", 1
"storr", "assert_list", -1, 0, 0, "null", 1
"storr", "assert_list", 0, 0, 0, "list<environment>", 1
"storr", "assert_list", 1, 0, 0, "any", 1
"storr", "assert_logical", -1, 0, 0, "null", 1
"storr", "assert_logical", 0, 0, 0, "logical", 1
"storr", "assert_logical", 1, 0, 0, "any", 1
"storr", "assert_probably_storr_driver", -1, 0, 0, "class<`R6`, `driver_environment`>", 1
"storr", "assert_probably_storr_driver", -1, 0, 1, "class<`R6`, `driver_rds`>", 1
"storr", "assert_probably_storr_driver", 0, 0, 0, "class<`R6`, `driver_environment`>", 1
"storr", "assert_probably_storr_driver", 0, 0, 1, "class<`R6`, `driver_rds`>", 1
"storr", "assert_probably_storr_driver", 1, 0, 0, "any", 1
"storr", "assert_raw", -1, 0, 0, "null", 1
"storr", "assert_raw", 0, 0, 0, "raw[]", 1
"storr", "assert_raw", 1, 0, 0, "any", 1
"storr", "assert_scalar", -1, 0, 0, "null", 1
"storr", "assert_scalar", 0, 0, 0, "character", 1
