package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"stringdist", "::", -1, 0, 0, "any", 1
"stringdist", "::", 0, 0, 0, "^character[]", 1
"stringdist", "::", 0, 0, 1, "null", 1
"stringdist", "::", 0, 0, 2, "list<character>", 1
"stringdist", "::", 1, 0, 0, "character[]", 1
"stringdist", "::", 1, 0, 1, "null", 1
"stringdist", "::", 1, 0, 2, "list<character>", 1
"stringdist", "::", 2, 0, 0, "any", 1
"stringdist", "::", 3, 0, 0, "logical", 1
"stringdist", "::", 4, 0, 0, "double[]", 1
"stringdist", "::", 5, 0, 0, "double", 1
"stringdist", "::", 6, 0, 0, "double", 1
"stringdist", "::", 7, 0, 0, "double", 1
"stringdist", "::", 8, 0, 0, "any", 1
"stringdist", "::", -1, 1, 0, "any", 1
"stringdist", "::", 0, 1, 0, "double[]", 1
"stringdist", "::", 0, 1, 1, "list<any>", 1
"stringdist", "::", 1, 1, 0, "double[]", 1
"stringdist", "::", 1, 1, 1, "list<any>", 1
"stringdist", "::", 2, 1, 0, "character[]", 1
"stringdist", "::", 3, 1, 0, "double[]", 1
"stringdist", "::", 4, 1, 0, "double", 1
"stringdist", "::", 5, 1, 0, "double", 1
"stringdist", "::", 6, 1, 0, "double", 1
"stringdist", "::", 7, 1, 0, "double", 1
"stringdist", "ain", -1, 0, 0, "logical", 1
"stringdist", "ain", 0, 0, 0, "character", 1
"stringdist", "ain", 1, 0, 0, "character[]", 1
"stringdist", "ain", 2, 0, 0, "...", 1
"stringdist", "all_int", -1, 0, 0, "logical", 1
"stringdist", "all_int", 0, 0, 0, "list<any>", 1
"stringdist", "amatch", -1, 0, 0, "^integer[]", 1
"stringdist", "amatch", -1, 0, 1, "null", 1
"stringdist", "amatch", 0, 0, 0, "character[]", 1
"stringdist", "amatch", 0, 0, 1, "null", 1
"stringdist", "amatch", 1, 0, 0, "character[]", 1
"stringdist", "amatch", 1, 0, 1, "^logical[]", 1
"stringdist", "amatch", 1, 0, 2, "null", 1
"stringdist", "amatch", 2, 0, 0, "null", 1
"stringdist", "amatch", 2, 0, 1, "double", 1
"stringdist", "amatch", 3, 0, 0, "logical", 1
"stringdist", "amatch", 4, 0, 0, "character[]", 1
"stringdist", "amatch", 5, 0, 0, "logical", 1
