package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"stringr", "as_bare_character", -1, 0, 0, "character", 1
"stringr", "as_bare_character", 0, 0, 0, "character", 1
"stringr", "boundary", -1, 0, 0, "class<`boundary`, `character`, `pattern`>", 1
"stringr", "boundary", 0, 0, 0, "character", 1
"stringr", "boundary", 1, 0, 0, "null", 1
"stringr", "boundary", 2, 0, 0, "...", 1
"stringr", "coll", -1, 0, 0, "class<`character`, `coll`, `pattern`>", 1
"stringr", "coll", 0, 0, 0, "character", 1
"stringr", "coll", 1, 0, 0, "logical", 1
"stringr", "coll", 2, 0, 0, "character", 1
"stringr", "coll", 3, 0, 0, "...", 1
"stringr", "eval_interp_matches", -1, 0, 0, "list<character>", 1
"stringr", "eval_interp_matches", 0, 0, 0, "character[]", 1
"stringr", "eval_interp_matches", 1, 0, 0, "class<`data.frame`>", 1
"stringr", "eval_interp_matches", 1, 0, 1, "environment", 1
"stringr", "eval_interp_matches", 1, 0, 2, "list<double>", 1
"stringr", "extract_expressions", -1, 0, 0, "list<expression>", 1
"stringr", "extract_expressions", 0, 0, 0, "character[]", 1
"stringr", "extract_formats", -1, 0, 0, "character[]", 1
"stringr", "extract_formats", 0, 0, 0, "character[]", 1
"stringr", "fixed", -1, 0, 0, "class<`character`, `fixed`, `pattern`>", 1
"stringr", "fixed", 0, 0, 0, "character", 1
"stringr", "fixed", 1, 0, 0, "logical", 1
"stringr", "fix_replacement", -1, 0, 0, "character[]", 1
"stringr", "fix_replacement", -1, 0, 1, "null", 1
"stringr", "fix_replacement", 0, 0, 0, "character[]", 1
"stringr", "fix_replacement", 0, 0, 1, "null", 1
"stringr", "FUN", -1, 0, 0, "^character[]", 1
"stringr", "FUN", 0, 0, 0, "...", 1
"stringr", "FUN", 1, 0, 0, "character", 1
"stringr", "FUN", 2, 0, 0, "character", 1
"stringr", "FUN", 2, 0, 1, "null", 1
"stringr", "interp_placeholders", -1, 0, 0, "list<integer[] | character[] | integer | character>", 1
"stringr", "interp_placeholders", 0, 0, 0, "character", 1
"stringr", "invert_match", -1, 0, 0, "class<`matrix`>", 1
"stringr", "invert_match", 0, 0, 0, "class<`matrix`>", 1
"stringr", "opts", -1, 0, 0, "null", 1
"stringr", "opts", -1, 0, 1, "list<any>", 1
"stringr", "opts", 0, 0, 0, "character[]", 1
"stringr", "opts", 0, 0, 1, "class<`character`, `pattern`, `regex`>", 1
"stringr", "opts", 0, 0, 2, "class<`character`, `fixed`, `pattern`>", 1
"stringr", "opts", 0, 0, 3, "class<`character`, `coll`, `pattern`>", 1
"stringr", "opts", 0, 0, 4, "class<`boundary`, `character`, `pattern`>", 1
"stringr", "regex", -1, 0, 0, "class<`character`, `pattern`, `regex`>", 1
"stringr", "regex", 0, 0, 0, "character", 1
"stringr", "regex", 1, 0, 0, "logical", 1
"stringr", "regex", 2, 0, 0, "logical", 1
"stringr", "regex", 3, 0, 0, "logical", 1
"stringr", "regex", 4, 0, 0, "logical", 1
"stringr", "regex", 5, 0, 0, "...", 1
"stringr", "str_c", -1, 0, 0, "^character[]", 1
"stringr", "str_c", 0, 0, 0, "...", 1
"stringr", "str_c", 1, 0, 0, "character", 1
"stringr", "str_c", 2, 0, 0, "character", 1
"stringr", "str_c", 2, 0, 1, "null", 1
"stringr", "str_conv", -1, 0, 0, "character", 1
"stringr", "str_conv", 0, 0, 0, "character", 1
"stringr", "str_conv", 1, 0, 0, "character", 1
"stringr", "str_count", -1, 0, 0, "integer[]", 1
"stringr", "str_count", 0, 0, 0, "character[]", 1
"stringr", "str_count", 1, 0, 0, "character[]", 1
"stringr", "str_count", 1, 0, 1, "class<`character`, `fixed`, `pattern`>", 1
"stringr", "str_count", 1, 0, 2, "class<`boundary`, `character`, `pattern`>", 1
"stringr", "str_detect", -1, 0, 0, "^logical[]", 1
"stringr", "str_detect", 0, 0, 0, "^character[]", 1
"stringr", "str_detect", 1, 0, 0, "class<`character`, `coll`, `pattern`>", 1
"stringr", "str_detect", 1, 0, 1, "class<`character`, `fixed`, `pattern`>", 1
"stringr", "str_detect", 1, 0, 2, "class<`character`, `pattern`, `regex`>", 1
"stringr", "str_detect", 1, 0, 3, "character[]", 1
"stringr", "str_detect", 2, 0, 0, "logical", 1
"stringr", "str_dup", -1, 0, 0, "character[]", 1
"stringr", "str_dup", 0, 0, 0, "character[]", 1
"stringr", "str_dup", 1, 0, 0, "double[]", 1
"stringr", "str_ends", -1, 0, 0, "logical[]", 1
"stringr", "str_ends", 0, 0, 0, "character[]", 1
"stringr", "str_ends", 1, 0, 0, "character", 1
"stringr", "str_ends", 2, 0, 0, "logical", 1
"stringr", "str_extract", -1, 0, 0, "^character[]", 1
"stringr", "str_extract", 0, 0, 0, "^character[]", 1
"stringr", "str_extract", 1, 0, 0, "character[]", 1
"stringr", "str_extract_all", -1, 0, 0, "class<`matrix`>", 1
"stringr", "str_extract_all", -1, 0, 1, "list<character[] | character[] | null>", 1
"stringr", "str_extract_all", 0, 0, 0, "^character[]", 1
"stringr", "str_extract_all", 1, 0, 0, "character", 1
"stringr", "str_extract_all", 1, 0, 1, "class<`boundary`, `character`, `pattern`>", 1
"stringr", "str_extract_all", 1, 0, 2, "class<`character`, `pattern`, `regex`>", 1
"stringr", "str_extract_all", 2, 0, 0, "logical", 1
"stringr", "str_flatten", -1, 0, 0, "character", 1
"stringr", "str_flatten", 0, 0, 0, "character[]", 1
"stringr", "str_flatten", 1, 0, 0, "character", 1
"stringr", "str_glue", -1, 0, 0, "class<`character`, `glue`>", 1
"stringr", "str_glue", 0, 0, 0, "...", 1
"stringr", "str_glue", 1, 0, 0, "character", 1
"stringr", "str_glue", 2, 0, 0, "environment", 1
"stringr", "str_glue_data", -1, 0, 0, "class<`character`, `glue`>", 1
"stringr", "str_glue_data", 0, 0, 0, "class<`data.frame`>", 1
"stringr", "str_glue_data", 1, 0, 0, "...", 1
"stringr", "str_glue_data", 2, 0, 0, "character", 1
"stringr", "str_glue_data", 3, 0, 0, "environment", 1
"stringr", "str_glue_data", 4, 0, 0, "character", 1
"stringr", "str_interp", -1, 0, 0, "character", 1
"stringr", "str_interp", 0, 0, 0, "character[]", 1
"stringr", "str_interp", 1, 0, 0, "environment", 1
"stringr", "str_interp", 1, 0, 1, "class<`data.frame`>", 1
"stringr", "str_interp", 1, 0, 2, "list<double>", 1
"stringr", "str_length", -1, 0, 0, "^integer[]", 1
"stringr", "str_length", -1, 0, 1, "null", 1
"stringr", "str_length", 0, 0, 0, "^character[]", 1
"stringr", "str_length", 0, 0, 1, "class<`factor`>", 1
"stringr", "str_length", 0, 0, 2, "null", 1
"stringr", "str_locate", -1, 0, 0, "class<`matrix`>", 1
"stringr", "str_locate", 0, 0, 0, "character[]", 1
"stringr", "str_locate", 1, 0, 0, "character[]", 1
"stringr", "str_locate_all", -1, 0, 0, "list<class<`matrix`>>", 1
"stringr", "str_locate_all", 0, 0, 0, "character[]", 1
"stringr", "str_locate_all", 1, 0, 0, "character[]", 1
"stringr", "str_locate_all", 1, 0, 1, "class<`character`, `fixed`, `pattern`>", 1
"stringr", "str_match", -1, 0, 0, "class<`matrix`>", 1
"stringr", "str_match", 0, 0, 0, "^character[]", 1
"stringr", "str_match", 1, 0, 0, "character", 1
"stringr", "str_match", 1, 0, 1, "class<`character`, `pattern`, `regex`>", 1
"stringr", "str_match_all", -1, 0, 0, "list<class<`matrix`>>", 1
"stringr", "str_match_all", 0, 0, 0, "^character[]", 1
"stringr", "str_match_all", 1, 0, 0, "character", 1
"stringr", "str_order", -1, 0, 0, "integer[]", 1
"stringr", "str_order", 0, 0, 0, "character[]", 1
"stringr", "str_order", 1, 0, 0, "logical", 1
"stringr", "str_order", 2, 0, 0, "logical", 1
"stringr", "str_order", 3, 0, 0, "character", 1
"stringr", "str_order", 4, 0, 0, "logical", 1
"stringr", "str_order", 5, 0, 0, "...", 1
"stringr", "str_pad", -1, 0, 0, "character[]", 1
"stringr", "str_pad", 0, 0, 0, "character[]", 1
"stringr", "str_pad", 1, 0, 0, "double[]", 1
