package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"styler", "_fseq", -1, 0, 0, "character[]", 1
"styler", "_fseq", 0, 0, 0, "character[]", 1
"styler", "_fseq", 0, 0, 1, "integer", 1
"styler", "_fseq", 0, 0, 2, "struct<>", 1
"styler", "_fseq", 0, 0, 3, "tuple<>", 1
"styler", "_fseq", 0, 0, 4, "struct<`2`:character, `3`:character, `4`:character>", 1
"styler", "_fseq", 0, 0, 5, "tuple<integer>", 1
"styler", "_fseq", 0, 0, 6, "logical[]", 1
"styler", "_fseq", 0, 0, 7, "struct<`2`:struct<`pos_id`:integer[], `token`:character[], `terminal`:logical[], `text`:character[], `short`:character[], `token_before`:^character[], `token_after`:^character[], `internal`:logical[], `child`:struct<``:null, ``:null, `8`:struct<`pos_id`:integer, `token`:character, `terminal`:logical, `text`:character, `short`:character, `token_before`:character, `token_after`:character, `child`:tuple<null>, `internal`:logical, `newlines`:integer, `lag_newlines`:integer, `spaces`:integer, `multi_line`:logical, `indention_ref_pos_id`:null, `indent`:double>, ``:null>, `newlines`:integer[], `lag_newlines`:integer[], `spaces`:integer[], `multi_line`:logical[], `indention_ref_pos_id`:^logical[], `indent`:double[], `.lag_spaces`:integer[]>, `3`:struct<`pos_id`:integer[], `token`:character[], `terminal`:logical[], `text`:character[], `short`:character[], `token_before`:^character[], `token_after`:^character[], `internal`:logical[], `child`:struct<``:null, ``:null, `16`:struct<`pos_id`:integer, `token`:character, `terminal`:logical, `text`:character, `short`:character, `token_before`:character, `token_after`:character, `child`:tuple<null>, `internal`:logical, `newlines`:integer, `lag_newlines`:integer, `spaces`:integer, `multi_line`:logical, `indention_ref_pos_id`:null, `indent`:double>, ``:null>, `newlines`:integer[], `lag_newlines`:integer[], `spaces`:integer[], `multi_line`:logical[], `indention_ref_pos_id`:^logical[], `indent`:double[], `.lag_spaces`:integer[]>, `4`:struct<`pos_id`:integer[], `token`:character[], `terminal`:logical[], `text`:character[], `short`:character[], `token_before`:^character[], `token_after`:^character[], `internal`:logical[], `child`:struct<``:null, ``:null, `25`:struct<`pos_id`:integer, `token`:character, `terminal`:logical, `text`:character, `short`:character, `token_before`:character, `token_after`:character, `child`:tuple<null>, `internal`:logical, `newlines`:integer, `lag_newlines`:integer, `spaces`:integer, `multi_line`:logical, `indention_ref_pos_id`:null, `indent`:double>>, `newlines`:integer[], `lag_newlines`:integer[], `spaces`:integer[], `multi_line`:logical[], `indention_ref_pos_id`:^logical[], `indent`:double[], `.lag_spaces`:integer[]>>", 1
"styler", "_fseq", 0, 0, 8, "struct<`initialize`:struct<`initialize`:any => any>, `line_break`:null, `space`:struct<`remove_space_after_opening_paren`:null>, `token`:null, `indention`:null, `use_raw_indention`:logical, `reindention`:struct<`regex_pattern`:null, `indention`:double, `comments_only`:logical>>", 1
